universe,factor,overlay,phase,cost_bp,period,ann_return,sharpe,mdd,avg_turnover
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,30,PRE_STRESS_2017_2024,-0.12474669226138158,-0.5744676908036684,-0.673477433153826,0.5280104712041884
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,30,EARLY_2017_2019,-0.13982399008405155,-0.8099494646810207,-0.42347562505862946,0.5228571428571428
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,30,LATE_2020_2022,-0.1454820100445402,-0.5837093052430385,-0.4729154077133302,0.5354166666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,30,NORMAL_2023_2024,-0.0705747736757214,-0.27748588477961444,-0.2415180641122534,0.5244897959183674
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,30,BULL_2025,0.6041492302673184,1.600898490938815,-0.12320766220042156,0.48750000000000004
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,30,YTD_2026,1.346877978927342,2.170454997459032,-0.1324143865038817,0.5115384615384616
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,60,PRE_STRESS_2017_2024,-0.15920996360388173,-0.7772445568348332,-0.7487133088888391,0.5280104712041884
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,60,EARLY_2017_2019,-0.17337235714506527,-1.0462589562618043,-0.4577841567304749,0.5228571428571428
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,60,LATE_2020_2022,-0.17962272745116148,-0.7643046959415101,-0.5057086529456171,0.5354166666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,60,NORMAL_2023_2024,-0.10687718745789354,-0.4794516482082426,-0.2805337856099941,0.5244897959183674
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,60,BULL_2025,0.5468807669142388,1.4877373046255462,-0.1273091086711,0.48750000000000004
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,3,60,YTD_2026,1.261828376261485,2.085044287880219,-0.13522420802019874,0.5115384615384616
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,30,PRE_STRESS_2017_2024,-0.10358886845327508,-0.4453683678700113,-0.6026644416875675,0.5289473684210526
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,30,EARLY_2017_2019,-0.14153222929706222,-0.9172451355881491,-0.4651320192869889,0.5373239436619717
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,30,LATE_2020_2022,-0.11716483082429374,-0.40291176917866367,-0.4012092241195887,0.5373239436619718
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,30,NORMAL_2023_2024,-0.022550925996770887,-0.014271149212094892,-0.2437242532378634,0.5041666666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,30,BULL_2025,0.6048805228149587,1.5459583541370803,-0.14791769898786522,0.5
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,30,YTD_2026,0.12092967297832913,0.4534664450655055,-0.2693372806258575,0.46153846153846156
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,60,PRE_STRESS_2017_2024,-0.1389253309128532,-0.6456866734334947,-0.6944158023295501,0.5289473684210526
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,60,EARLY_2017_2019,-0.17595478514451823,-1.1827016091034492,-0.4994013818356191,0.5373239436619717
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,60,LATE_2020_2022,-0.152510571671732,-0.5741133742111751,-0.4355704176752827,0.5373239436619718
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,60,NORMAL_2023_2024,-0.05920788828661672,-0.20269081656560067,-0.25896080293238655,0.5041666666666667
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,60,BULL_2025,0.5462874421101802,1.4364255091496552,-0.15556073574405638,0.5
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,4,60,YTD_2026,0.08248047978704709,0.38118809207792737,-0.27405806090441154,0.46153846153846156
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,30,PRE_STRESS_2017_2024,-0.10217581420406296,-0.4130055639487446,-0.5980732378403224,0.5271052631578947
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,30,EARLY_2017_2019,-0.1061785930726693,-0.7370905062768129,-0.40613781932152127,0.5246478873239437
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,30,LATE_2020_2022,-0.11639533443900951,-0.33578540900313797,-0.43070552324193456,0.5349999999999999
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,30,NORMAL_2023_2024,-0.07549805336104576,-0.2831675697260664,-0.27176051482530583,0.5193877551020408
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,30,BULL_2025,0.6830644037076641,1.5697459788680825,-0.1439128465613203,0.488
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,30,YTD_2026,0.5829066013546642,1.015818237315381,-0.3198138327104706,0.4892857142857144
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,60,PRE_STRESS_2017_2024,-0.13744345390799928,-0.6050327264144255,-0.690809160462194,0.5271052631578947
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,60,EARLY_2017_2019,-0.14114453201934785,-1.0218542929871797,-0.4436424272956495,0.5246478873239437
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,60,LATE_2020_2022,-0.15164179145730572,-0.48947753672169325,-0.45894961843792415,0.5349999999999999
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,60,NORMAL_2023_2024,-0.11122646221830568,-0.4753725416994292,-0.28625660977612877,0.5193877551020408
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,60,BULL_2025,0.6230693471970177,1.4715279384352935,-0.14947847016098437,0.488
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,5,60,YTD_2026,0.526298617678169,0.9577297960105327,-0.3244796965983975,0.4892857142857144
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,30,PRE_STRESS_2017_2024,-0.11926935190735499,-0.42514207867031734,-0.6720656172799913,0.5246113989637305
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,30,EARLY_2017_2019,-0.0959533371054212,-0.53619851494238,-0.41378124416842454,0.5256944444444444
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,30,LATE_2020_2022,-0.133385597558913,-0.3148116910109155,-0.46496832250020437,0.5291666666666666
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,30,NORMAL_2023_2024,-0.13207963235081,-0.5932965390652529,-0.31690339256664934,0.5163265306122449
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,30,BULL_2025,0.23845287294499506,0.7475075028060364,-0.1789578281704095,0.5217391304347826
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,30,YTD_2026,0.38727400329095096,0.8574092015941918,-0.32548591283565587,0.5233333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,60,PRE_STRESS_2017_2024,-0.153724409008689,-0.5961304692676792,-0.7457483238636624,0.5246113989637305
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,60,EARLY_2017_2019,-0.13138364654675283,-0.7792468316788893,-0.44505922066186987,0.5256944444444444
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,60,LATE_2020_2022,-0.1676195068065669,-0.44730730566232113,-0.49828073371805526,0.5291666666666666
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,60,NORMAL_2023_2024,-0.1654569783413986,-0.7868835098018581,-0.3517861969402505,0.5163265306122449
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,60,BULL_2025,0.19084964294536522,0.6437189833799141,-0.1880646817875794,0.5217391304347826
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,6,60,YTD_2026,0.3340770983370791,0.7845750593401115,-0.33024439300057473,0.5233333333333333
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,30,PRE_STRESS_2017_2024,-0.07789684366218452,-0.2778161207700599,-0.5553821946804134,0.5297368421052632
K200,WEIGHTED_MOM_R1M_GE0,ACT1_W10,7,30,EARLY_2017_2019,-0.10638802418188009,-0.6636820249748295,-0.4116365523953236,0.5166666666666667
