sample,universe,cut_name,factor_a,factor_b,family_pair,pair_regime,n,mean_mom_top20,mean_other_top20,mean_mom_spread20,mean_other_spread20,mkt_1d_mean,mkt_1d_median,mkt_1d_positive_share,mkt_1d_tstat,mkt_5d_mean,mkt_5d_median,mkt_5d_positive_share,mkt_5d_tstat,mkt_20d_mean,mkt_20d_median,mkt_20d_positive_share,mkt_20d_tstat,mom_top_fwd5_mean,mom_top_fwd5_positive_share,mom_top_fwd20_mean,mom_top_fwd20_positive_share,mom_spread_fwd5_mean,mom_spread_fwd5_positive_share,mom_spread_fwd20_mean,mom_spread_fwd20_positive_share,oth_top_fwd5_mean,oth_top_fwd5_positive_share,oth_top_fwd20_mean,oth_top_fwd20_positive_share,oth_spread_fwd5_mean,oth_spread_fwd5_positive_share,oth_spread_fwd20_mean,oth_spread_fwd20_positive_share
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BROAD_CONFIRMATION,43,0.07355897542515115,0.05666024845181954,0.05662126947177877,0.03801720427961082,0.0018766683078561117,0.0032418476528661,0.6046511627906976,1.3418732011460193,0.0035487794896012187,0.004446768512709259,0.6046511627906976,1.0634340158119564,-0.006255434084421886,-0.007856491675796,0.4883720930232558,-0.8134952120079356,-0.0007570131628142136,0.5581395348837209,-0.012349727550426789,0.4883720930232558,-0.004453592024228503,0.4418604651162791,0.0037815733957204637,0.5581395348837209,0.002881241029199135,0.5813953488372093,-0.003629416677913151,0.4883720930232558,0.0009220676732089624,0.6046511627906976,0.013186459213956548,0.7441860465116279
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_STYLE_SHIFT,11,0.0728766091986758,0.10968272021465975,-0.05224536573001897,0.03151626252143024,-0.004887587803844618,-0.0027807472581965,0.36363636363636365,-1.5672310162083636,-0.0004414950914273795,0.002041285453517495,0.5454545454545454,-0.07691320159917699,0.03640654814939229,0.037067699763165096,0.7272727272727273,2.4430383034859657,0.006734643205382042,0.45454545454545453,0.05592264525159402,0.6363636363636364,0.005839113787714681,0.6363636363636364,0.022903428114911084,0.7272727272727273,0.012900413598204756,0.6363636363636364,0.06631956306483595,0.9090909090909091,0.01574652703662149,0.8181818181818182,0.0367984479946752,0.7272727272727273
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,DEFENSIVE_CONFIRMATION,15,-0.05334249871902711,-0.05694575471774232,0.05198753841722062,0.03380004941742281,-0.00052818304193306,0.0004923133825198,0.5333333333333333,-0.17651665976243633,0.004537891995077652,0.011348820628069007,0.6,0.6226253367490161,0.02540398991805614,0.025983615199998786,0.8,1.6395926486272334,0.013466432500054314,0.6666666666666666,0.02261900924006778,0.7333333333333333,0.010742034157778068,0.6666666666666666,0.005969450057228746,0.5333333333333333,0.005604134288678748,0.7333333333333333,0.015198758844389038,0.8,0.0006775265437301998,0.5333333333333333,0.0016416012658683865,0.6
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,DEFENSIVE_ROTATION,9,-0.10716290934534543,-0.05990182058558592,-0.049460411026809314,0.02478269856956276,-0.008219809120885645,-0.0061461974311457,0.2222222222222222,-1.7220032584168257,-0.009384418364389503,-0.017858470448595936,0.4444444444444444,-0.7453851630108163,-0.007195866578767414,-0.017024782539710667,0.3333333333333333,-0.3466013669567159,-0.01288719829779489,0.4444444444444444,-0.024801962976643374,0.2222222222222222,-0.002009999019429388,0.3333333333333333,-0.008972088421557537,0.4444444444444444,-0.008138549321901544,0.4444444444444444,-0.005408223160215473,0.3333333333333333,-0.003695194649426012,0.4444444444444444,0.001852370536355119,0.6666666666666666
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION,20,-0.032585296386461536,0.038301752173243206,-0.0553374168539841,0.0450527646205887,-0.00290283317263858,-0.00258510153530485,0.45,-1.2761843788781957,-0.0069948199628339066,-0.0003148339499308777,0.45,-1.5678151012901311,-0.011587641709130823,-0.012601369003335361,0.45,-1.4096349262885375,-0.012384341084259995,0.3,-0.027847824663136473,0.35,-0.0068746686195879135,0.3,-0.025794719751798822,0.4,-0.001600116448430705,0.45,-0.003868617527840712,0.4,0.006047865246660384,0.75,0.0014737355006522069,0.65
OOS,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BROAD_CONFIRMATION,41,0.09624948665940122,0.08705498774337074,0.08113087657845267,0.04665643499858652,0.0016231493763791392,0.0042178339996176,0.6341463414634146,0.6017141293157212,0.014920017828183375,0.012907006164239756,0.6829268292682927,3.1081063521276264,0.046327632782909425,0.038139586096622796,0.7317073170731707,4.141879315942988,0.009865929062029308,0.6585365853658537,0.017335133560860368,0.6585365853658537,0.013169249495570103,0.6341463414634146,0.03751118593434976,0.7560975609756098,0.00925501345020884,0.6829268292682927,0.02508422863421586,0.6829268292682927,0.004995352482001468,0.6341463414634146,0.0300410763129782,0.9024390243902439
OOS,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_STYLE_SHIFT,8,0.04343223646142924,0.08836166597715273,-0.047752259522831436,0.05258480779243263,0.011847603596431213,0.01203531409224965,0.75,2.1581045747719023,0.007524328439690239,0.010902005706872204,0.875,0.991569166674571,-0.0025148547499919518,-0.0015379748659648076,0.5,-0.27230067108305556,0.008175305644148225,0.75,0.03112393266842453,0.75,-0.0024145921616718865,0.5,0.03386216853011578,0.625,0.008212063426966761,0.75,0.015078488715414798,0.625,-0.0029706455604334003,0.625,0.014008158381084337,1.0
OOS,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,DEFENSIVE_ROTATION,15,-0.13482329125746578,-0.05764902378518534,-0.07095992278168174,0.03347797350823385,0.003575019476691413,0.0054089538252435,0.6,0.4854058772189658,-0.00898531765428751,-0.0053840770916599185,0.4666666666666667,-0.5866604183459031,-0.0034955704039093794,0.0039153689514087086,0.5384615384615384,-0.09048432239192157,-0.01730820206179183,0.4666666666666667,-0.0013866143869797685,0.6153846153846154,-0.015563542023580207,0.5333333333333333,-0.013092658274748694,0.5384615384615384,-0.008204824933102813,0.3333333333333333,0.010848256745079131,0.46153846153846156,-0.0025697808934206793,0.5333333333333333,-0.011532213542826818,0.23076923076923078
TRAIN,KOSPI_KOSDAQ_ALL,Q50,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,BROAD_CONFIRMATION,28,0.08600061700860198,0.06890901008866641,0.06683457997402031,0.04442983664441947,0.0022339063465588492,0.00384923393781135,0.6428571428571429,1.1490239484017097,0.006449186523359114,0.004588355708609805,0.6428571428571429,1.6123474407628768,-0.006317200067010109,-0.009490772271511051,0.42857142857142855,-0.6560453907466709,0.002592783442863886,0.5714285714285714,-0.01117762442781827,0.5,-0.0036323901519485146,0.4642857142857143,0.006873834011999306,0.5714285714285714,0.005433138056350035,0.5714285714285714,-0.0012196905238793401,0.5357142857142857,0.0007723501918122501,0.5357142857142857,0.019078052807004243,0.7857142857142857
TRAIN,KOSPI_KOSDAQ_ALL,Q50,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,DEFENSIVE_CONFIRMATION,10,-0.03837451924702697,-0.04742177453710004,0.062117991564733466,0.04085541003864597,0.00165396612052494,0.0019124471352275,0.6,0.46435612765985984,-0.00037799993753526265,0.01042537589045438,0.6,-0.03972428080691834,0.013070357071532965,0.02170241775718107,0.7,0.6061494034142066,0.010506804231297111,0.7,0.002512510961978831,0.7,0.01083149222529353,0.6,0.0037670125194162905,0.5,0.0041106125987311,0.7,-0.0002792499340755872,0.8,0.00019262519208269982,0.5,0.0014269913424039826,0.6
