sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,n_left,n_right,mkt_5d_diff,mkt_20d_diff,mom_top_fwd20_diff,mom_spread_fwd20_diff,oth_top_fwd20_diff,oth_spread_fwd20_diff
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,10,35,-0.00531903773349925,-0.014593393347026539,-0.04389847681579309,-0.043174463795883994,-0.012806771404361355,-0.016431628285206237
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,11,30,-0.0013445593020153751,0.004633996245718055,0.012114530343616238,0.00037972336023900377,0.007142394716434509,0.00043201767478721204
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,BULLISH_SHIFT_MINUS_BROAD_CONFIRMATION,8,30,0.0059805333326372724,0.01704221587833736,0.017371602276649762,0.0012303087302013814,0.03440525763560935,0.002105736611961579
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,PBR12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,9,12,-0.01645507159277696,-0.04695263611317233,-0.04524476758457449,0.024270008008072927,-0.033347345002246224,0.026388784042193192
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,12,13,-0.01316111696393766,-0.0379358225963624,-0.03746553617086341,0.0214827208830214,-0.03479134519458912,0.007844663966823866
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,12,8,-0.023949215220267318,-0.07323843248967693,-0.0888499199584031,0.0017595333960229071,-0.07709114396216127,-0.0014430567182296865
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q33,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,11,31,-0.006489900860528973,-0.019478844631088933,-0.02899784363346252,-0.009167435323198959,-0.01094374855495037,0.0019379411335113603
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q33,MOM1M,OPFY1_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,9,25,0.0005848622174731764,0.01844122201734779,0.01827922076891899,-0.019539404978383326,0.03202548759533093,0.006223091400602964
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q33,MOM1M,PER12MF,MOMENTUM_X_VALUE,GENUINE_MINUS_DEFENSIVE_ROTATION,10,10,-0.000307360267454114,-0.03961897468224437,-0.034568078583089745,0.022754693197089827,-0.0314904111699852,0.010173143308428778
OOS,KOSDAQ_PLUS_KOSPI_EX_K200,Q50,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION_MINUS_BROAD_CONFIRMATION,8,19,-0.00420794800352817,-0.004059488040192414,-0.005015752096559401,0.0012903023502971699,0.005283676432426887,0.0065813019012958
