period,universe,strategy,cost_bps,n_5d,sharpe,cagr,max_drawdown,annualized_weight_turnover
STRESS_2025,KOSDAQ,PAIRWISE_SOFT,0,49,1.3416871324594908,0.11622032938803173,-0.04369903069149583,1.2347697750475222
STRESS_2026,KOSDAQ,PAIRWISE_SOFT,0,29,2.6205899147347975,0.3487235899517367,-0.02934799226764484,1.508196352859447
VAL_2020_2022,KOSDAQ,PAIRWISE_SOFT,10,148,0.8203272418818303,0.05317486942335714,-0.09899744534768573,1.244074553882108
CONF_2023_2024,KOSDAQ,PAIRWISE_SOFT,10,97,0.5807815700074572,0.04023483262677696,-0.08894279407837791,1.3492725678370614
STRESS_2025,KOSDAQ,PAIRWISE_SOFT,10,49,1.32698263705936,0.11484512457449925,-0.04383536388364584,1.2347697750475222
STRESS_2026,KOSDAQ,PAIRWISE_SOFT,10,29,2.6079923491294124,0.34670468225247886,-0.029367565378463967,1.508196352859447
VAL_2020_2022,KOSDAQ,PAIRWISE_SOFT,30,148,0.7825687945904507,0.05056046831346861,-0.09988508189418743,1.244074553882108
CONF_2023_2024,KOSDAQ,PAIRWISE_SOFT,30,97,0.5433664658104931,0.03743200455059159,-0.09007268240453148,1.3492725678370614
STRESS_2025,KOSDAQ,PAIRWISE_SOFT,30,49,1.2975799115283477,0.11209968603914122,-0.044107982365895526,1.2347697750475222
STRESS_2026,KOSDAQ,PAIRWISE_SOFT,30,29,2.582782274855689,0.34267570550742676,-0.029406711600101998,1.508196352859447
VAL_2020_2022,KOSDAQ,PAIRWISE_TOP3,0,148,0.49719914802884935,0.052355290151382405,-0.12259759678584026,16.34594594594595
CONF_2023_2024,KOSDAQ,PAIRWISE_TOP3,0,97,0.23620175281410394,0.02345107535570179,-0.2466878372629142,17.49278350515464
STRESS_2025,KOSDAQ,PAIRWISE_TOP3,0,49,2.693502604049054,0.38914488527296,-0.048007193296996764,14.4
STRESS_2026,KOSDAQ,PAIRWISE_TOP3,0,29,1.6976756666398,0.39112663452598095,-0.08100724738715603,15.062068965517238
VAL_2020_2022,KOSDAQ,PAIRWISE_TOP3,10,148,0.3560439045739584,0.03528833724837055,-0.1281894394724572,16.34594594594595
CONF_2023_2024,KOSDAQ,PAIRWISE_TOP3,10,97,0.11084712586971647,0.00572436288782896,-0.255265278253882,17.49278350515464
STRESS_2025,KOSDAQ,PAIRWISE_TOP3,10,49,2.5722953676270017,0.3693572397883047,-0.050249998263153794,14.4
STRESS_2026,KOSDAQ,PAIRWISE_TOP3,10,29,1.6276226759655255,0.37054538399659354,-0.08408564494490811,15.062068965517238
VAL_2020_2022,KOSDAQ,PAIRWISE_TOP3,30,148,0.07473997482929634,0.001955715978150252,-0.13944653723286593,16.34594594594595
CONF_2023_2024,KOSDAQ,PAIRWISE_TOP3,30,97,-0.14056666131517756,-0.028841289336119735,-0.27214266012677324,17.49278350515464
STRESS_2025,KOSDAQ,PAIRWISE_TOP3,30,49,2.3307476935763716,0.33059898815811484,-0.05472331898270766,14.4
STRESS_2026,KOSDAQ,PAIRWISE_TOP3,30,29,1.4865415525611463,0.3302633928968286,-0.09021583994870308,15.062068965517238
VAL_2020_2022,KOSDAQ,PAIRWISE_BOTTOM2_VETO,0,148,1.0117537844423001,0.08498807435996736,-0.10170835020160429,5.505405405405404
CONF_2023_2024,KOSDAQ,PAIRWISE_BOTTOM2_VETO,0,97,0.22569110356902955,0.01581507194209264,-0.15475949608929662,7.274226804123711
