variant,universe,strategy,factor,period,return_type,median_cagr,median_sharpe,median_mdd,median_calmar,median_annual_turnover,min_cagr,max_cagr,positive_cagr_phases,n_phases
KOSPI_ALL_PER_CF20,KOSPI_ALL,CF20,PER12MF,PRE_STRESS_2016_2024,NET30,0.06977301077563025,0.433144413863449,-0.5837426752484176,0.11963599406552164,5.759784143080128,0.04737417781306119,0.08505153355729655,10,10
KOSPI_ALL_PER_CF20,KOSPI_ALL,CF20,PER12MF,PRE_STRESS_2016_2024,NET60,0.05160596511057025,0.3489565580230722,-0.5969372197733903,0.08699340166909747,5.759784143080128,0.029417694527476224,0.06629103372234524,10,10
KOSPI_ALL_PER_CF20,KOSPI_ALL,CF20,PER12MF,YTD_2026,GROSS,0.5253184467490605,1.2488501550936255,-0.17864113450532576,2.981539872012081,6.7329255863711825,0.44458811434885326,0.5976589410894759,10,10
KOSPI_ALL_PER_CF20,KOSPI_ALL,CF20,PER12MF,YTD_2026,NET30,0.4935461218578744,1.1963942003774906,-0.17903954229862146,2.795290353382648,6.7329255863711825,0.41683462672156857,0.566840745935751,10,10
KOSPI_ALL_PER_CF20,KOSPI_ALL,CF20,PER12MF,YTD_2026,NET60,0.46240996517862176,1.1438517331687663,-0.17943795009191743,2.6128536208499993,6.7329255863711825,0.3895905038604408,0.5365926710560709,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,BULL_2025,GROSS,0.6417576231990626,2.1076748642955017,-0.162585982841856,3.9400699533949215,13.924070090892592,0.43759887049750734,0.7038521278840986,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,BULL_2025,NET30,0.5732162100588916,1.9361076663141592,-0.16403177553414255,3.504634389573992,13.924070090892592,0.37843210420546103,0.6359993495149063,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,BULL_2025,NET60,0.5074264911678047,1.7628486109299235,-0.16605017747117634,3.093623177626748,13.924070090892592,0.321604674212433,0.5707421041201963,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,EARLY_2016_2019,GROSS,0.006761916905597798,0.1283620097861602,-0.31820307706740797,0.021275427082689646,14.558943197895399,-0.012295245942900324,0.06955247921319008,7,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,EARLY_2016_2019,NET30,-0.036374742462773,-0.11173967720142326,-0.33006991501162175,-0.10910960732538794,14.558943197895399,-0.05470420966616796,0.0237582030581176,1,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,EARLY_2016_2019,NET60,-0.07773533478515499,-0.3505722197807606,-0.3583432325640959,-0.2147754473570599,14.558943197895399,-0.09536371432458857,-0.020151648881439166,0,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,FULL_2016_2026,GROSS,0.13478579978742244,0.6352835405054038,-0.5157480618428633,0.26668210321194985,14.29062824652085,0.11591634277850638,0.16360411758569238,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,FULL_2016_2026,NET30,0.08731847498365819,0.4625675277936142,-0.5534554422417421,0.16130760235994043,14.29062824652085,0.06874979377042734,0.11506285130933147,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,FULL_2016_2026,NET60,0.0417586521336617,0.2897048280341218,-0.5866236686436475,0.07257465712770392,14.29062824652085,0.023498823995256046,0.0684670190512442,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,LATE_2020_2022,GROSS,0.08506449408146044,0.43354190931303893,-0.4209487509950319,0.20208454449586044,14.427696965241498,0.032301587460904946,0.17231603142474294,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,LATE_2020_2022,NET30,0.03932061215963134,0.2787251239685069,-0.4247056258836043,0.09259557976057689,14.427696965241498,-0.011501877483392486,0.12363146801595293,8,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,LATE_2020_2022,NET60,-0.004571110960270408,0.12352617853266004,-0.43489198990957484,-0.010649953623782285,14.427696965241498,-0.05352004393576559,0.07688890511301372,4,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,NORMAL_2023_2024,GROSS,0.20189573992215604,0.9554583954696132,-0.21593258507009122,0.9455768601963999,13.88303243538531,0.1498883261316366,0.272961504942421,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,NORMAL_2023_2024,NET30,0.1533753382537516,0.7661021299888198,-0.21965506527007522,0.7055910233058061,13.88303243538531,0.10215901704461339,0.2216439580174352,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,NORMAL_2023_2024,NET60,0.10673683775722809,0.5757738602098587,-0.22964413336393524,0.46334577745179006,13.88303243538531,0.056333233903688607,0.17231180756685882,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,PRE_STRESS_2016_2024,GROSS,0.07633311208143112,0.43978969839814275,-0.5157480618428633,0.15090644993875035,14.345366663261881,0.05058542028057067,0.10833700356361442,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,PRE_STRESS_2016_2024,NET30,0.031074007290852523,0.24908806377599543,-0.5534554422417421,0.05728407557790431,14.345366663261881,0.005999058835082005,0.06160760384223307,10,10
KOSPI_ALL_PRIVATE_FLOW_BASE,KOSPI_ALL,PRIMARY8,PRIVATE_FLOW,PRE_STRESS_2016_2024,NET60,-0.012356665620366913,0.058587260897379506,-0.5866236686436475,-0.021636708841784483,14.345366663261881,-0.036769354141767296,0.016770658573132202,4,10
