pair,period,return_type,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_sharpe_phases,better_mdd_phases,n_phases
MIXED_OPFY1,FULL_2016_2026,NET30,0.029987175592684934,0.10595796118678424,0.021606146086634803,0.26142294648401165,10,10,8,10
MIXED_OPFY1,FULL_2016_2026,NET60,0.0282518613137418,0.10036101661347896,0.018377066152072574,0.26142294648401165,10,10,8,10
MIXED_OPFY1,LATE_2020_2022,GROSS,0.0408573261488312,0.12914729775297296,0.006359403150647147,0.08941456604993725,10,10,7,10
MIXED_OPFY1,LATE_2020_2022,NET30,0.038600335653484974,0.12279514543784037,0.006008769494473876,0.08941456604993725,10,10,7,10
MIXED_OPFY1,LATE_2020_2022,NET60,0.03645592494140559,0.11637120339771181,0.00609094025775847,0.08941456604993725,10,10,7,10
MIXED_OPFY1,NORMAL_2023_2024,GROSS,0.027070185779537126,0.11762297037473995,0.007290128442820953,0.3564727138118995,8,8,7,10
MIXED_OPFY1,NORMAL_2023_2024,NET30,0.024882543909708343,0.10616296531475969,0.007390083906243627,0.3564727138118995,8,8,7,10
MIXED_OPFY1,NORMAL_2023_2024,NET60,0.022826692772872526,0.09520801316243238,0.016268460200301982,0.3564727138118995,8,8,7,10
MIXED_OPFY1,PRE_STRESS_2016_2024,GROSS,0.02835132474126656,0.11472684643497186,0.0016815974066817785,0.2029174499495774,9,10,6,10
MIXED_OPFY1,PRE_STRESS_2016_2024,NET30,0.026813999441449465,0.10900085289365502,0.00019252924084911527,0.2029174499495774,9,9,5,10
MIXED_OPFY1,PRE_STRESS_2016_2024,NET60,0.025352444553292885,0.10224031505377447,0.00226617945276425,0.2029174499495774,9,9,5,10
MIXED_OPFY1,YTD_2026,GROSS,0.17165295882359916,0.337613814837022,0.05952064454213368,0.3620374011158498,10,10,10,10
MIXED_OPFY1,YTD_2026,NET30,0.1632795814416675,0.332584786874404,0.05939854889729418,0.3620374011158498,10,10,10,10
MIXED_OPFY1,YTD_2026,NET60,0.15529709023463806,0.3274836336461856,0.05927319526537117,0.3620374011158498,10,10,10,10
MIXED_PER,BULL_2025,GROSS,0.031969492535181554,0.13491729627076732,0.008376465520741228,1.268950668418728,8,8,8,10
MIXED_PER,BULL_2025,NET30,0.025651845900242054,0.11169475467554779,0.009135370542485644,1.268950668418728,7,7,7,10
MIXED_PER,BULL_2025,NET60,0.019509232319012026,0.08837287084747503,0.008508417920201461,1.268950668418728,7,7,7,10
MIXED_PER,EARLY_2016_2019,GROSS,0.022987422167741633,0.13427686262864133,0.01925911045433526,1.2396413280482594,10,10,10,10
MIXED_PER,EARLY_2016_2019,NET30,0.018618305795344403,0.11438051632812303,0.014835526218529627,1.2396413280482594,10,10,10,10
MIXED_PER,EARLY_2016_2019,NET60,0.014877018602024727,0.09449885978266945,0.012734795608190241,1.2396413280482594,10,10,10,10
MIXED_PER,FULL_2016_2026,GROSS,0.02802717469951732,0.11320664780022743,0.027043661672592645,1.3520362706018312,10,10,8,10
MIXED_PER,FULL_2016_2026,NET30,0.023199356826901996,0.09518420033608957,0.0221366249147682,1.3520362706018312,10,10,8,10
MIXED_PER,FULL_2016_2026,NET60,0.01850828607636068,0.07712998406385477,0.018137961945999925,1.3520362706018312,10,10,8,10
MIXED_PER,LATE_2020_2022,GROSS,0.03132256311337667,0.10279410202723294,-0.0029026825235814457,1.4539360022548111,9,9,4,10
MIXED_PER,LATE_2020_2022,NET30,0.02571250577040629,0.08580089331742458,-0.0029815258312425597,1.4539360022548111,9,9,4,10
MIXED_PER,LATE_2020_2022,NET60,0.020261323124698083,0.06873832062585294,-0.003060034623327601,1.4539360022548111,9,9,4,10
MIXED_PER,NORMAL_2023_2024,GROSS,0.04453453487007686,0.23444769412484628,0.02583773640942727,1.4436336893912172,9,9,10,10
MIXED_PER,NORMAL_2023_2024,NET30,0.03938163303614062,0.2094679664088537,0.02406620060511594,1.4436336893912172,9,9,10,10
MIXED_PER,NORMAL_2023_2024,NET60,0.0343631703880557,0.18441558763484267,0.022313897086890244,1.4436336893912172,9,9,10,10
MIXED_PER,PRE_STRESS_2016_2024,GROSS,0.03421632292996246,0.15141912025761364,0.027043661672592645,1.3881431252941545,10,10,8,10
MIXED_PER,PRE_STRESS_2016_2024,NET30,0.0292667947357248,0.13183607025801267,0.0221366249147682,1.3881431252941545,10,10,8,10
MIXED_PER,PRE_STRESS_2016_2024,NET60,0.02445680938098782,0.11219531244927303,0.018137961945999925,1.3881431252941545,10,10,8,10
MIXED_PER,YTD_2026,GROSS,-0.04015408501182638,-0.09962315777545577,-0.024324104447260908,1.307309418574302,3,3,0,10
MIXED_PER,YTD_2026,NET30,-0.043332488973309546,-0.10850587344361151,-0.026340490787673643,1.307309418574302,3,3,0,10
MIXED_PER,YTD_2026,NET60,-0.04639998652478616,-0.11736631761739794,-0.028159068664895592,1.307309418574302,2,2,0,10
