date,period,universe,strategy,cost_bps,gross_return,net_return,turnover
2021-12-10,VAL_2020_2022,K200,EW8,0,0.00020875713202818695,0.00020875713202818695,0.0
2021-12-17,VAL_2020_2022,K200,EW8,0,0.007005471763993775,0.007005471763993775,0.0
2021-12-24,VAL_2020_2022,K200,EW8,0,-0.0015804062109728751,-0.0015804062109728751,0.0
2022-01-03,VAL_2020_2022,K200,EW8,0,-0.008823272660921826,-0.008823272660921826,0.0
2022-01-10,VAL_2020_2022,K200,EW8,0,0.017194152084574726,0.017194152084574726,0.0
2022-01-17,VAL_2020_2022,K200,EW8,0,0.009153471991226963,0.009153471991226963,0.0
2022-01-24,VAL_2020_2022,K200,EW8,0,-0.00217479502909425,-0.00217479502909425,0.0
2022-02-03,VAL_2020_2022,K200,EW8,0,0.015438952062610062,0.015438952062610062,0.0
2022-02-10,VAL_2020_2022,K200,EW8,0,-0.0017148500393583243,-0.0017148500393583243,0.0
2022-02-17,VAL_2020_2022,K200,EW8,0,-0.0034329902987166754,-0.0034329902987166754,0.0
2022-02-24,VAL_2020_2022,K200,EW8,0,0.0036979934449574625,0.0036979934449574625,0.0
2022-03-04,VAL_2020_2022,K200,EW8,0,-0.006002312717745475,-0.006002312717745475,0.0
2022-03-14,VAL_2020_2022,K200,EW8,0,0.010249887673986387,0.010249887673986387,0.0
2022-03-21,VAL_2020_2022,K200,EW8,0,-0.018606109824168212,-0.018606109824168212,0.0
2022-03-28,VAL_2020_2022,K200,EW8,0,0.009398026558529749,0.009398026558529749,0.0
2022-04-04,VAL_2020_2022,K200,EW8,0,-0.01380948119928099,-0.01380948119928099,0.0
2022-04-11,VAL_2020_2022,K200,EW8,0,0.012967297903792724,0.012967297903792724,0.0
2022-04-18,VAL_2020_2022,K200,EW8,0,-0.0049660160637137124,-0.0049660160637137124,0.0
2022-04-25,VAL_2020_2022,K200,EW8,0,0.013790200342781962,0.013790200342781962,0.0
2022-05-02,VAL_2020_2022,K200,EW8,0,-0.0067702731267311,-0.0067702731267311,0.0
2022-05-10,VAL_2020_2022,K200,EW8,0,0.014168741742909111,0.014168741742909111,0.0
2022-05-17,VAL_2020_2022,K200,EW8,0,0.011885064739297787,0.011885064739297787,0.0
2022-05-24,VAL_2020_2022,K200,EW8,0,-0.013615756564253735,-0.013615756564253735,0.0
2022-05-31,VAL_2020_2022,K200,EW8,0,-0.009810448600551613,-0.009810448600551613,0.0
2022-06-09,VAL_2020_2022,K200,EW8,0,0.0024908742167302003,0.0024908742167302003,0.0
2022-06-16,VAL_2020_2022,K200,EW8,0,0.017130241416531425,0.017130241416531425,0.0
2022-06-23,VAL_2020_2022,K200,EW8,0,-0.008918977732437586,-0.008918977732437586,0.0
2022-06-30,VAL_2020_2022,K200,EW8,0,-0.003196262896268325,-0.003196262896268325,0.0
2022-07-07,VAL_2020_2022,K200,EW8,0,-0.03266844699262143,-0.03266844699262143,0.0
2022-07-14,VAL_2020_2022,K200,EW8,0,0.0049182020461543,0.0049182020461543,0.0
2022-07-21,VAL_2020_2022,K200,EW8,0,0.0010398991885653243,0.0010398991885653243,0.0
2022-07-28,VAL_2020_2022,K200,EW8,0,-0.0038330401326952626,-0.0038330401326952626,0.0
2022-08-04,VAL_2020_2022,K200,EW8,0,-0.008719225193114813,-0.008719225193114813,0.0
2022-08-11,VAL_2020_2022,K200,EW8,0,0.0007784496935176247,0.0007784496935176247,0.0
2022-08-19,VAL_2020_2022,K200,EW8,0,0.017636387793275435,0.017636387793275435,0.0
2022-08-26,VAL_2020_2022,K200,EW8,0,0.022356985196611598,0.022356985196611598,0.0
2022-09-02,VAL_2020_2022,K200,EW8,0,0.009287941566529713,0.009287941566529713,0.0
2022-09-13,VAL_2020_2022,K200,EW8,0,-0.002598431632584212,-0.002598431632584212,0.0
2022-09-20,VAL_2020_2022,K200,EW8,0,0.016777295028584976,0.016777295028584976,0.0
2022-09-27,VAL_2020_2022,K200,EW8,0,0.023262298988155412,0.023262298988155412,0.0
2022-10-05,VAL_2020_2022,K200,EW8,0,0.0046626027251123504,0.0046626027251123504,0.0
2022-10-13,VAL_2020_2022,K200,EW8,0,0.018047000044138763,0.018047000044138763,0.0
2022-10-20,VAL_2020_2022,K200,EW8,0,-0.005744809678884925,-0.005744809678884925,0.0
2022-10-27,VAL_2020_2022,K200,EW8,0,-0.0007823357783271747,-0.0007823357783271747,0.0
2022-11-03,VAL_2020_2022,K200,EW8,0,-0.01236425286390595,-0.01236425286390595,0.0
2022-11-10,VAL_2020_2022,K200,EW8,0,-0.027873174825656724,-0.027873174825656724,0.0
2022-11-17,VAL_2020_2022,K200,EW8,0,-0.035725971417782595,-0.035725971417782595,0.0
2022-11-24,VAL_2020_2022,K200,EW8,0,0.017283136739353375,0.017283136739353375,0.0
2022-12-01,VAL_2020_2022,K200,EW8,0,0.0016478605767719623,0.0016478605767719623,0.0
2022-12-08,VAL_2020_2022,K200,EW8,0,-0.005423671172748688,-0.005423671172748688,0.0
2022-12-15,VAL_2020_2022,K200,EW8,0,0.0018393457000261623,0.0018393457000261623,0.0
2022-12-22,VAL_2020_2022,K200,EW8,0,0.014079165716402936,0.014079165716402936,0.0
2022-12-29,VAL_2020_2022,K200,EW8,0,0.003739692493682836,0.003739692493682836,0.0
2023-01-06,CONF_2023_2024,K200,EW8,0,-0.019481069327961512,-0.019481069327961512,0.0
2023-01-13,CONF_2023_2024,K200,EW8,0,-0.0063080211302574745,-0.0063080211302574745,0.0
2023-01-20,CONF_2023_2024,K200,EW8,0,0.0016107442935780754,0.0016107442935780754,0.0
2023-01-31,CONF_2023_2024,K200,EW8,0,-0.006230028786930988,-0.006230028786930988,0.0
2023-02-07,CONF_2023_2024,K200,EW8,0,-0.01062766737524119,-0.01062766737524119,0.0
2023-02-14,CONF_2023_2024,K200,EW8,0,0.018090606891972415,0.018090606891972415,0.0
2023-02-21,CONF_2023_2024,K200,EW8,0,-0.008743920285188837,-0.008743920285188837,0.0
2023-02-28,CONF_2023_2024,K200,EW8,0,0.006671798264392424,0.006671798264392424,0.0
2023-03-08,CONF_2023_2024,K200,EW8,0,-0.010809531318940437,-0.010809531318940437,0.0
2023-03-15,CONF_2023_2024,K200,EW8,0,0.012598934032078974,0.012598934032078974,0.0
2023-03-22,CONF_2023_2024,K200,EW8,0,-0.014244553055766686,-0.014244553055766686,0.0
2023-03-29,CONF_2023_2024,K200,EW8,0,-0.0041250525863243005,-0.0041250525863243005,0.0
2023-04-05,CONF_2023_2024,K200,EW8,0,-0.011738511894275725,-0.011738511894275725,0.0
2023-04-12,CONF_2023_2024,K200,EW8,0,0.008122921536802963,0.008122921536802963,0.0
2023-04-19,CONF_2023_2024,K200,EW8,0,0.0058405644223317,0.0058405644223317,0.0
2023-04-26,CONF_2023_2024,K200,EW8,0,0.008215550396999362,0.008215550396999362,0.0
2023-05-04,CONF_2023_2024,K200,EW8,0,-0.004002219675777487,-0.004002219675777487,0.0
2023-05-12,CONF_2023_2024,K200,EW8,0,0.003146608628451887,0.003146608628451887,0.0
2023-05-19,CONF_2023_2024,K200,EW8,0,-0.004917248361590275,-0.004917248361590275,0.0
2023-05-26,CONF_2023_2024,K200,EW8,0,0.0049711635126297995,0.0049711635126297995,0.0
2023-06-05,CONF_2023_2024,K200,EW8,0,-0.0019062774570560628,-0.0019062774570560628,0.0
2023-06-13,CONF_2023_2024,K200,EW8,0,5.657887357101267e-05,5.657887357101267e-05,0.0
2023-06-20,CONF_2023_2024,K200,EW8,0,0.0085283079809663,0.0085283079809663,0.0
2023-06-27,CONF_2023_2024,K200,EW8,0,0.008460243847007751,0.008460243847007751,0.0
2023-07-04,CONF_2023_2024,K200,EW8,0,0.008693490064387762,0.008693490064387762,0.0
2023-07-11,CONF_2023_2024,K200,EW8,0,0.009266636314050586,0.009266636314050586,0.0
2023-07-18,CONF_2023_2024,K200,EW8,0,-0.010940717360178952,-0.010940717360178952,0.0
2023-07-25,CONF_2023_2024,K200,EW8,0,0.01867223253613485,0.01867223253613485,0.0
2023-08-01,CONF_2023_2024,K200,EW8,0,-0.013225695223972121,-0.013225695223972121,0.0
2023-08-08,CONF_2023_2024,K200,EW8,0,0.0021477702800288623,0.0021477702800288623,0.0
2023-08-16,CONF_2023_2024,K200,EW8,0,0.0038806985680673875,0.0038806985680673875,0.0
2023-08-23,CONF_2023_2024,K200,EW8,0,0.0108054203136114,0.0108054203136114,0.0
2023-08-30,CONF_2023_2024,K200,EW8,0,-0.010814418857973126,-0.010814418857973126,0.0
2023-09-06,CONF_2023_2024,K200,EW8,0,-0.00295081582535365,-0.00295081582535365,0.0
2023-09-13,CONF_2023_2024,K200,EW8,0,0.016464930286839586,0.016464930286839586,0.0
