universe,period,rule,n,win_rate,mean5,median5,cagr,mdd,worst5,mean_excess,beat_mkt
KOSPI_EX_K200,VALID_2023_2024,ALWAYS_WPLUS,91,0.5604395604395604,0.001883272520578945,0.0017950046725089,0.0761537220271773,-0.2000972464077262,-0.0720875479696914,0.0013530350353171243,0.5824175824175825
KOSPI_KOSDAQ_ALL,STRESS_2025,ALWAYS_WPLUS,49,0.673469387755102,0.010172522922402831,0.0108678523958841,0.6276147654699857,-0.07955820704924832,-0.0338003762136967,-0.0025249316140338305,0.46938775510204084
KOSPI_KOSDAQ_ALL,STRESS_2026,ALWAYS_WPLUS,21,0.5238095238095238,0.006187812052829003,0.0065288680847203,0.21095410923356162,-0.24510880160492088,-0.1160331957620569,-0.01404148961249209,0.47619047619047616
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,ALWAYS_WPLUS,328,0.5701219512195121,0.0009422185645252935,0.0049094668816792,0.02680393344176335,-0.41516686694491756,-0.1669807475920087,0.0006598869593254695,0.5365853658536586
KOSPI_KOSDAQ_ALL,VALID_2023_2024,ALWAYS_WPLUS,96,0.5208333333333334,0.00064173275983274,0.00262319854111145,0.012648086178826068,-0.25717491892443245,-0.1073010956149836,0.0005000945090514523,0.5520833333333334
K200,STRESS_2025,ALWAYS_EW4,49,0.6326530612244898,0.011860030344253881,0.0120147802301584,0.762259408346712,-0.08389640284292199,-0.0387889633462105,-0.0023877771689669106,0.5306122448979592
K200,STRESS_2026,ALWAYS_EW4,20,0.6,0.007232855010198545,0.017249607932047648,0.26560569927833044,-0.2606418491063275,-0.0963860666914498,-0.010546978294168475,0.45
K200,TRAIN_2016_2022,ALWAYS_EW4,328,0.5396341463414634,0.0003827058057441045,0.00239697478745435,0.0016814156581175244,-0.4573111556264371,-0.1523163359458333,-6.0033143669992684e-05,0.49085365853658536
K200,VALID_2023_2024,ALWAYS_EW4,97,0.5257731958762887,0.0018324003129778599,0.0005568750332231,0.08063006548446272,-0.11421685481033506,-0.0707523827426301,0.001137627775021786,0.4948453608247423
KOSDAQ,STRESS_2025,ALWAYS_EW4,45,0.7111111111111111,0.00978718220602693,0.0101547187668461,0.5473049715127156,-0.09860142932654603,-0.0383847465815337,0.004650840424413542,0.6888888888888889
KOSDAQ,STRESS_2026,ALWAYS_EW4,13,0.6153846153846154,0.019430200740842334,0.0214270018467183,0.9759562771610362,-0.06763130357085578,-0.0676289106966981,0.0044374951136914205,0.6923076923076923
KOSDAQ,TRAIN_2016_2022,ALWAYS_EW4,256,0.54296875,0.0007984876210192106,0.002610702424747,0.013230583668993656,-0.40089156175307006,-0.0819240848758336,0.0012326998370758456,0.56640625
KOSDAQ,VALID_2023_2024,ALWAYS_EW4,73,0.589041095890411,0.0015770878716550817,0.0044018044628502,0.04690268192978131,-0.24350086988751996,-0.0872251474444612,0.0012759222751292153,0.5342465753424658
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,ALWAYS_EW4,49,0.6938775510204082,0.009612892456757385,0.0091020780078174,0.5854026724972814,-0.09348302949548659,-0.0321143398450226,0.002845774351542603,0.6530612244897959
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,ALWAYS_EW4,19,0.5789473684210527,0.008625803939404703,0.004283872492667,0.3162857049630743,-0.22441578046633404,-0.1261787356825765,0.002842879020884779,0.6842105263157895
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,ALWAYS_EW4,328,0.5670731707317073,0.00047841582530130255,0.00423848522578195,0.0006085916979554629,-0.42443991215962773,-0.1755646143519117,0.0006250532400415098,0.5487804878048781
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,ALWAYS_EW4,96,0.5416666666666666,0.0013823830554854314,0.0042419545835024,0.050209438576014565,-0.2850998780530938,-0.0747349020220794,0.000996545598976718,0.5520833333333334
KOSPI_ALL,STRESS_2025,ALWAYS_EW4,49,0.6530612244897959,0.010106903895027532,0.0133666656415896,0.621335117905198,-0.0852566146636261,-0.0445028121605858,-0.0035162338971546354,0.4489795918367347
KOSPI_ALL,STRESS_2026,ALWAYS_EW4,21,0.5714285714285714,0.008299035402440072,0.0179384668855115,0.32696101590521787,-0.21463436137922898,-0.1028297644163698,-0.014376519912596268,0.38095238095238093
KOSPI_ALL,TRAIN_2016_2022,ALWAYS_EW4,328,0.5457317073170732,0.0004611278075085487,0.0035855696833956,0.004893626401276885,-0.454478658780032,-0.1647852780350054,0.00012203890025369983,0.49390243902439024
KOSPI_ALL,VALID_2023_2024,ALWAYS_EW4,97,0.5670103092783505,0.001998255929892655,0.0057313840456153,0.08968486978371981,-0.13697442651296443,-0.0681654453087026,0.0012232928624733878,0.5670103092783505
KOSPI_EX_K200,STRESS_2025,ALWAYS_EW4,49,0.5918367346938775,0.007773114699336439,0.0079580980456885,0.44718278148304,-0.08452785903135407,-0.0515965046906915,0.0018126040246456737,0.6122448979591837
KOSPI_EX_K200,STRESS_2026,ALWAYS_EW4,15,0.6666666666666666,0.01503231605143147,0.0228109532416618,0.7558955353039216,-0.11983427513078748,-0.0791287229715456,0.0014645625798348715,0.6
KOSPI_EX_K200,TRAIN_2016_2022,ALWAYS_EW4,288,0.5416666666666666,0.0007607295428762296,0.00234976032559705,0.01912968407006499,-0.3626123580726286,-0.0801712762275863,0.0007805501251613041,0.5381944444444444
KOSPI_EX_K200,VALID_2023_2024,ALWAYS_EW4,91,0.5384615384615384,0.0013866250403436057,0.0016258951002677,0.053979884750261053,-0.16701140328895903,-0.0661285321060382,0.0008563875550817848,0.5824175824175825
KOSPI_KOSDAQ_ALL,STRESS_2025,ALWAYS_EW4,49,0.7142857142857143,0.010581874970788394,0.0116803070884131,0.6619339906403718,-0.09110305553044351,-0.0327256336409311,-0.002115579565648267,0.5306122448979592
KOSPI_KOSDAQ_ALL,STRESS_2026,ALWAYS_EW4,21,0.5714285714285714,0.006613937957646661,0.0114136575657453,0.22822652367661833,-0.25788674703574443,-0.1160331957620569,-0.013615363707674426,0.47619047619047616
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,ALWAYS_EW4,328,0.573170731707317,0.0004074352757395343,0.0050101722311594,0.0006983726127440804,-0.4271815977970048,-0.1669807475920087,0.00012510367053971002,0.5152439024390244
KOSPI_KOSDAQ_ALL,VALID_2023_2024,ALWAYS_EW4,96,0.5520833333333334,0.0015629643197459459,0.00444424574181905,0.06294220811393836,-0.23552548905902415,-0.0716423946459944,0.0014213260689646585,0.5729166666666666
K200,STRESS_2025,F_LOW_MARKET,49,0.6326530612244898,0.01406064762753841,0.0100128327958145,0.947986717872833,-0.11733087621835758,-0.0485567318099933,-0.00018715988568238163,0.32653061224489793
K200,STRESS_2026,F_LOW_MARKET,20,0.55,0.0062101859611692345,0.01960660822707845,0.19439033534618866,-0.24973155716688844,-0.1263883730489126,-0.011569647343197785,0.15
K200,TRAIN_2016_2022,F_LOW_MARKET,328,0.5579268292682927,0.0010752629497930025,0.0024286913633734,0.03778133931099226,-0.3286956011332116,-0.1450765868387732,0.0006325240003789055,0.16158536585365854
K200,VALID_2023_2024,F_LOW_MARKET,97,0.5567010309278351,0.0017502595449641913,0.0023776157891085,0.07401210372138456,-0.13491994059153933,-0.0707523827426301,0.0010554870070081167,0.14432989690721648
