universe,period,spec,n,switch_share,win_rate,mean5,beat_wplus,mean_edge,beat_market,cagr,mdd,worst5
K200,VALID_2023_2024,TILT_20BP_W60,97,0.0,0.5257731958762887,0.0026263678053195768,0.0,0.0,0.4639175257731959,0.11951671961322163,-0.12409347826228034,-0.0707523827426301
KOSDAQ,STRESS_2025,TILT_0BP_W50,45,0.6444444444444445,0.6888888888888889,0.0102212597500514,0.2222222222222222,-0.0003166742146875381,0.6,0.5758567730899993,-0.13406635381891074,-0.0494594121099022
KOSDAQ,STRESS_2025,TILT_10BP_W55,45,0.0,0.6222222222222222,0.010537933964738937,0.0,0.0,0.6444444444444445,0.5971510635629831,-0.10058698392159982,-0.0494594121099022
KOSDAQ,STRESS_2025,TILT_20BP_W55,45,0.0,0.6222222222222222,0.010537933964738937,0.0,0.0,0.6444444444444445,0.5971510635629831,-0.10058698392159982,-0.0494594121099022
KOSDAQ,STRESS_2025,TILT_20BP_W60,45,0.0,0.6222222222222222,0.010537933964738937,0.0,0.0,0.6444444444444445,0.5971510635629831,-0.10058698392159982,-0.0494594121099022
KOSDAQ,STRESS_2026,TILT_0BP_W50,13,1.0,0.6923076923076923,0.024394378948766695,0.5384615384615384,0.00205613015588849,0.6923076923076923,1.3404376205746908,-0.06986909368941452,-0.0698690936894145
KOSDAQ,STRESS_2026,TILT_10BP_W55,13,0.0,0.6923076923076923,0.02233824879287821,0.0,0.0,0.6153846153846154,1.1961507943752738,-0.06774718424035031,-0.0677471842403504
KOSDAQ,STRESS_2026,TILT_20BP_W55,13,0.0,0.6923076923076923,0.02233824879287821,0.0,0.0,0.6153846153846154,1.1961507943752738,-0.06774718424035031,-0.0677471842403504
KOSDAQ,STRESS_2026,TILT_20BP_W60,13,0.0,0.6923076923076923,0.02233824879287821,0.0,0.0,0.6153846153846154,1.1961507943752738,-0.06774718424035031,-0.0677471842403504
KOSDAQ,TRAIN_2016_2022,TILT_0BP_W50,256,0.734375,0.56640625,0.003043838446034724,0.3828125,0.0015025304579424923,0.59765625,0.10129436297252403,-0.38391311328844213,-0.0798965955217663
KOSDAQ,TRAIN_2016_2022,TILT_10BP_W55,256,0.0,0.5625,0.0015413079880922324,0.0,0.0,0.56640625,0.04108080383750168,-0.3936556834696189,-0.0987587117774958
KOSDAQ,TRAIN_2016_2022,TILT_20BP_W55,256,0.0,0.5625,0.0015413079880922324,0.0,0.0,0.56640625,0.04108080383750168,-0.3936556834696189,-0.0987587117774958
