universe,period,policy,avg_mult,win_rate,mean5,cagr,mdd,worst5
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT55_125_75,0.984375,0.5625,0.001480993640300832,0.051312190786253487,-0.283310729005103,-0.1493927136558675
KOSPI_ALL,STRESS_2025,SIZE_HIT55_125_75,1.0357142857142858,0.6530612244897959,0.010343389739846933,0.6339664181273741,-0.06420693953270529,-0.058985354770646
KOSPI_ALL,STRESS_2026,SIZE_HIT55_125_75,1.1547619047619047,0.5238095238095238,0.013005315743344998,0.5725503098255664,-0.24361164670460134,-0.12853720552046224
KOSPI_ALL,TRAIN_2016_2022,SIZE_HIT55_125_75,0.9390243902439024,0.5548780487804879,0.001620344737678405,0.06503337053741398,-0.3811753814305565,-0.12358895852625404
KOSPI_ALL,VALID_2023_2024,SIZE_HIT55_125_75,0.8994845360824743,0.5670103092783505,0.0016214733507971546,0.06877884233360243,-0.11398392572921523,-0.09582527526124887
KOSPI_EX_K200,STRESS_2025,SIZE_HIT55_125_75,0.9642857142857143,0.6122448979591837,0.006972258219081195,0.39414298869541353,-0.06863809234121898,-0.04254992858221403
KOSPI_EX_K200,STRESS_2026,SIZE_HIT55_125_75,0.8833333333333333,0.7333333333333333,0.016733529540619484,0.8989835501428418,-0.08955302305677926,-0.06527236060634797
KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT55_125_75,0.9270833333333334,0.5659722222222222,0.0022422987372469716,0.08698384770334666,-0.2672896159979945,-0.0764799784784465
KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT55_125_75,0.8928571428571429,0.5604395604395604,0.002213235287541996,0.0970846261554148,-0.16971697277126052,-0.06341272143528362
KOSPI_KOSDAQ_ALL,STRESS_2025,SIZE_HIT55_125_75,0.9030612244897959,0.673469387755102,0.00951519186306783,0.5790892335654383,-0.0726582608118852,-0.0388148082318365
KOSPI_KOSDAQ_ALL,STRESS_2026,SIZE_HIT55_125_75,0.8928571428571429,0.5238095238095238,0.004455913076945814,0.13025480357741204,-0.25665237344639,-0.1450414947025711
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,SIZE_HIT55_125_75,0.9222560975609756,0.5701219512195121,0.0017882905255804285,0.07391647606799956,-0.33911916178736756,-0.12523556069400654
KOSPI_KOSDAQ_ALL,VALID_2023_2024,SIZE_HIT55_125_75,0.8697916666666666,0.5208333333333334,-0.00012934317371028162,-0.021102669622726,-0.2356234465402942,-0.1341263695187295
K200,STRESS_2025,SIZE_HIT55_150_50,1.0714285714285714,0.5714285714285714,0.013325061252032153,0.8655714820178011,-0.08318559525070002,-0.0610347145060326
K200,STRESS_2026,SIZE_HIT55_150_50,1.4,0.5,0.012593137123448816,0.42252498989628884,-0.3609103587953659,-0.1895825595733689
K200,TRAIN_2016_2022,SIZE_HIT55_150_50,0.8597560975609756,0.5304878048780488,0.0022671953978954094,0.0972269964667587,-0.2986682959540605,-0.14898081301858904
K200,VALID_2023_2024,SIZE_HIT55_150_50,0.8195876288659794,0.5257731958762887,0.0011283495481762837,0.046816734490466194,-0.15689515677621224,-0.07159742627496975
KOSDAQ,STRESS_2025,SIZE_HIT55_150_50,0.7,0.6222222222222222,0.0056119766634283655,0.27831619079829184,-0.12307029861108176,-0.0741891181648533
KOSDAQ,STRESS_2026,SIZE_HIT55_150_50,0.8076923076923077,0.6923076923076923,0.015557693224785464,0.7513374826612611,-0.03558243859402577,-0.03558243859402575
KOSDAQ,TRAIN_2016_2022,SIZE_HIT55_150_50,0.74609375,0.5625,0.001589170991799515,0.048941221549007485,-0.23289965979981309,-0.11123648684233035
KOSDAQ,VALID_2023_2024,SIZE_HIT55_150_50,0.6643835616438356,0.5753424657534246,0.001948251633753661,0.07093178107476783,-0.13296206526508603,-0.0613166219570561
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,SIZE_HIT55_150_50,1.2755102040816326,0.6938775510204082,0.014652242210687725,1.004360229794985,-0.07550061630320926,-0.04816524643149869
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,SIZE_HIT55_150_50,1.131578947368421,0.5789473684210527,0.014510949510434497,0.6878820319684482,-0.18857293175283296,-0.10962951924494624
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT55_150_50,1.076219512195122,0.5823170731707317,0.0024838968966292927,0.09655002033640336,-0.37502945309749847,-0.12879474229775534
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,SIZE_HIT55_150_50,0.96875,0.5625,0.0019475646291585904,0.07300066057253107,-0.25684579233395344,-0.179271256387041
KOSPI_ALL,STRESS_2025,SIZE_HIT55_150_50,1.0714285714285714,0.6530612244897959,0.011028732882253221,0.6806903703493341,-0.07273925252750968,-0.07078242572477521
KOSPI_ALL,STRESS_2026,SIZE_HIT55_150_50,1.3095238095238095,0.5238095238095238,0.01546334817623022,0.6886696699867942,-0.28655430201759213,-0.1542446466245547
KOSPI_ALL,TRAIN_2016_2022,SIZE_HIT55_150_50,0.8780487804878049,0.5548780487804879,0.0024264539867470394,0.10751764344681125,-0.3022673466065754,-0.11058211574191096
KOSPI_ALL,VALID_2023_2024,SIZE_HIT55_150_50,0.7989690721649485,0.5670103092783505,0.000342441729869632,0.004714111715878211,-0.1564915336826882,-0.11499033031349865
KOSPI_EX_K200,STRESS_2025,SIZE_HIT55_150_50,0.9285714285714286,0.6122448979591837,0.006204649342674254,0.34310669165407304,-0.08201348394624175,-0.043439074838815206
KOSPI_EX_K200,STRESS_2026,SIZE_HIT55_150_50,0.7666666666666667,0.7333333333333333,0.01718453911172469,0.9573611720659065,-0.06007879919769776,-0.04351490707089865
KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT55_150_50,0.8541666666666666,0.5659722222222222,0.002934935457600006,0.11972826340527787,-0.18809036122136358,-0.0917759741741358
