universe,period,base_state,factor_substate,policy,action,n,win_rate,mean_5d,beat_mkt_rate,mean_excess
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,B4,F_LOW,ALPHA_STATE,LEADER,9,0.7777777777777778,0.0074532998856904,0.7777777777777778,2.8205835055010185e-05
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B2,F_HIGH,ABS_STATE,POSABS,1,0.0,-0.054592587060788,0.0,-0.024791477160065696
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B2,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,1,0.0,-0.054592587060788,0.0,-0.024791477160065696
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B2,F_LOW,ABS_STATE,CASH,5,0.0,0.0,0.6,0.009153923400798299
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B2,F_LOW,ALPHA_STATE,LEADER,5,0.4,-0.0075623738945539195,0.4,0.0015915495062443787
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B3,F_LOW,ABS_STATE,CASH,1,0.0,0.0,0.0,-0.0486703644289826
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B3,F_LOW,ALPHA_STATE,POSABS,1,1.0,0.05306989783190583,1.0,0.004399533402923227
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B4,F_HIGH,ABS_STATE,POSABS,10,0.6,0.01452930932444178,0.6,0.0030356129252621204
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B4,F_HIGH,ALPHA_STATE,LEADER,10,0.8,0.020732309063647127,0.6,0.00923861266446747
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B4,F_LOW,ABS_STATE,LEADER,2,0.5,0.016448377567732098,0.5,0.00552889159982555
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,B4,F_LOW,ALPHA_STATE,LEADER,2,0.5,0.016448377567732098,0.5,0.00552889159982555
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B2,F_HIGH,ABS_STATE,POSABS,18,0.7222222222222222,0.00827418770635077,0.3888888888888889,-0.0030434370245497637
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B2,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,18,0.7222222222222222,0.0093569148582012,0.4444444444444444,-0.0019607098726993335
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B2,F_LOW,ABS_STATE,CASH,48,0.0,0.0,0.3958333333333333,0.0032331239233637393
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B2,F_LOW,ALPHA_STATE,LEADER,48,0.5,-0.0024056718716882496,0.5208333333333334,0.00082745205167549
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,ABS_STATE,WPLUS,67,0.5522388059701493,0.0011383109987125664,0.6716417910447762,0.0042492186628272114
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,ALPHA_STATE,POSABS,67,0.5373134328358209,0.0008989498771954885,0.6865671641791045,0.004009857541310134
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,ABS_STATE,CASH,73,0.0,0.0,0.547945205479452,0.004017290747047904
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,ALPHA_STATE,POSABS,73,0.547945205479452,-0.0016138372900146311,0.684931506849315,0.002403453457033273
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,ABS_STATE,POSABS,63,0.6349206349206349,0.0013506522561231719,0.5079365079365079,-3.697799329454735e-05
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,ALPHA_STATE,LEADER,63,0.6190476190476191,0.003471578034226876,0.5714285714285714,0.002083947784809157
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_LOW,ABS_STATE,LEADER,59,0.6440677966101694,0.006782873913532527,0.5932203389830508,0.001399010126289749
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_LOW,ALPHA_STATE,LEADER,59,0.6440677966101694,0.006782873913532527,0.5932203389830508,0.001399010126289749
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B2,F_HIGH,ABS_STATE,POSABS,3,0.3333333333333333,0.0017657198535017012,0.3333333333333333,-0.0047150735367767
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B2,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,3,0.6666666666666666,0.0014095788757574658,0.6666666666666666,-0.005071214514520933
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B2,F_LOW,ABS_STATE,CASH,17,0.0,0.0,0.5294117647058824,0.00048364252974130535
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B2,F_LOW,ALPHA_STATE,LEADER,17,0.5294117647058824,-0.00331392522894741,0.47058823529411764,-0.002830282699206105
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B3,F_HIGH,ABS_STATE,WPLUS,24,0.625,0.008552017546861036,0.5833333333333334,0.0011595341766596067
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B3,F_HIGH,ALPHA_STATE,POSABS,24,0.625,0.00846903610110576,0.625,0.0010765527309043311
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B3,F_LOW,ABS_STATE,CASH,31,0.0,0.0,0.4838709677419355,0.002689666798603978
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B3,F_LOW,ALPHA_STATE,POSABS,31,0.4838709677419355,-0.002339641929036148,0.5161290322580645,0.00035002486956782963
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B4,F_HIGH,ABS_STATE,POSABS,9,0.6666666666666666,-0.0073745348639768105,0.4444444444444444,0.000240123248231746
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B4,F_HIGH,ALPHA_STATE,LEADER,9,0.5555555555555556,-0.013059872879630155,0.3333333333333333,-0.005445214767421599
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B4,F_LOW,ABS_STATE,LEADER,12,0.5833333333333334,0.002924785081513816,0.5,0.0028987907863996954
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,B4,F_LOW,ALPHA_STATE,LEADER,12,0.5833333333333334,0.002924785081513816,0.5,0.0028987907863996954
KOSPI_ALL,STRESS_2025,B2,F_HIGH,ABS_STATE,POSABS,1,1.0,0.021310058902701035,1.0,0.006726656786926135
KOSPI_ALL,STRESS_2025,B2,F_HIGH,ALPHA_STATE,WPLUS,1,1.0,0.021310058902701035,1.0,0.006726656786926135
KOSPI_ALL,STRESS_2025,B2,F_LOW,ABS_STATE,CASH,3,0.0,0.0,0.0,-0.027536432010989032
KOSPI_ALL,STRESS_2025,B2,F_LOW,ALPHA_STATE,EW4,3,1.0,0.03688777607791758,0.6666666666666666,0.009351344066928549
