universe,period,policy,n,win_rate,mean5,cagr,mdd
KOSPI_ALL,VALID_2023_2024,WPLUS,97,0.5670103092783505,0.0029005049717246768,0.1344795360353268,-0.1545240075125046
KOSPI_ALL,VALID_2023_2024,STABLE_TILT,97,0.5979381443298969,0.004099982432675546,0.2057102431313793,-0.15765710667173827
KOSPI_EX_K200,STRESS_2025,WPLUS,49,0.6122448979591837,0.007739867095488137,0.4442478359745008,-0.05804548611649163
KOSPI_EX_K200,STRESS_2025,STABLE_TILT,49,0.5918367346938775,0.009562923970476042,0.5798887475078482,-0.06521763097524402
KOSPI_EX_K200,STRESS_2026,WPLUS,15,0.7333333333333333,0.01628251996951429,0.8284614491503883,-0.11865046308934946
KOSPI_EX_K200,STRESS_2026,STABLE_TILT,15,0.6,0.01933609008212803,1.0744433023037736,-0.12200906485967011
KOSPI_EX_K200,TRAIN_2016_2022,WPLUS,288,0.5659722222222222,0.001549662016893937,0.05329773302482543,-0.3410803239575877
KOSPI_EX_K200,TRAIN_2016_2022,STABLE_TILT,288,0.5555555555555556,0.0024578275583126375,0.09518063280701439,-0.28056591398848396
KOSPI_EX_K200,VALID_2023_2024,WPLUS,91,0.5604395604395604,0.001883272520578945,0.0761537220271773,-0.2000972464077262
KOSPI_EX_K200,VALID_2023_2024,STABLE_TILT,91,0.5604395604395604,0.00221720051502464,0.09435379675421585,-0.21718078827100995
KOSPI_KOSDAQ_ALL,STRESS_2025,WPLUS,49,0.673469387755102,0.010172522922402831,0.6276147654699857,-0.07955820704924832
KOSPI_KOSDAQ_ALL,STRESS_2025,STABLE_TILT,49,0.6938775510204082,0.01224124131741876,0.8000511441391898,-0.07433941099004326
KOSPI_KOSDAQ_ALL,STRESS_2026,WPLUS,21,0.5238095238095238,0.006187812052829003,0.21095410923356162,-0.24510880160492088
KOSPI_KOSDAQ_ALL,STRESS_2026,STABLE_TILT,21,0.5714285714285714,0.009350356945691578,0.36633136641129926,-0.2618368756185965
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,WPLUS,328,0.5701219512195121,0.0009422185645252935,0.02680393344176335,-0.41516686694491756
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,STABLE_TILT,328,0.5884146341463414,0.0015493268518425327,0.056799747276807366,-0.3734198509387785
KOSPI_KOSDAQ_ALL,VALID_2023_2024,WPLUS,96,0.5208333333333334,0.00064173275983274,0.012648086178826068,-0.25717491892443245
KOSPI_KOSDAQ_ALL,VALID_2023_2024,STABLE_TILT,96,0.53125,0.0024011428722115562,0.10414619765791966,-0.22974912090650712
