universe,period,spec,n,mean_edge,median_edge,win_vs_wplus,abs_win
KOSPI_ALL,STRESS_2026,TILT_20BP_W55,12,0.0032585205707919996,0.0011104946987875453,0.5833333333333334,0.6666666666666666
KOSPI_ALL,STRESS_2026,TILT_20BP_W60,12,0.0032585205707919996,0.0011104946987875453,0.5833333333333334,0.6666666666666666
KOSPI_ALL,TRAIN_2016_2022,TILT_0BP_W50,212,0.002093641411362677,0.001203515776676451,0.5707547169811321,0.5660377358490566
KOSPI_ALL,TRAIN_2016_2022,TILT_10BP_W55,44,0.004386828002813887,0.00347440010015865,0.7045454545454546,0.5909090909090909
KOSPI_ALL,TRAIN_2016_2022,TILT_20BP_W55,44,0.004386828002813887,0.00347440010015865,0.7045454545454546,0.5909090909090909
KOSPI_ALL,TRAIN_2016_2022,TILT_20BP_W60,44,0.004386828002813887,0.00347440010015865,0.7045454545454546,0.5909090909090909
KOSPI_ALL,VALID_2023_2024,TILT_0BP_W50,58,0.0003357240796463523,0.0,0.46551724137931033,0.5689655172413793
KOSPI_ALL,VALID_2023_2024,TILT_10BP_W55,11,0.008618160011365039,0.006552374668539801,0.5454545454545454,0.5454545454545454
KOSPI_ALL,VALID_2023_2024,TILT_20BP_W55,11,0.008618160011365039,0.006552374668539801,0.5454545454545454,0.5454545454545454
KOSPI_ALL,VALID_2023_2024,TILT_20BP_W60,11,0.008618160011365039,0.006552374668539801,0.5454545454545454,0.5454545454545454
KOSPI_EX_K200,STRESS_2025,TILT_0BP_W50,35,0.0014589567783365668,0.0017184758337843008,0.5714285714285714,0.6
KOSPI_EX_K200,STRESS_2025,TILT_10BP_W55,16,0.001857526378427132,0.0009553360623658505,0.5625,0.5625
KOSPI_EX_K200,STRESS_2025,TILT_20BP_W55,8,0.0011218969029165636,-0.00010612957792484855,0.5,0.5
KOSPI_EX_K200,STRESS_2025,TILT_20BP_W60,8,0.0011218969029165636,-0.00010612957792484855,0.5,0.5
KOSPI_EX_K200,STRESS_2026,TILT_0BP_W50,11,-0.003724186453249746,-0.003958256747257,0.45454545454545453,0.45454545454545453
KOSPI_EX_K200,STRESS_2026,TILT_10BP_W55,8,-0.004716712510063551,-0.0067806662810330496,0.375,0.25
KOSPI_EX_K200,STRESS_2026,TILT_20BP_W55,7,-0.0015057240682307593,-0.003958256747257,0.42857142857142855,0.2857142857142857
KOSPI_EX_K200,STRESS_2026,TILT_20BP_W60,7,-0.0015057240682307593,-0.003958256747257,0.42857142857142855,0.2857142857142857
KOSPI_EX_K200,TRAIN_2016_2022,TILT_0BP_W50,215,0.0017943516768516052,0.0016223717396189,0.5534883720930233,0.5116279069767442
KOSPI_EX_K200,TRAIN_2016_2022,TILT_10BP_W55,96,0.0023298024329109807,0.0023220074693671502,0.6041666666666666,0.5104166666666666
KOSPI_EX_K200,TRAIN_2016_2022,TILT_20BP_W55,29,0.0035946337618918372,0.0023583624044523008,0.6551724137931034,0.4827586206896552
KOSPI_EX_K200,TRAIN_2016_2022,TILT_20BP_W60,29,0.0035946337618918372,0.0023583624044523008,0.6551724137931034,0.4827586206896552
