universe,eval_year,period,feature,target,train_n,test_n,train_spearman,direction,oos_spearman,directed_oos_spearman,train_q33,train_q67,low_n,high_n,raw_high_minus_low,directed_high_minus_low
KOSDAQ,2024,CONFIRM_2023_2024,BREADTH_CHANGE_20,TARGET_FACTOR_MOM_20,382,48,-0.0716769190693588,-1,0.04710733826313144,-0.04710733826313144,-0.125,0.125,23,19,0.009606932163621578,-0.009606932163621578
KOSDAQ,2024,CONFIRM_2023_2024,DISPERSION_CHANGE_20,TARGET_FACTOR_MOM_20,382,48,-0.04171076670178165,-1,-0.1413373860182371,0.1413373860182371,-0.0089557142520768,0.009905198497436592,15,17,-0.023429378436720646,0.023429378436720646
KOSDAQ,2024,CONFIRM_2023_2024,AVG_PAIR_CORR_60,TARGET_FACTOR_MOM_20,382,48,0.01581530501652722,1,-0.15653495440729484,-0.15653495440729484,0.022375430082272878,0.10392530021973645,5,4,-0.024354459169922675,-0.024354459169922675
KOSDAQ,2024,CONFIRM_2023_2024,PC1_SHARE_60,TARGET_FACTOR_MOM_20,382,48,-0.14186327846361488,-1,0.15186712983065567,-0.15186712983065567,0.3719905027629737,0.4273172921683301,21,8,-0.010460728815523769,0.010460728815523769
KOSDAQ,2024,CONFIRM_2023_2024,FACTOR_VOL_MEDIAN_60,TARGET_FACTOR_MOM_20,382,48,-0.07162713979577481,-1,0.16869300911854102,-0.16869300911854102,0.020544282549499183,0.024326980489048036,8,12,0.03760874986867348,-0.03760874986867348
KOSDAQ,2024,CONFIRM_2023_2024,SIGN_ALIGNMENT_20_60,TARGET_FACTOR_MOM_20,382,48,-0.0788712731988051,-1,-0.05537094048762768,0.05537094048762768,0.625,0.75,17,31,-0.01602146383191007,0.01602146383191007
KOSDAQ,2025,BULL_2025,BREADTH_20,TARGET_RANK_CORR_20,430,49,-0.04601255234018266,-1,0.057868699045646316,-0.057868699045646316,0.5,0.625,27,22,0.024009940676607333,-0.024009940676607333
KOSDAQ,2025,BULL_2025,BREADTH_60,TARGET_RANK_CORR_20,430,49,0.009910493710188975,1,0.1008393066182697,0.1008393066182697,0.5,0.625,12,37,0.385939510939511,0.385939510939511
KOSDAQ,2025,BULL_2025,DISPERSION_20,TARGET_RANK_CORR_20,430,49,-0.1426933137326166,-1,0.36534005161624117,-0.36534005161624117,0.03783284929359077,0.0516562890567812,7,23,0.43419106773144034,-0.43419106773144034
KOSDAQ,2025,BULL_2025,DISPERSION_60,TARGET_RANK_CORR_20,430,49,-0.12327680208451325,-1,0.2199699430276404,-0.2199699430276404,0.07080131924793327,0.0941529591102731,15,25,0.2996825396825397,-0.2996825396825397
