strategy,universe,sample,family,n_dates,gross_delta,positive_date_rate
PROMOTE20,KOSPI_ALL,BULL_2025,FLOW,25,-0.0007739099036300065,0.4
PROMOTE20,KOSPI_ALL,BULL_2025,MOMENTUM,25,0.000798525433891995,0.48
PROMOTE20,KOSPI_ALL,BULL_2025,REVISION,25,0.0045200430975184305,0.6
PROMOTE20,KOSPI_ALL,BULL_2025,VALUE,25,0.0020587782310473785,0.56
PROMOTE20,KOSPI_ALL,EARLY_2016_2019,FLOW,98,0.0007737577573664264,0.5510204081632653
PROMOTE20,KOSPI_ALL,EARLY_2016_2019,MOMENTUM,98,-0.0007704453872449281,0.5102040816326531
PROMOTE20,KOSPI_ALL,EARLY_2016_2019,REVISION,98,-0.00045741848787106865,0.4897959183673469
PROMOTE20,KOSPI_ALL,EARLY_2016_2019,VALUE,98,0.0003574321991849797,0.5816326530612245
PROMOTE20,KOSPI_ALL,LATE_2020_2022,FLOW,75,0.0009395685255598146,0.48
PROMOTE20,KOSPI_ALL,LATE_2020_2022,MOMENTUM,75,0.0018182544325199479,0.5466666666666666
PROMOTE20,KOSPI_ALL,LATE_2020_2022,REVISION,75,0.0015661835440559599,0.52
PROMOTE20,KOSPI_ALL,LATE_2020_2022,VALUE,75,-0.0008548577658803656,0.36
PROMOTE20,KOSPI_ALL,NORMAL_2023_2024,FLOW,48,-0.0009196531386783455,0.4375
PROMOTE20,KOSPI_ALL,NORMAL_2023_2024,MOMENTUM,48,-0.002364560992148283,0.4166666666666667
PROMOTE20,KOSPI_ALL,NORMAL_2023_2024,REVISION,48,-0.0008088036725448158,0.5
PROMOTE20,KOSPI_ALL,NORMAL_2023_2024,VALUE,48,0.000921184239025122,0.5208333333333334
PROMOTE20,KOSPI_ALL,YTD_2026,FLOW,13,0.0005254958809222417,0.38461538461538464
PROMOTE20,KOSPI_ALL,YTD_2026,MOMENTUM,13,-0.002081954793438098,0.38461538461538464
PROMOTE20,KOSPI_ALL,YTD_2026,REVISION,13,0.004500649014248198,0.6153846153846154
PROMOTE20,KOSPI_ALL,YTD_2026,VALUE,13,0.002635152973887167,0.6153846153846154
PROMOTE20,KOSPI_EX_K200,BULL_2025,FLOW,25,0.003429856514223813,0.6
PROMOTE20,KOSPI_EX_K200,BULL_2025,MOMENTUM,25,0.000634694251541627,0.6
PROMOTE20,KOSPI_EX_K200,BULL_2025,REVISION,25,0.0031263289975375567,0.6
PROMOTE20,KOSPI_EX_K200,BULL_2025,VALUE,25,-0.0005473014673520353,0.44
PROMOTE20,KOSPI_EX_K200,EARLY_2016_2019,FLOW,98,-0.000305736523055026,0.46938775510204084
PROMOTE20,KOSPI_EX_K200,EARLY_2016_2019,MOMENTUM,98,1.386035092722978e-06,0.5306122448979592
PROMOTE20,KOSPI_EX_K200,EARLY_2016_2019,REVISION,98,-8.205032949123408e-05,0.5102040816326531
PROMOTE20,KOSPI_EX_K200,EARLY_2016_2019,VALUE,98,0.0001356869841833081,0.45918367346938777
PROMOTE20,KOSPI_EX_K200,LATE_2020_2022,FLOW,75,-0.0013540843293056778,0.4
PROMOTE20,KOSPI_EX_K200,LATE_2020_2022,MOMENTUM,75,0.0019631009251654605,0.6
PROMOTE20,KOSPI_EX_K200,LATE_2020_2022,REVISION,75,-0.00016166699299090064,0.4533333333333333
PROMOTE20,KOSPI_EX_K200,LATE_2020_2022,VALUE,75,0.00017145634522215564,0.52
PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,FLOW,48,-0.002437004401523663,0.4375
PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,MOMENTUM,48,0.0010696470701333624,0.625
PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,REVISION,48,-0.0005371849758625023,0.5833333333333334
PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,VALUE,48,-0.001561088545889638,0.3541666666666667
PROMOTE20,KOSPI_EX_K200,YTD_2026,FLOW,13,0.0028106201984475243,0.7692307692307693
PROMOTE20,KOSPI_EX_K200,YTD_2026,MOMENTUM,13,-0.0009280044000358414,0.46153846153846156
PROMOTE20,KOSPI_EX_K200,YTD_2026,REVISION,13,-0.003880521558351573,0.46153846153846156
PROMOTE20,KOSPI_EX_K200,YTD_2026,VALUE,13,0.003736903948153415,0.6153846153846154
PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,FLOW,25,-0.0042052569680846716,0.48
PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,MOMENTUM,25,0.0030605296190506976,0.6
