strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,REVISION,6,-0.006455597114780717,0.6666666666666666
HOT_HIGH30_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,VALUE,6,0.00061489441425144,0.5
HOT_HIGH30_DIAG,KOSPI_ALL,5,BULL_2025,FLOW,49,-0.0034282518605093684,0.4489795918367347
HOT_HIGH30_DIAG,KOSPI_ALL,5,BULL_2025,MOMENTUM,49,-0.004709614516090534,0.42857142857142855
HOT_HIGH30_DIAG,KOSPI_ALL,5,BULL_2025,REVISION,49,-0.002153357568060696,0.3877551020408163
HOT_HIGH30_DIAG,KOSPI_ALL,5,BULL_2025,VALUE,49,-0.004324011273205189,0.40816326530612246
HOT_HIGH30_DIAG,KOSPI_ALL,5,EARLY_2016_2019,FLOW,192,-0.0004988474557692306,0.5052083333333334
HOT_HIGH30_DIAG,KOSPI_ALL,5,EARLY_2016_2019,MOMENTUM,192,-0.0006075938551434617,0.4791666666666667
HOT_HIGH30_DIAG,KOSPI_ALL,5,EARLY_2016_2019,REVISION,192,-0.0012357147670917126,0.484375
HOT_HIGH30_DIAG,KOSPI_ALL,5,EARLY_2016_2019,VALUE,192,-0.000815824779119546,0.4791666666666667
HOT_HIGH30_DIAG,KOSPI_ALL,5,LATE_2020_2022,FLOW,149,-0.002384780538928776,0.44966442953020136
HOT_HIGH30_DIAG,KOSPI_ALL,5,LATE_2020_2022,MOMENTUM,149,-0.0006361978858022859,0.47651006711409394
HOT_HIGH30_DIAG,KOSPI_ALL,5,LATE_2020_2022,REVISION,149,-0.0023823189916341407,0.4228187919463087
HOT_HIGH30_DIAG,KOSPI_ALL,5,LATE_2020_2022,VALUE,149,-0.001381710064208735,0.46308724832214765
HOT_HIGH30_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,FLOW,97,-0.00041861107790484153,0.5154639175257731
HOT_HIGH30_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,MOMENTUM,97,-0.0009681070226053911,0.4536082474226804
HOT_HIGH30_DIAG,KOSPI_ALL,5,NORMAL_2023_2024,REVISION,97,0.00038166631879559774,0.4845360824742268
