strategy,universe,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
BASE,KOSDAQ,LATE_2020_2022,75,-0.0006616980117050663,-0.03108333333333333,-0.0006616980117050663,-0.0005684480117050664,-0.00047519801170506636,net_30,-0.0005684480117050664,-0.0022340017773570136,0.0011374235250147296,0.26566666666666666
BASE,KOSDAQ,LATE_2020_2022,75,-0.0006616980117050663,-0.03108333333333333,-0.0006616980117050663,-0.0005684480117050664,-0.00047519801170506636,net_60,-0.00047519801170506636,-0.002249139205509023,0.0012431422340679992,0.28733333333333333
BASE,KOSDAQ,NORMAL_2023_2024,48,-0.0004842006387000277,-0.03515625000000001,-0.0004842006387000277,-0.00037873188870002784,-0.00027326313870002774,gross_delta,-0.0004842006387000277,-0.002534134667309855,0.0015383272090031637,0.321
BASE,KOSDAQ,NORMAL_2023_2024,48,-0.0004842006387000277,-0.03515625000000001,-0.0004842006387000277,-0.00037873188870002784,-0.00027326313870002774,net_30,-0.00037873188870002784,-0.0024261439729083268,0.00159193791421172,0.35883333333333334
BASE,KOSDAQ,NORMAL_2023_2024,48,-0.0004842006387000277,-0.03515625000000001,-0.0004842006387000277,-0.00037873188870002784,-0.00027326313870002774,net_60,-0.00027326313870002774,-0.002284581991439402,0.0017126707727395454,0.3925
BASE,KOSDAQ,YTD_2026,13,-0.0054127858391999845,-0.052403846153846155,-0.0054127858391999845,-0.005255574300738446,-0.005098362762276908,gross_delta,-0.0054127858391999845,-0.014018583223087303,0.00402010137228087,0.12916666666666668
BASE,KOSDAQ,YTD_2026,13,-0.0054127858391999845,-0.052403846153846155,-0.0054127858391999845,-0.005255574300738446,-0.005098362762276908,net_30,-0.005255574300738446,-0.013747966634807467,0.004028401135423735,0.13716666666666666
BASE,KOSDAQ,YTD_2026,13,-0.0054127858391999845,-0.052403846153846155,-0.0054127858391999845,-0.005255574300738446,-0.005098362762276908,net_60,-0.005098362762276908,-0.013993805686472351,0.004380416719225206,0.14316666666666666
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.004439843875482437,-0.048249999999999994,-0.004439843875482437,-0.004295093875482437,-0.004150343875482437,gross_delta,-0.004439843875482437,-0.009234146501822416,0.00029220010446896224,0.03333333333333333
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.004439843875482437,-0.048249999999999994,-0.004439843875482437,-0.004295093875482437,-0.004150343875482437,net_30,-0.004295093875482437,-0.009191474945145774,0.0005619603306090702,0.04133333333333333
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.004439843875482437,-0.048249999999999994,-0.004439843875482437,-0.004295093875482437,-0.004150343875482437,net_60,-0.004150343875482437,-0.008952175805702569,0.000565949018045837,0.04416666666666667
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,-0.0009399104005909317,-0.037563775510204074,-0.0009399104005909317,-0.0008272190740603193,-0.0007145277475297071,gross_delta,-0.0009399104005909317,-0.0019429203257281267,4.897840349768858e-05,0.030666666666666665
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,-0.0009399104005909317,-0.037563775510204074,-0.0009399104005909317,-0.0008272190740603193,-0.0007145277475297071,net_30,-0.0008272190740603193,-0.0018039165262267952,0.00017262191282387394,0.0515
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,-0.0009399104005909317,-0.037563775510204074,-0.0009399104005909317,-0.0008272190740603193,-0.0007145277475297071,net_60,-0.0007145277475297071,-0.0016884940003714544,0.00029219279432173966,0.08183333333333333
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.0018960792376692954,-0.060833333333333336,-0.0018960792376692954,-0.0017135792376692957,-0.0015310792376692958,gross_delta,-0.0018960792376692954,-0.004306718701294409,0.0004094903686317218,0.05466666666666667
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.0018960792376692954,-0.060833333333333336,-0.0018960792376692954,-0.0017135792376692957,-0.0015310792376692958,net_30,-0.0017135792376692957,-0.004088532084239858,0.0005901262433408265,0.06983333333333333
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.0018960792376692954,-0.060833333333333336,-0.0018960792376692954,-0.0017135792376692957,-0.0015310792376692958,net_60,-0.0015310792376692958,-0.003922594443622907,0.0008334725308671675,0.10366666666666667
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.001076232439738742,-0.05611979166666666,-0.001076232439738742,-0.0009078730647387425,-0.0007395136897387424,gross_delta,-0.001076232439738742,-0.0038398319514849747,0.0018434970261842496,0.22733333333333333
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.001076232439738742,-0.05611979166666666,-0.001076232439738742,-0.0009078730647387425,-0.0007395136897387424,net_30,-0.0009078730647387425,-0.00360967995519414,0.0019130738549254728,0.26016666666666666
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.001076232439738742,-0.05611979166666666,-0.001076232439738742,-0.0009078730647387425,-0.0007395136897387424,net_60,-0.0007395136897387424,-0.0034146693674717704,0.002067623700480825,0.2985
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,-0.004853376192824443,-0.06538461538461537,-0.004853376192824443,-0.004657222346670597,-0.00446106850051675,gross_delta,-0.004853376192824443,-0.012530845709265853,0.003945938676779107,0.14483333333333334
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,-0.004853376192824443,-0.06538461538461537,-0.004853376192824443,-0.004657222346670597,-0.00446106850051675,net_30,-0.004657222346670597,-0.012501018901377926,0.00413978240741986,0.15183333333333332
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,-0.004853376192824443,-0.06538461538461537,-0.004853376192824443,-0.004657222346670597,-0.00446106850051675,net_60,-0.00446106850051675,-0.012310932415910237,0.004160479307958381,0.15283333333333332
BASE,KOSPI_ALL,BULL_2025,25,-0.0027359705886824907,-0.04499999999999999,-0.0027359705886824907,-0.002600970588682491,-0.002465970588682491,gross_delta,-0.0027359705886824907,-0.007262447126155596,0.001461035805847893,0.1085
BASE,KOSPI_ALL,BULL_2025,25,-0.0027359705886824907,-0.04499999999999999,-0.0027359705886824907,-0.002600970588682491,-0.002465970588682491,net_30,-0.002600970588682491,-0.007039667958370744,0.0015700676467820646,0.12766666666666668
BASE,KOSPI_ALL,BULL_2025,25,-0.0027359705886824907,-0.04499999999999999,-0.0027359705886824907,-0.002600970588682491,-0.002465970588682491,net_60,-0.002465970588682491,-0.0070475328408571595,0.0016241755067969014,0.13666666666666666
BASE,KOSPI_ALL,EARLY_2016_2019,98,-0.0003487730425639145,-0.029591836734693882,-0.0003487730425639145,-0.0002599975323598327,-0.00017122202215575112,gross_delta,-0.0003487730425639145,-0.0014865134216274574,0.0008209416605887725,0.27666666666666667
BASE,KOSPI_ALL,EARLY_2016_2019,98,-0.0003487730425639145,-0.029591836734693882,-0.0003487730425639145,-0.0002599975323598327,-0.00017122202215575112,net_30,-0.0002599975323598327,-0.001364725423888356,0.000880223069615457,0.32916666666666666
BASE,KOSPI_ALL,EARLY_2016_2019,98,-0.0003487730425639145,-0.029591836734693882,-0.0003487730425639145,-0.0002599975323598327,-0.00017122202215575112,net_60,-0.00017122202215575112,-0.0013040883587168881,0.0009997666728433583,0.3908333333333333
BASE,KOSPI_ALL,LATE_2020_2022,75,-0.0007175085720929224,-0.04875000000000001,-0.0007175085720929224,-0.0005712585720929223,-0.00042500857209292235,gross_delta,-0.0007175085720929224,-0.002444054945754835,0.0011304695857886442,0.21583333333333332
BASE,KOSPI_ALL,LATE_2020_2022,75,-0.0007175085720929224,-0.04875000000000001,-0.0007175085720929224,-0.0005712585720929223,-0.00042500857209292235,net_30,-0.0005712585720929223,-0.0022827394173346653,0.0011857120246919041,0.27066666666666667
BASE,KOSPI_ALL,LATE_2020_2022,75,-0.0007175085720929224,-0.04875000000000001,-0.0007175085720929224,-0.0005712585720929223,-0.00042500857209292235,net_60,-0.00042500857209292235,-0.0021648936659034008,0.0013765114240511518,0.31733333333333336
BASE,KOSPI_ALL,NORMAL_2023_2024,48,-0.0005750031463474691,-0.056640625,-0.0005750031463474691,-0.00040508127134746924,-0.00023515939634746914,gross_delta,-0.0005750031463474691,-0.0032673969037298055,0.002253410177164627,0.3273333333333333
BASE,KOSPI_ALL,NORMAL_2023_2024,48,-0.0005750031463474691,-0.056640625,-0.0005750031463474691,-0.00040508127134746924,-0.00023515939634746914,net_30,-0.00040508127134746924,-0.003036643461518764,0.002308653712444856,0.378
BASE,KOSPI_ALL,NORMAL_2023_2024,48,-0.0005750031463474691,-0.056640625,-0.0005750031463474691,-0.00040508127134746924,-0.00023515939634746914,net_60,-0.00023515939634746914,-0.0029505533529386877,0.002517218322599379,0.4211666666666667
BASE,KOSPI_ALL,YTD_2026,13,-0.0019144230575867361,-0.05096153846153847,-0.0019144230575867361,-0.0017615384422021208,-0.0016086538268175051,gross_delta,-0.0019144230575867361,-0.007673125460006098,0.003530407354854641,0.25783333333333336
BASE,KOSPI_ALL,YTD_2026,13,-0.0019144230575867361,-0.05096153846153847,-0.0019144230575867361,-0.0017615384422021208,-0.0016086538268175051,net_30,-0.0017615384422021208,-0.007301306306231697,0.003697829371051698,0.29233333333333333
BASE,KOSPI_ALL,YTD_2026,13,-0.0019144230575867361,-0.05096153846153847,-0.0019144230575867361,-0.0017615384422021208,-0.0016086538268175051,net_60,-0.0016086538268175051,-0.007112351005330111,0.003753618153271469,0.30816666666666664
BASE,KOSPI_EX_K200,BULL_2025,25,-0.001103935193157967,-0.011999999999999997,-0.001103935193157967,-0.0010679351931579672,-0.001031935193157967,gross_delta,-0.001103935193157967,-0.002474125087088963,0.0003727044940607604,0.07183333333333333
BASE,KOSPI_EX_K200,BULL_2025,25,-0.001103935193157967,-0.011999999999999997,-0.001103935193157967,-0.0010679351931579672,-0.001031935193157967,net_30,-0.0010679351931579672,-0.0024783915215787792,0.000411120705490876,0.08533333333333333
BASE,KOSPI_EX_K200,BULL_2025,25,-0.001103935193157967,-0.011999999999999997,-0.001103935193157967,-0.0010679351931579672,-0.001031935193157967,net_60,-0.001031935193157967,-0.0024365342040085455,0.00043448220908310037,0.09033333333333333
BASE,KOSPI_EX_K200,EARLY_2016_2019,98,-0.0003773837439609105,-0.006760204081632653,-0.0003773837439609105,-0.0003571031317160125,-0.00033682251947111453,gross_delta,-0.0003773837439609105,-0.001013755764404834,0.0002152417294918344,0.11466666666666667
BASE,KOSPI_EX_K200,EARLY_2016_2019,98,-0.0003773837439609105,-0.006760204081632653,-0.0003773837439609105,-0.0003571031317160125,-0.00033682251947111453,net_30,-0.0003571031317160125,-0.001017407437484039,0.000250439863259752,0.13133333333333333
BASE,KOSPI_EX_K200,EARLY_2016_2019,98,-0.0003773837439609105,-0.006760204081632653,-0.0003773837439609105,-0.0003571031317160125,-0.00033682251947111453,net_60,-0.00033682251947111453,-0.0010055830972034968,0.0002498749693142265,0.13766666666666666
BASE,KOSPI_EX_K200,LATE_2020_2022,75,-2.8281939059669945e-05,-0.02,-2.8281939059669945e-05,3.1718060940330185e-05,9.171806094033003e-05,gross_delta,-2.8281939059669945e-05,-0.0009747921493008156,0.0009142075798592032,0.4796666666666667
