date,sample,universe,factor,family,strategy,gross,turnover,base_gross,base_turnover,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,VETO_PROMOTE20,-0.038443300444977,1.0,-0.04806922049004022,1.0,0.00962592004506322,0.0,0.00962592004506322,0.00962592004506322,0.00962592004506322
2016-01-04,EARLY_2016_2019,K200,PBR12MF,VALUE,CF20,-0.056033211335544106,1.0,-0.04806922049004022,1.0,-0.007963990845503886,0.0,-0.007963990845503886,-0.007963990845503886,-0.007963990845503886
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,VETO20,-0.023124972263401128,1.0,-0.03481149630686957,1.0,0.011686524043468441,0.0,0.011686524043468441,0.011686524043468441,0.011686524043468441
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,PROMOTE20,-0.04406737629019284,1.0,-0.03481149630686957,1.0,-0.009255879983323272,0.0,-0.009255879983323272,-0.009255879983323272,-0.009255879983323272
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,VETO_PROMOTE20,-0.03440548918926264,1.0,-0.03481149630686957,1.0,0.00040600711760693103,0.0,0.00040600711760693103,0.00040600711760693103,0.00040600711760693103
2016-01-04,EARLY_2016_2019,K200,PER12MF,VALUE,CF20,-0.016871225948327722,1.0,-0.03481149630686957,1.0,0.017940270358541847,0.0,0.017940270358541847,0.017940270358541847,0.017940270358541847
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,VETO20,0.02806784031386191,1.0,0.02742453900840073,1.0,0.0006433013054611796,0.0,0.0006433013054611796,0.0006433013054611796,0.0006433013054611796
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,PROMOTE20,0.018581428479873104,1.0,0.02742453900840073,1.0,-0.008843110528527626,0.0,-0.008843110528527626,-0.008843110528527626,-0.008843110528527626
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,VETO_PROMOTE20,0.02708538642083655,1.0,0.02742453900840073,1.0,-0.00033915258756418015,0.0,-0.00033915258756418015,-0.00033915258756418015,-0.00033915258756418015
2016-01-04,EARLY_2016_2019,K200,MOM1M,MOMENTUM,CF20,0.014755659210455543,1.0,0.02742453900840073,1.0,-0.012668879797945187,0.0,-0.012668879797945187,-0.012668879797945187,-0.012668879797945187
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,VETO20,0.03668439744529793,1.0,0.0067807038897661365,1.0,0.029903693555531796,0.0,0.029903693555531796,0.029903693555531796,0.029903693555531796
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,PROMOTE20,0.004989362174755976,1.0,0.0067807038897661365,1.0,-0.0017913417150101606,0.0,-0.0017913417150101606,-0.0017913417150101606,-0.0017913417150101606
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,VETO_PROMOTE20,0.006505251657618866,1.0,0.0067807038897661365,1.0,-0.00027545223214727084,0.0,-0.00027545223214727084,-0.00027545223214727084,-0.00027545223214727084
2016-01-04,EARLY_2016_2019,K200,MOM12_1,MOMENTUM,CF20,0.016608988196832555,1.0,0.0067807038897661365,1.0,0.009828284307066419,0.0,0.009828284307066419,0.009828284307066419,0.009828284307066419
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,VETO20,0.005358749500535895,1.0,-0.0008239769484453069,1.0,0.006182726448981202,0.0,0.006182726448981202,0.006182726448981202,0.006182726448981202
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,PROMOTE20,-0.009613036296350028,1.0,-0.0008239769484453069,1.0,-0.00878905934790472,0.0,-0.00878905934790472,-0.00878905934790472,-0.00878905934790472
2016-01-04,EARLY_2016_2019,K200,PRIVATE_FLOW,FLOW,VETO_PROMOTE20,-0.001907008214308395,1.0,-0.0008239769484453069,1.0,-0.001083031265863088,0.0,-0.001083031265863088,-0.001083031265863088,-0.001083031265863088
