date,sample,universe,factor,family,strategy,gross,turnover
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.029033426867990104,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,OPFY1_REV,REVISION,CF20,-0.01904911428818929,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PBR12MF,VALUE,BASE,-0.039305932410355626,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PBR12MF,VALUE,VETO20,-0.032006300712879424,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PBR12MF,VALUE,PROMOTE20,-0.045263317122344104,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PBR12MF,VALUE,VETO_PROMOTE20,-0.02289227583037493,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PBR12MF,VALUE,CF20,-0.05348401015966077,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PER12MF,VALUE,BASE,-0.030151023235202405,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PER12MF,VALUE,VETO20,-0.05624757196269101,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PER12MF,VALUE,PROMOTE20,-0.015739460305499137,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PER12MF,VALUE,VETO_PROMOTE20,-0.03015410801514179,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PER12MF,VALUE,CF20,-0.016961084172870067,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM1M,MOMENTUM,BASE,0.025559989404411475,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM1M,MOMENTUM,VETO20,0.018806475942037,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM1M,MOMENTUM,PROMOTE20,0.011515700206619125,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM1M,MOMENTUM,VETO_PROMOTE20,0.010764804634212012,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM1M,MOMENTUM,CF20,0.019036354634490858,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM12_1,MOMENTUM,BASE,0.03561632544421074,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM12_1,MOMENTUM,VETO20,0.020570066498753713,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM12_1,MOMENTUM,PROMOTE20,0.02853063891711046,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM12_1,MOMENTUM,VETO_PROMOTE20,0.03310348626766314,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,MOM12_1,MOMENTUM,CF20,0.031206555794008894,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PRIVATE_FLOW,FLOW,BASE,-0.008281483438291664,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PRIVATE_FLOW,FLOW,VETO20,-0.01608194625947697,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PRIVATE_FLOW,FLOW,PROMOTE20,-0.002029454546980722,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PRIVATE_FLOW,FLOW,VETO_PROMOTE20,-0.011713551784986153,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,PRIVATE_FLOW,FLOW,CF20,-0.005665025987850595,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,FOREIGN_FLOW,FLOW,BASE,0.0160720559628817,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,FOREIGN_FLOW,FLOW,VETO20,-0.0012134418668425322,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,FOREIGN_FLOW,FLOW,PROMOTE20,0.017891742836657506,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,FOREIGN_FLOW,FLOW,VETO_PROMOTE20,-0.008135084694281397,1.0
2016-01-04,EARLY_2016_2019,KOSPI_ALL,FOREIGN_FLOW,FLOW,CF20,-0.012825892385812448,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OP12_REV,REVISION,BASE,-0.008327605096507379,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OP12_REV,REVISION,VETO20,0.010102715906287665,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OP12_REV,REVISION,PROMOTE20,-0.014483067538353007,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OP12_REV,REVISION,VETO_PROMOTE20,0.0020678293716287336,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OP12_REV,REVISION,CF20,-0.005561736415920706,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OPFY1_REV,REVISION,BASE,-0.0044257947723300075,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OPFY1_REV,REVISION,VETO20,-0.011118258727340265,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OPFY1_REV,REVISION,PROMOTE20,-0.028780755475161283,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OPFY1_REV,REVISION,VETO_PROMOTE20,-0.03035953206790056,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,OPFY1_REV,REVISION,CF20,-0.0014379981276892856,1.0
2016-01-04,EARLY_2016_2019,KOSDAQ,PBR12MF,VALUE,BASE,-0.02025621673644124,1.0
