strategy,universe,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0018297379398501078,0.03528645833333333,-0.0018297379398501078,-0.0019355973148501076,-0.0020414566898501077
PROMOTE20,KOSPI_EX_K200,YTD_2026,13,-0.0015497110523169468,0.031249999999999997,-0.0015497110523169468,-0.0016434610523169467,-0.001737211052316947
PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.003556189146575127,-0.035250000000000004,-0.003556189146575127,-0.0034504391465751284,-0.0033446891465751276
PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.000440539498535576,-0.010650510204081634,-0.000440539498535576,-0.0004085879679233311,-0.0003766364373110861
PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.00080580974229115,-0.032583333333333325,-0.00080580974229115,-0.0007080597422911498,-0.0006103097422911502
PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.00033847422846292166,-0.035546875,-0.00033847422846292166,-0.00023183360346292113,-0.00012519297846292146
PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.009381356324150028,-0.04375,-0.009381356324150028,-0.009250106324150027,-0.009118856324150028
VETO20,K200,BULL_2025,25,-0.0005664843087924619,0.04125,-0.0005664843087924619,-0.000690234308792462,-0.0008139843087924617
VETO20,K200,EARLY_2016_2019,98,-0.00014307257683015902,0.045599489795918366,-0.00014307257683015902,-0.0002798710462179141,-0.00041666951560566915
VETO20,K200,LATE_2020_2022,75,0.0003072461406928591,0.040249999999999994,0.0003072461406928591,0.00018649614069285908,6.57461406928592e-05
VETO20,K200,NORMAL_2023_2024,48,1.0908474479588985e-05,0.047005208333333326,1.0908474479588985e-05,-0.00013010715052041107,-0.000271122775520411
VETO20,K200,YTD_2026,13,-0.0006338685297461709,0.04615384615384616,-0.0006338685297461709,-0.000772330068207709,-0.0009107916066692477
VETO20,KOSDAQ,BULL_2025,25,-0.001517084672260023,0.0275,-0.001517084672260023,-0.0015995846722600224,-0.0016820846722600227
VETO20,KOSDAQ,EARLY_2016_2019,98,-0.0004001929158955395,0.04413265306122449,-0.0004001929158955395,-0.000532590875079213,-0.0006649888342628863
VETO20,KOSDAQ,LATE_2020_2022,75,0.00036257807006457335,0.03025000000000001,0.00036257807006457335,0.0002718280700645733,0.0001810780700645733
VETO20,KOSDAQ,NORMAL_2023_2024,48,-5.8409326720994344e-05,0.02552083333333333,-5.8409326720994344e-05,-0.00013497182672099454,-0.0002115343267209945
VETO20,KOSDAQ,YTD_2026,13,-0.005719067002361813,0.015865384615384618,-0.005719067002361813,-0.0057666631562079676,-0.005814259310054122
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.003915143915776367,0.009000000000000001,-0.003915143915776367,-0.0039421439157763674,-0.003969143915776367
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,5.278713176669967e-05,0.028698979591836735,5.278713176669967e-05,-3.3309807008810596e-05,-0.00011940674578432078
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.00039960977378219987,0.006333333333333333,-0.00039960977378219987,-0.00041860977378219995,-0.00043760977378219987
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.00043102152578661696,0.00611979166666667,-0.00043102152578661696,-0.0004493809007866171,-0.000467740275786617
VETO20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,-0.0008898810617274851,0.007692307692307691,-0.0008898810617274851,-0.0009129579848044079,-0.0009360349078813306
VETO20,KOSPI_ALL,BULL_2025,25,-0.0008362069389051619,0.010000000000000002,-0.0008362069389051619,-0.0008662069389051619,-0.0008962069389051624
VETO20,KOSPI_ALL,EARLY_2016_2019,98,-4.89581847635734e-06,0.02729591836734694,-4.89581847635734e-06,-8.678357357839803e-05,-0.0001686713286804389
VETO20,KOSPI_ALL,LATE_2020_2022,75,-0.0002726779448348706,0.011333333333333332,-0.0002726779448348706,-0.00030667794483487076,-0.00034067794483487105
VETO20,KOSPI_ALL,NORMAL_2023_2024,48,-9.436504705410732e-05,0.006770833333333336,-9.436504705410732e-05,-0.00011467754705410769,-0.00013499004705410747
VETO20,KOSPI_ALL,YTD_2026,13,-0.0012721753778307057,0.018749999999999996,-0.0012721753778307057,-0.0013284253778307062,-0.001384675377830706
VETO20,KOSPI_EX_K200,BULL_2025,25,0.0014743459454230252,0.04125,0.0014743459454230252,0.0013505959454230255,0.0012268459454230253
VETO20,KOSPI_EX_K200,EARLY_2016_2019,98,-5.062776204468102e-05,0.04808673469387754,-5.062776204468102e-05,-0.00019488796612631372,-0.00033914817020794637
VETO20,KOSPI_EX_K200,LATE_2020_2022,75,-0.0007250588515113556,0.04716666666666666,-0.0007250588515113556,-0.0008665588515113556,-0.0010080588515113556
VETO20,KOSPI_EX_K200,NORMAL_2023_2024,48,0.00015465042924202405,0.04283854166666667,0.00015465042924202405,2.6134804242024174e-05,-0.00010238082075797591
VETO20,KOSPI_EX_K200,YTD_2026,13,0.0029872142272601436,0.04567307692307691,0.0029872142272601436,0.0028501949964909127,0.0027131757657216818
VETO20,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.003851500461471809,-0.01275,-0.003851500461471809,-0.0038132504614718098,-0.0037750004614718093
VETO20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.0007505486161797562,-0.00191326530612245,-0.0007505486161797562,-0.0007448088202613888,-0.0007390690243430215
VETO20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.0008596223894531677,-0.014333333333333333,-0.0008596223894531677,-0.0008166223894531673,-0.0007736223894531675
VETO20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-0.0009989852266721001,-0.027864583333333342,-0.0009989852266721001,-0.0009153914766720997,-0.0008317977266720997
VETO20,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.0056743042777234005,-0.027884615384615376,-0.0056743042777234005,-0.005590650431569555,-0.005506996585415708
VETO_PROMOTE20,K200,BULL_2025,25,-0.00015137852306009998,0.05625,-0.00015137852306009998,-0.00032012852306010004,-0.0004888785230601
VETO_PROMOTE20,K200,EARLY_2016_2019,98,-1.5060818112309187e-05,0.05153061224489796,-1.5060818112309187e-05,-0.00016965265484700326,-0.00032424449158169685
VETO_PROMOTE20,K200,LATE_2020_2022,75,0.0004461896102561335,0.04666666666666666,0.0004461896102561335,0.00030618961025613345,0.0001661896102561335
VETO_PROMOTE20,K200,NORMAL_2023_2024,48,5.196776402557037e-06,0.058984375,5.196776402557037e-06,-0.00017175634859744305,-0.0003487094735974432
VETO_PROMOTE20,K200,YTD_2026,13,0.0016990162346202872,0.05384615384615384,0.0016990162346202872,0.0015374777730818258,0.0013759393115433645
VETO_PROMOTE20,KOSDAQ,BULL_2025,25,-0.0008211517866411555,0.048500000000000015,-0.0008211517866411555,-0.0009666517866411559,-0.0011121517866411557
VETO_PROMOTE20,KOSDAQ,EARLY_2016_2019,98,0.0001677214089670771,0.05746173469387755,0.0001677214089670771,-4.663795114555654e-06,-0.00017704899919618815
VETO_PROMOTE20,KOSDAQ,LATE_2020_2022,75,-8.318561037301058e-05,0.036250000000000004,-8.318561037301058e-05,-0.0001919356103730107,-0.0003006856103730106
VETO_PROMOTE20,KOSDAQ,NORMAL_2023_2024,48,0.00047435208295550416,0.049609375000000004,0.00047435208295550416,0.000325523957955504,0.000176695832955504
VETO_PROMOTE20,KOSDAQ,YTD_2026,13,-0.0016528508179762215,0.023076923076923075,-0.0016528508179762215,-0.0017220815872069912,-0.0017913123564377606
VETO_PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,25,-0.0010629634505072586,0.02550000000000001,-0.0010629634505072586,-0.0011394634505072587,-0.0012159634505072587
VETO_PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,98,-0.00011563220954357606,0.035841836734693884,-0.00011563220954357606,-0.00022315771974765766,-0.0003306832299517393
VETO_PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,75,-0.0004343770696912417,0.01991666666666667,-0.0004343770696912417,-0.0004941270696912415,-0.0005538770696912415
VETO_PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,48,-0.0006248356986793324,0.022786458333333343,-0.0006248356986793324,-0.0006931950736793327,-0.0007615544486793326
VETO_PROMOTE20,KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,13,0.0018307057310864433,0.022596153846153846,0.0018307057310864433,0.0017629172695479815,0.0016951288080095197
VETO_PROMOTE20,KOSPI_ALL,BULL_2025,25,0.0007631458953859218,0.025750000000000006,0.0007631458953859218,0.0006858958953859219,0.0006086458953859218
VETO_PROMOTE20,KOSPI_ALL,EARLY_2016_2019,98,-2.729933879300908e-05,0.035586734693877554,-2.729933879300908e-05,-0.00013405954287464166,-0.00024081974695627437
VETO_PROMOTE20,KOSPI_ALL,LATE_2020_2022,75,-1.6025313157239286e-05,0.028083333333333335,-1.6025313157239286e-05,-0.00010027531315723923,-0.0001845253131572392
VETO_PROMOTE20,KOSPI_ALL,NORMAL_2023_2024,48,0.0006357747002830772,0.018489583333333337,0.0006357747002830772,0.0005803059502830772,0.0005248372002830771
VETO_PROMOTE20,KOSPI_ALL,YTD_2026,13,3.330540442840393e-05,0.020192307692307697,3.330540442840393e-05,-2.7271518648519216e-05,-8.784844172544216e-05
VETO_PROMOTE20,KOSPI_EX_K200,BULL_2025,25,0.0013390996704825606,0.06225000000000001,0.0013390996704825606,0.0011523496704825605,0.0009655996704825604
VETO_PROMOTE20,KOSPI_EX_K200,EARLY_2016_2019,98,-3.948852341710176e-05,0.054910714285714285,-3.948852341710176e-05,-0.00020422066627424443,-0.0003689528091313875
VETO_PROMOTE20,KOSPI_EX_K200,LATE_2020_2022,75,-0.000679362676127527,0.060750000000000005,-0.000679362676127527,-0.000861612676127527,-0.001043862676127527
VETO_PROMOTE20,KOSPI_EX_K200,NORMAL_2023_2024,48,-5.37011766643062e-06,0.05807291666666667,-5.37011766643062e-06,-0.00017958886766643073,-0.00035380761766643046
VETO_PROMOTE20,KOSPI_EX_K200,YTD_2026,13,0.0009466751598821681,0.06298076923076924,0.0009466751598821681,0.0007577328521898599,0.0005687905444975526
VETO_PROMOTE20,KOSPI_KOSDAQ_ALL,BULL_2025,25,-0.0017107078851674629,-0.003499999999999998,-0.0017107078851674629,-0.001700207885167463,-0.001689707885167463
VETO_PROMOTE20,KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,-0.0007900723197910389,0.01160714285714286,-0.0007900723197910389,-0.0008248937483624675,-0.0008597151769338956
VETO_PROMOTE20,KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,-0.0009364191034365099,-0.0017500000000000026,-0.0009364191034365099,-0.0009311691034365099,-0.00092591910343651
VETO_PROMOTE20,KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,-3.797756359170667e-05,-0.00885416666666667,-3.797756359170667e-05,-1.141506359170656e-05,1.5147436408293405e-05
VETO_PROMOTE20,KOSPI_KOSDAQ_ALL,YTD_2026,13,-0.004065558626396454,-0.017307692307692305,-0.004065558626396454,-0.004013635549473377,-0.0039617124725503
