universe,sample,contrast,n_dates,mean,ci025,ci975,p_gt0
KOSDAQ,BULL_2025,MID60_MINUS_LOW20,25,0.015054984747465036,0.004106421018005555,0.02435156441256267,0.9965
KOSDAQ,BULL_2025,MID60_MINUS_HIGH20,25,-0.01512178275822278,-0.026025733230495195,-0.0035158737301074243,0.005166666666666667
KOSDAQ,BULL_2025,LOW20_MINUS_HIGH20,25,-0.030176767505687815,-0.04683289008067595,-0.011030137024556049,0.0006666666666666666
KOSDAQ,EARLY_2016_2019,MID60_MINUS_LOW20,96,0.007628686418759079,0.0002146471515468796,0.01560508305187583,0.9793333333333333
KOSDAQ,EARLY_2016_2019,MID60_MINUS_HIGH20,96,-0.001787858296453165,-0.00763519576717543,0.004070181504342925,0.275
KOSDAQ,EARLY_2016_2019,LOW20_MINUS_HIGH20,96,-0.009416544715212243,-0.018409575414275795,-0.0002816240996449232,0.023
KOSDAQ,LATE_2020_2022,MID60_MINUS_LOW20,75,0.008601088376384944,0.00221288584065824,0.015285537901756248,0.9951666666666666
KOSDAQ,LATE_2020_2022,MID60_MINUS_HIGH20,75,0.0007167848271427816,-0.005523030449850178,0.006554382910492262,0.5968333333333333
KOSDAQ,LATE_2020_2022,LOW20_MINUS_HIGH20,75,-0.007884303549242163,-0.01727211061707856,0.001113851635153643,0.0485
KOSDAQ,NORMAL_2023_2024,MID60_MINUS_LOW20,48,0.015594732676487068,0.00510859699971685,0.025643332203240683,0.997
KOSDAQ,NORMAL_2023_2024,MID60_MINUS_HIGH20,48,0.004447318760223904,-0.008245474344489252,0.015930832298973074,0.7613333333333333
KOSDAQ,NORMAL_2023_2024,LOW20_MINUS_HIGH20,48,-0.011147413916263164,-0.02770902513633424,0.005119186056387709,0.08866666666666667
KOSDAQ,YTD_2026,MID60_MINUS_LOW20,13,0.03926675276370148,0.02225215966966695,0.0576810630164868,1.0
KOSDAQ,YTD_2026,MID60_MINUS_HIGH20,13,0.016265436102709835,-0.009848199677489828,0.0399049667299631,0.8915
KOSDAQ,YTD_2026,LOW20_MINUS_HIGH20,13,-0.023001316660991637,-0.05550042932495618,0.010252318997436703,0.08566666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,MID60_MINUS_LOW20,25,0.02290928676414653,0.01043946234985776,0.039565209793491304,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,MID60_MINUS_HIGH20,25,-0.005555429724508259,-0.015184768805466684,0.004451874095536677,0.132
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,LOW20_MINUS_HIGH20,25,-0.028464716488654798,-0.046677070164250205,-0.012915535568024742,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,MID60_MINUS_LOW20,96,0.006222043808001457,-0.0009191491096290226,0.013628230258198436,0.9553333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,MID60_MINUS_HIGH20,96,0.0016895389001785985,-0.003494950165455579,0.006560782001299149,0.7496666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2016_2019,LOW20_MINUS_HIGH20,96,-0.004532504907822859,-0.012895239121826082,0.0042207290660002525,0.1505
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,MID60_MINUS_LOW20,75,-0.0006816438862312155,-0.009055312931937466,0.007718739414899289,0.437
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,MID60_MINUS_HIGH20,75,-0.0015716027048230349,-0.007486831654558047,0.00426839952922496,0.29883333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,LOW20_MINUS_HIGH20,75,-0.0008899588185918184,-0.011010834429698016,0.009035762739445112,0.43283333333333335
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,MID60_MINUS_LOW20,48,0.0025402194801457767,-0.005831472547001303,0.010855520641137841,0.7208333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,MID60_MINUS_HIGH20,48,0.005142900529993341,-0.005358811506739537,0.013805967660671162,0.8435
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,LOW20_MINUS_HIGH20,48,0.002602681049847563,-0.008977863860535997,0.013387229352118796,0.6838333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,MID60_MINUS_LOW20,13,0.03549148057005839,0.014252636475038931,0.06308456884152518,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,MID60_MINUS_HIGH20,13,0.025944321915738332,0.010586924582579196,0.04286951568875864,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,LOW20_MINUS_HIGH20,13,-0.009547158654320058,-0.03830116470295745,0.01447340135225001,0.2921666666666667
KOSPI_ALL,BULL_2025,MID60_MINUS_LOW20,25,0.00836844794408646,-0.00233497509243262,0.02005597056509295,0.9301666666666667
KOSPI_ALL,BULL_2025,MID60_MINUS_HIGH20,25,0.005407435496867802,-0.00660106838442725,0.01585267678834069,0.8163333333333334
KOSPI_ALL,BULL_2025,LOW20_MINUS_HIGH20,25,-0.00296101244721866,-0.021652484651853647,0.016540029497023604,0.365
KOSPI_ALL,EARLY_2016_2019,MID60_MINUS_LOW20,96,2.7765629373125572e-05,-0.004728590573963245,0.004297413022480756,0.5351666666666667
KOSPI_ALL,EARLY_2016_2019,MID60_MINUS_HIGH20,96,0.0006094809819442859,-0.0033992904787496924,0.004395642170166881,0.6093333333333333
KOSPI_ALL,EARLY_2016_2019,LOW20_MINUS_HIGH20,96,0.0005817153525711606,-0.004802628814184629,0.006565371473097309,0.5658333333333333
KOSPI_ALL,LATE_2020_2022,MID60_MINUS_LOW20,75,-0.005370814182829321,-0.012367417956352905,0.001356405130237474,0.059666666666666666
KOSPI_ALL,LATE_2020_2022,MID60_MINUS_HIGH20,75,-0.0016177162147763087,-0.0076362029927302035,0.004226031506151101,0.30366666666666664
KOSPI_ALL,LATE_2020_2022,LOW20_MINUS_HIGH20,75,0.003753097968053011,-0.0049784137984524935,0.012367894522801725,0.7893333333333333
KOSPI_ALL,NORMAL_2023_2024,MID60_MINUS_LOW20,48,0.0049766068746581,-0.00482987969262481,0.014916593491593553,0.8375
KOSPI_ALL,NORMAL_2023_2024,MID60_MINUS_HIGH20,48,0.0005166823701632323,-0.0061358775067596695,0.007406976197834407,0.5581666666666667
KOSPI_ALL,NORMAL_2023_2024,LOW20_MINUS_HIGH20,48,-0.004459924504494868,-0.016935709132745502,0.007381005338480031,0.2385
KOSPI_ALL,YTD_2026,MID60_MINUS_LOW20,13,0.03415643405452785,0.012055748421640823,0.061436719776160484,1.0
KOSPI_ALL,YTD_2026,MID60_MINUS_HIGH20,13,0.006876894794012127,-0.012620913501996674,0.02360273160902695,0.7731666666666667
KOSPI_ALL,YTD_2026,LOW20_MINUS_HIGH20,13,-0.02727953926051572,-0.054235141429721155,-0.0016554107506794003,0.014333333333333333
KOSPI_EX_K200,BULL_2025,MID60_MINUS_LOW20,25,-0.004654551474503637,-0.01896614391139384,0.0069068380867170955,0.25983333333333336
