strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_BOTH20,KOSDAQ,10,BULL_2025,25,-0.006750339668365806,0.14100000000000001,-0.006750339668365806,-0.007173339668365805,-0.007596339668365806
VETO_BOTH20,KOSDAQ,10,EARLY_2016_2019,96,-0.0005353952025244895,0.15338541666666666,-0.0005353952025244895,-0.0009955514525244898,-0.0014557077025244898
VETO_BOTH20,KOSDAQ,10,LATE_2020_2022,75,-0.0002931065627327703,0.12133333333333333,-0.0002931065627327703,-0.0006571065627327703,-0.00102110656273277
VETO_BOTH20,KOSDAQ,10,NORMAL_2023_2024,48,0.0028355482406990733,0.13098958333333333,0.0028355482406990733,0.0024425794906990732,0.002049610740699073
VETO_BOTH20,KOSDAQ,10,YTD_2026,13,0.006851140564024256,0.11394230769230769,0.006851140564024256,0.00650931364094733,0.006167486717870408
VETO_BOTH20,KOSDAQ,20,BULL_2025,12,-0.012741507919084266,0.05885416666666666,-0.012741507919084266,-0.012918070419084266,-0.013094632919084267
VETO_BOTH20,KOSDAQ,20,EARLY_2016_2019,48,-5.613014548111993e-05,0.07643229166666667,-5.613014548111993e-05,-0.00028542702048112026,-0.0005147238954811202
VETO_BOTH20,KOSDAQ,20,LATE_2020_2022,38,0.0002115964821550323,0.04703947368421052,0.0002115964821550323,7.047806110240043e-05,-7.064035995023214e-05
VETO_BOTH20,KOSDAQ,20,NORMAL_2023_2024,24,0.00793430411168056,0.0484375,0.00793430411168056,0.0077889916116805616,0.007643679111680561
VETO_BOTH20,KOSDAQ,20,YTD_2026,6,0.00032207865562988426,0.046875,0.00032207865562988426,0.00018145365562988297,4.0828655629883415e-05
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,49,-0.0007316469480141627,0.15267857142857144,-0.0007316469480141627,-0.0011896826622998773,-0.0016477183765855913
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,192,0.000177432381309131,0.16809895833333333,0.000177432381309131,-0.0003268644936908689,-0.000831161368690869
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,149,0.0003639328145897817,0.1505453020134228,0.0003639328145897817,-8.770309145048658e-05,-0.0005393389974907549
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.001092808954160782,0.16784793814432988,0.001092808954160782,0.0005892651397277927,8.572132529480283e-05
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,0.006663710981113337,0.1613839285714286,0.006663710981113337,0.0061795591953990505,0.005695407409684767
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,-0.004553287473273585,0.14375,-0.004553287473273585,-0.004984537473273585,-0.005415787473273584
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,0.00012233464492505115,0.13997395833333334,0.00012233464492505115,-0.0002975872300749488,-0.0007175091050749489
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.0010030547263486461,0.12416666666666666,-0.0010030547263486461,-0.0013755547263486463,-0.0017480547263486468
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0019751913027861684,0.13411458333333334,0.0019751913027861684,0.0015728475527861687,0.0011705038027861687
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.012560130357930408,0.12596153846153846,0.012560130357930408,0.012182245742545793,0.011804361127161175
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,12,-0.008744035520701693,0.06510416666666667,-0.008744035520701693,-0.008939348020701692,-0.009134660520701691
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,48,8.688371719577118e-05,0.07252604166666667,8.688371719577118e-05,-0.00013069440780422842,-0.0003482725328042287
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,38,-0.002548094509497148,0.050493421052631576,-0.002548094509497148,-0.002699574772655044,-0.002851055035812937
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.00033629769768290813,0.04921875,0.00033629769768290813,0.00018864144768290848,4.0985197682908855e-05
VETO_BOTH20,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,6,0.0072668677785168,0.06562500000000002,0.0072668677785168,0.0070699927785168,0.0068731177785168
VETO_BOTH20,KOSPI_ALL,5,BULL_2025,49,-0.0007811853130632729,0.18469387755102037,-0.0007811853130632729,-0.0013352669457163343,-0.0018893485783693952
VETO_BOTH20,KOSPI_ALL,5,EARLY_2016_2019,192,-0.0005460808903103631,0.17698567708333332,-0.0005460808903103631,-0.001077037921560363,-0.0016079949528103633
VETO_BOTH20,KOSPI_ALL,5,LATE_2020_2022,149,3.699395938663656e-05,0.17101510067114092,3.699395938663656e-05,-0.00047605134262678606,-0.0009890966446402087
VETO_BOTH20,KOSPI_ALL,5,NORMAL_2023_2024,97,0.0008825298808116186,0.1916237113402062,0.0008825298808116186,0.000307658746791,-0.0002672123872296187
VETO_BOTH20,KOSPI_ALL,5,YTD_2026,28,0.0038884208086125437,0.19866071428571427,0.0038884208086125437,0.003292438665755401,0.002696456522898258
VETO_BOTH20,KOSPI_ALL,10,BULL_2025,25,0.0009446745718771375,0.165,0.0009446745718771375,0.00044967457187713734,-4.5325428122862286e-05
VETO_BOTH20,KOSPI_ALL,10,EARLY_2016_2019,96,-0.0007127734845476718,0.14596354166666667,-0.0007127734845476718,-0.001150664109547672,-0.0015885547345476723
VETO_BOTH20,KOSPI_ALL,10,LATE_2020_2022,75,-0.0016240453600723736,0.1445,-0.0016240453600723736,-0.002057545360072373,-0.0024910453600723733
VETO_BOTH20,KOSPI_ALL,10,NORMAL_2023_2024,48,0.0004564167317234974,0.15546875000000002,0.0004564167317234974,-9.989518276502622e-06,-0.00047639576827650227
VETO_BOTH20,KOSPI_ALL,10,YTD_2026,13,0.006868153554871284,0.16634615384615387,0.006868153554871284,0.006369115093332821,0.00587007663179436
VETO_BOTH20,KOSPI_ALL,20,BULL_2025,12,0.0032572349505381134,0.090625,0.0032572349505381134,0.0029853599505381134,0.002713484950538114
VETO_BOTH20,KOSPI_ALL,20,EARLY_2016_2019,48,-0.0014790806504259683,0.076953125,-0.0014790806504259683,-0.0017099400254259687,-0.0019407994004259686
VETO_BOTH20,KOSPI_ALL,20,LATE_2020_2022,38,-0.007046703485534181,0.06447368421052631,-0.007046703485534181,-0.007240124538165762,-0.007433545590797341
VETO_BOTH20,KOSPI_ALL,20,NORMAL_2023_2024,24,1.4716951561459234e-05,0.07864583333333335,1.4716951561459234e-05,-0.00022122054843853994,-0.00045715804843854114
VETO_BOTH20,KOSPI_ALL,20,YTD_2026,6,0.009789622304354269,0.06979166666666667,0.009789622304354269,0.00958024730435427,0.009370872304354268
VETO_BOTH20,KOSPI_EX_K200,5,BULL_2025,49,6.04403466812687e-05,0.200765306122449,6.04403466812687e-05,-0.0005418555716860781,-0.0011441514900534246
