strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
NEGLECT_LOW50,KOSPI_ALL,10,NORMAL_2023_2024,48,-0.0024164258496130672,0.29856770833333335,-0.0024164258496130672,-0.003312128974613067,-0.004207832099613067,gross_delta,-0.0024164258496130672,-0.0064231653068635135,0.001666840240723876,0.1225
NEGLECT_LOW50,KOSPI_ALL,10,NORMAL_2023_2024,48,-0.0024164258496130672,0.29856770833333335,-0.0024164258496130672,-0.003312128974613067,-0.004207832099613067,net_30,-0.003312128974613067,-0.0074398721883914,0.000899476266180438,0.0605
NEGLECT_LOW50,KOSPI_ALL,10,NORMAL_2023_2024,48,-0.0024164258496130672,0.29856770833333335,-0.0024164258496130672,-0.003312128974613067,-0.004207832099613067,net_60,-0.004207832099613067,-0.008220924649162579,-0.00012857078255702818,0.021
NEGLECT_LOW50,KOSPI_ALL,10,YTD_2026,13,-0.010317247961128144,0.27884615384615385,-0.010317247961128144,-0.011153786422666605,-0.011990324884205069,gross_delta,-0.010317247961128144,-0.019338567047829783,-0.0026852939996261354,0.0015
NEGLECT_LOW50,KOSPI_ALL,10,YTD_2026,13,-0.010317247961128144,0.27884615384615385,-0.010317247961128144,-0.011153786422666605,-0.011990324884205069,net_30,-0.011153786422666605,-0.02012308423870224,-0.0036823359452154546,0.0
NEGLECT_LOW50,KOSPI_ALL,10,YTD_2026,13,-0.010317247961128144,0.27884615384615385,-0.010317247961128144,-0.011153786422666605,-0.011990324884205069,net_60,-0.011990324884205069,-0.02094514515457201,-0.004439327975749908,0.0
NEGLECT_LOW50,KOSPI_ALL,20,BULL_2025,12,0.003514537974382946,0.2348958333333333,0.003514537974382946,0.002809850474382947,0.0021051629743829453,gross_delta,0.003514537974382946,-0.008301081940493,0.012383525046543683,0.7568333333333334
NEGLECT_LOW50,KOSPI_ALL,20,BULL_2025,12,0.003514537974382946,0.2348958333333333,0.003514537974382946,0.002809850474382947,0.0021051629743829453,net_30,0.002809850474382947,-0.008958894440493,0.011636650046543682,0.7018333333333333
NEGLECT_LOW50,KOSPI_ALL,20,BULL_2025,12,0.003514537974382946,0.2348958333333333,0.003514537974382946,0.002809850474382947,0.0021051629743829453,net_60,0.0021051629743829453,-0.009621386628157032,0.010792626958546027,0.6841666666666667
NEGLECT_LOW50,KOSPI_ALL,20,EARLY_2016_2019,48,0.0030636834767841,0.23059895833333333,0.0030636834767841,0.0023718866017841,0.0016800897267840998,gross_delta,0.0030636834767841,-1.0919455883975012e-05,0.006382651605635881,0.9745
NEGLECT_LOW50,KOSPI_ALL,20,EARLY_2016_2019,48,0.0030636834767841,0.23059895833333333,0.0030636834767841,0.0023718866017841,0.0016800897267840998,net_30,0.0023718866017841,-0.000735310285962176,0.005751858594188543,0.9278333333333333
NEGLECT_LOW50,KOSPI_ALL,20,EARLY_2016_2019,48,0.0030636834767841,0.23059895833333333,0.0030636834767841,0.0023718866017841,0.0016800897267840998,net_60,0.0016800897267840998,-0.001468174208608996,0.005090120630171384,0.8336666666666667
NEGLECT_LOW50,KOSPI_ALL,20,LATE_2020_2022,38,-0.00398831893769319,0.20953947368421053,-0.00398831893769319,-0.004616937358745823,-0.005245555779798456,gross_delta,-0.00398831893769319,-0.010498634074173967,0.0023052713411284976,0.10633333333333334
NEGLECT_LOW50,KOSPI_ALL,20,LATE_2020_2022,38,-0.00398831893769319,0.20953947368421053,-0.00398831893769319,-0.004616937358745823,-0.005245555779798456,net_30,-0.004616937358745823,-0.011118836978534339,0.0017293201612885699,0.0825
NEGLECT_LOW50,KOSPI_ALL,20,LATE_2020_2022,38,-0.00398831893769319,0.20953947368421053,-0.00398831893769319,-0.004616937358745823,-0.005245555779798456,net_60,-0.005245555779798456,-0.01186855731806375,0.0012236129957532765,0.056666666666666664
NEGLECT_LOW50,KOSPI_ALL,20,NORMAL_2023_2024,24,0.0015282091980239971,0.20286458333333335,0.0015282091980239971,0.0009196154480239967,0.00031102169802399665,gross_delta,0.0015282091980239971,-0.005250165161497492,0.006816633444127456,0.7036666666666667
NEGLECT_LOW50,KOSPI_ALL,20,NORMAL_2023_2024,24,0.0015282091980239971,0.20286458333333335,0.0015282091980239971,0.0009196154480239967,0.00031102169802399665,net_30,0.0009196154480239967,-0.005508624782807983,0.006217442759362196,0.6491666666666667
NEGLECT_LOW50,KOSPI_ALL,20,NORMAL_2023_2024,24,0.0015282091980239971,0.20286458333333335,0.0015282091980239971,0.0009196154480239967,0.00031102169802399665,net_60,0.00031102169802399665,-0.006441217450638075,0.005663254978689212,0.5663333333333334
NEGLECT_LOW50,KOSPI_EX_K200,5,BULL_2025,49,-0.001430315710703152,0.3024234693877551,-0.001430315710703152,-0.002337586118866417,-0.0032448565270296824,gross_delta,-0.001430315710703152,-0.005163528647364899,0.002119384579007575,0.2235
NEGLECT_LOW50,KOSPI_EX_K200,5,BULL_2025,49,-0.001430315710703152,0.3024234693877551,-0.001430315710703152,-0.002337586118866417,-0.0032448565270296824,net_30,-0.002337586118866417,-0.006005743371633761,0.0014185919540207852,0.1025
NEGLECT_LOW50,KOSPI_EX_K200,5,BULL_2025,49,-0.001430315710703152,0.3024234693877551,-0.001430315710703152,-0.002337586118866417,-0.0032448565270296824,net_60,-0.0032448565270296824,-0.007003279900432287,0.0005597512637118067,0.0465
NEGLECT_LOW50,KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.001100534453636249,0.3294038318452381,-0.001100534453636249,-0.002088745949171963,-0.0030769574447076773,gross_delta,-0.001100534453636249,-0.0022427531560040444,-1.7573499295150173e-05,0.022833333333333334
NEGLECT_LOW50,KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.001100534453636249,0.3294038318452381,-0.001100534453636249,-0.002088745949171963,-0.0030769574447076773,net_30,-0.002088745949171963,-0.0031723635474581115,-0.000999994938249281,0.0
NEGLECT_LOW50,KOSPI_EX_K200,5,EARLY_2016_2019,192,-0.001100534453636249,0.3294038318452381,-0.001100534453636249,-0.002088745949171963,-0.0030769574447076773,net_60,-0.0030769574447076773,-0.004171882506142862,-0.0019944112405532854,0.0
NEGLECT_LOW50,KOSPI_EX_K200,5,LATE_2020_2022,149,1.0663797282769804e-05,0.3022531160115053,1.0663797282769804e-05,-0.000896095550751746,-0.001802854898786262,gross_delta,1.0663797282769804e-05,-0.0019729730403609466,0.00203910182904929,0.49666666666666665
NEGLECT_LOW50,KOSPI_EX_K200,5,LATE_2020_2022,149,1.0663797282769804e-05,0.3022531160115053,1.0663797282769804e-05,-0.000896095550751746,-0.001802854898786262,net_30,-0.000896095550751746,-0.002936306064204536,0.0010842237604373848,0.19333333333333333
NEGLECT_LOW50,KOSPI_EX_K200,5,LATE_2020_2022,149,1.0663797282769804e-05,0.3022531160115053,1.0663797282769804e-05,-0.000896095550751746,-0.001802854898786262,net_60,-0.001802854898786262,-0.0038404381815865243,0.0002540776001841855,0.04083333333333333
NEGLECT_LOW50,KOSPI_EX_K200,5,NORMAL_2023_2024,97,-0.001096981531449885,0.30173969072164947,-0.001096981531449885,-0.002002200603614834,-0.0029074196757797825,gross_delta,-0.001096981531449885,-0.003940673025449892,0.0015525284384572398,0.22
NEGLECT_LOW50,KOSPI_EX_K200,5,NORMAL_2023_2024,97,-0.001096981531449885,0.30173969072164947,-0.001096981531449885,-0.002002200603614834,-0.0029074196757797825,net_30,-0.002002200603614834,-0.004743431381150854,0.0006779050295170316,0.07383333333333333
NEGLECT_LOW50,KOSPI_EX_K200,5,NORMAL_2023_2024,97,-0.001096981531449885,0.30173969072164947,-0.001096981531449885,-0.002002200603614834,-0.0029074196757797825,net_60,-0.0029074196757797825,-0.005793040513633742,-0.00021086783760375518,0.016833333333333332
NEGLECT_LOW50,KOSPI_EX_K200,5,YTD_2026,28,0.000414672860556587,0.27120535714285715,0.000414672860556587,-0.00039894321087198434,-0.001212559282300556,gross_delta,0.000414672860556587,-0.003913604440562059,0.0043331787493584815,0.5935
NEGLECT_LOW50,KOSPI_EX_K200,5,YTD_2026,28,0.000414672860556587,0.27120535714285715,0.000414672860556587,-0.00039894321087198434,-0.001212559282300556,net_30,-0.00039894321087198434,-0.004701764787325015,0.003519675470410489,0.4515
