policy,return_type,period,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_mdd_phases,n_phases
FB20_HIGH_HALF_REBAL10,GROSS,BULL_2025,-0.3158881302043034,-0.5015173479584226,1.1102230246251565e-16,0.5719339446000964,0,6,10
FB20_HIGH_HALF_REBAL10,GROSS,OOS_2023_2024,-0.03831705875338298,-0.1114073698588956,0.08877492469589865,0.7927495317797897,2,10,10
FB20_HIGH_HALF_REBAL10,GROSS,PRE_STRESS_2016_2024,-0.027920482831107485,-0.00722918544603085,0.02200211618012282,1.5424592809194069,2,9,10
FB20_HIGH_HALF_REBAL10,GROSS,TRAIN_2016_2022,-0.022322943176020238,0.029572925264837402,0.02200211618012282,1.7755750032672974,3,9,10
FB20_HIGH_HALF_REBAL10,GROSS,YTD_2026,0.2964211039965444,0.6368675656801874,0.18168098718800568,-0.8394445190030035,10,10,10
FB20_HIGH_HALF_REBAL10,NET30,BULL_2025,-0.30405693524750765,-0.5521803160102526,1.6653345369377348e-16,0.5706853750346363,0,6,10
FB20_HIGH_HALF_REBAL10,NET30,OOS_2023_2024,-0.0395592769549421,-0.1640360732354298,0.0924860220470004,0.7939032729103612,1,10,10
FB20_HIGH_HALF_REBAL10,NET30,PRE_STRESS_2016_2024,-0.031885387479134386,-0.071406527393239,0.019618177354329136,1.544151007345861,1,7,10
FB20_HIGH_HALF_REBAL10,NET30,TRAIN_2016_2022,-0.027371862999938434,-0.03909444140778695,0.019618177354329136,1.7772160493928828,2,7,10
FB20_HIGH_HALF_REBAL10,NET30,YTD_2026,0.2807143315704994,0.5842188801512052,0.18117280097457417,-0.8352407263950612,10,10,10
FB20_HIGH_HALF_REBAL10,NET60,BULL_2025,-0.2925961077644066,-0.600387079581302,0.0,0.5694336990795863,0,4,10
FB20_HIGH_HALF_REBAL10,NET60,OOS_2023_2024,-0.040056232933167346,-0.2102132074744552,0.08643529689630708,0.795058583080988,1,10,10
FB20_HIGH_HALF_REBAL10,NET60,PRE_STRESS_2016_2024,-0.03545895694951484,-0.1354905306932762,0.024816320430514183,1.5460256224915474,1,7,10
FB20_HIGH_HALF_REBAL10,NET60,TRAIN_2016_2022,-0.0319515190951849,-0.10762893921723424,0.024816320430514183,1.7789553100022086,2,7,10
FB20_HIGH_HALF_REBAL10,NET60,YTD_2026,0.2667275251732993,0.5336857816781473,0.18077239597863703,-0.8305084485607024,10,10,10
CRASH_GUARD_REBAL10,GROSS,BULL_2025,-0.15299647627268453,-0.2928084197824413,-1.6653345369377348e-16,1.4882131503504468,0,4,10
CRASH_GUARD_REBAL10,GROSS,OOS_2023_2024,0.04763816535757748,0.22709770843369798,0.061787986579711796,1.3919075075447358,10,10,10
CRASH_GUARD_REBAL10,GROSS,PRE_STRESS_2016_2024,-0.0009071519680166062,0.027477231823928916,0.0034057695485089634,1.8334983947337191,5,7,10
CRASH_GUARD_REBAL10,GROSS,TRAIN_2016_2022,-0.012649195459010776,-0.01705549364811909,0.0034057695485089634,1.944989453120205,4,7,10
CRASH_GUARD_REBAL10,GROSS,YTD_2026,0.25073128309082116,0.4553897848604942,0.22280279663408353,0.9321126026117348,10,10,10
CRASH_GUARD_REBAL10,NET30,BULL_2025,-0.15237044545656542,-0.33080020059590676,2.220446049250313e-16,1.4882131503504468,0,6,10
CRASH_GUARD_REBAL10,NET30,OOS_2023_2024,0.04069574254888242,0.19240255824409716,0.06718922323042031,1.3919075075447358,10,10,10
CRASH_GUARD_REBAL10,NET30,PRE_STRESS_2016_2024,-0.006949759190682414,-0.008594094984241157,0.008195461736634768,1.8334983947337191,5,7,10
CRASH_GUARD_REBAL10,NET30,TRAIN_2016_2022,-0.018485361259096167,-0.05340564726869962,0.008195461736634768,1.944989453120205,3,7,10
CRASH_GUARD_REBAL10,NET30,YTD_2026,0.23581596764948193,0.4237463422448473,0.2240232108188011,0.9321126026117348,10,10,10
CRASH_GUARD_REBAL10,NET60,BULL_2025,-0.15143043340447215,-0.3695543629470551,-2.220446049250313e-16,1.4882131503504468,0,3,10
CRASH_GUARD_REBAL10,NET60,OOS_2023_2024,0.03425883312571898,0.15759288341654015,0.07316663197493462,1.3919075075447358,10,10,10
CRASH_GUARD_REBAL10,NET60,PRE_STRESS_2016_2024,-0.012484803541614298,-0.04426124847329582,0.003849420363653766,1.8334983947337191,4,6,10
CRASH_GUARD_REBAL10,NET60,TRAIN_2016_2022,-0.02381181483590511,-0.08939440209337701,0.003849420363653766,1.944989453120205,0,6,10
CRASH_GUARD_REBAL10,NET60,YTD_2026,0.221698861222356,0.39201560418278086,0.22523797597371215,0.9321126026117348,10,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,BULL_2025,-0.49377236611427033,-0.9049025884609784,0.043704346901241586,1.4155740649734865,0,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,OOS_2023_2024,-0.01135523858459142,0.008295941670261459,0.10428556723014054,1.2200567240155644,1,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,PRE_STRESS_2016_2024,-0.032441593435234894,-0.006521978363677794,0.04588864564883566,1.8996993748066764,0,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,TRAIN_2016_2022,-0.038822766745478576,0.0011496524238705508,0.04588864564883566,2.1480921713138477,0,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,GROSS,YTD_2026,0.3772804805327678,1.0425267712629207,0.3271509228755096,-2.5460610825671095,10,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,BULL_2025,-0.4757477443935807,-1.0169360816991269,0.04266087948251601,1.4136033416907674,0,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,OOS_2023_2024,-0.016237032100473225,-0.05539242439565402,0.10764375363416728,1.2210349918595496,1,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,PRE_STRESS_2016_2024,-0.03693715452074631,-0.09239539057059798,0.03844433315996315,1.9007565684398964,0,9,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,TRAIN_2016_2022,-0.04372566424093083,-0.09102489530015201,0.03844433315996315,2.1492667797229226,0,9,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET30,YTD_2026,0.371624269378568,0.9638564153638989,0.33149166172134203,-2.5433600783246586,10,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,BULL_2025,-0.45577343438094786,-1.1305201418710449,0.04119634158166635,1.411628229812611,0,10,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,OOS_2023_2024,-0.01892159778777469,-0.1165348704186396,0.08434941225832648,1.2220719119578503,1,9,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,PRE_STRESS_2016_2024,-0.04099205988200866,-0.1776195989735342,0.02262904312079045,1.9018790034636224,0,5,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,TRAIN_2016_2022,-0.048145089570802324,-0.18225062370598172,0.02262904312079045,2.1505249411055205,0,5,10
FB20_HALF_REBAL10_CRASH_IMMEDIATE,NET60,YTD_2026,0.3657849420977395,0.8839171045616628,0.3349850687011332,-2.5405966051499984,10,10,10
