policy,phase,return_type,period,cagr,sharpe,mdd,annual_turnover,annual_allocation_turnover,avg_target_exposure
ALWAYS_100,3,NET60,YTD_2026,-0.021127526503223026,0.2577269159170517,-0.4332713151099321,16.1491365882781,0.0,1.0
ALWAYS_100,4,GROSS,TRAIN_2016_2022,0.178913650596902,0.8104754298977721,-0.45737517963438523,13.829403996598902,0.0,1.0
ALWAYS_100,4,GROSS,OOS_2023_2024,0.12479188892866477,0.630896790679351,-0.3018408162579789,14.605880098598119,0.0,1.0
ALWAYS_100,4,GROSS,PRE_STRESS_2016_2024,0.16669621436003146,0.7720915385403513,-0.45737517963438523,14.001524039154484,0.0,1.0
ALWAYS_100,4,GROSS,BULL_2025,0.854438191413555,2.773675371672841,-0.1837409055498641,15.001002568729428,0.0,1.0
ALWAYS_100,4,GROSS,YTD_2026,-0.17163372409662359,-0.01630453959197663,-0.4468797004700218,16.44631850471809,0.0,1.0
ALWAYS_100,4,NET30,TRAIN_2016_2022,0.13096168646863338,0.636029531669155,-0.4608455012081435,13.829403996598902,0.0,1.0
ALWAYS_100,4,NET30,OOS_2023_2024,0.07652666118051554,0.43833472948482183,-0.31550120482230415,14.605880098598119,0.0,1.0
ALWAYS_100,4,NET30,PRE_STRESS_2016_2024,0.11866248108906996,0.5937830673111881,-0.4608455012081435,14.001524039154484,0.0,1.0
ALWAYS_100,4,NET30,BULL_2025,0.7727559466344063,2.5827418834564906,-0.18835161236699094,15.001002568729428,0.0,1.0
ALWAYS_100,4,NET30,YTD_2026,-0.2115517441446565,-0.09716935977605491,-0.45294629858407387,16.44631850471809,0.0,1.0
ALWAYS_100,4,NET60,TRAIN_2016_2022,0.08488000074120228,0.46135459812401786,-0.4769238977682927,13.829403996598902,0.0,1.0
ALWAYS_100,4,NET60,OOS_2023_2024,0.030248661744920247,0.24554589170661784,-0.32891767550432915,14.605880098598119,0.0,1.0
ALWAYS_100,4,NET60,PRE_STRESS_2016_2024,0.07252530639144705,0.4152434558511245,-0.4769238977682927,14.001524039154484,0.0,1.0
ALWAYS_100,4,NET60,BULL_2025,0.6945240141031073,2.3877649247329646,-0.19294525572278698,15.001002568729428,0.0,1.0
ALWAYS_100,4,NET60,YTD_2026,-0.24962093483254288,-0.17762370674137953,-0.4589574579464015,16.44631850471809,0.0,1.0
ALWAYS_100,5,GROSS,TRAIN_2016_2022,0.13400996836044587,0.6441880816028772,-0.4703741844775883,13.839710204891857,0.0,1.0
ALWAYS_100,5,GROSS,OOS_2023_2024,0.1660637334639583,0.7991992550846644,-0.22952081848170192,14.275365580721402,0.0,1.0
ALWAYS_100,5,GROSS,PRE_STRESS_2016_2024,0.14104159075715672,0.6765072754905901,-0.4703741844775883,13.936324934497591,0.0,1.0
ALWAYS_100,5,GROSS,BULL_2025,0.814055218421611,2.7124129333345914,-0.17430243017376001,15.015531197258992,0.0,1.0
ALWAYS_100,5,GROSS,YTD_2026,0.09074737743054984,0.4395536552843676,-0.4088660685117179,16.477770885718723,0.0,1.0
ALWAYS_100,5,NET30,TRAIN_2016_2022,0.08785079795751871,0.4717145607305687,-0.4721673183049623,13.839710204891857,0.0,1.0
ALWAYS_100,5,NET30,OOS_2023_2024,0.1171363890138617,0.6078374103660878,-0.24477751172441642,14.275365580721402,0.0,1.0
ALWAYS_100,5,NET30,PRE_STRESS_2016_2024,0.09427845865327233,0.5001271539870609,-0.4721673183049623,13.936324934497591,0.0,1.0
ALWAYS_100,5,NET30,BULL_2025,0.7340766673926877,2.5117883046976726,-0.17884705466469897,15.015531197258992,0.0,1.0
ALWAYS_100,5,NET30,YTD_2026,0.03808742040590407,0.35494411863568254,-0.41412969310565617,16.477770885718723,0.0,1.0
ALWAYS_100,5,NET60,TRAIN_2016_2022,0.04349338361459898,0.2986164934802532,-0.4754148750502082,13.839710204891857,0.0,1.0
ALWAYS_100,5,NET60,OOS_2023_2024,0.07017824274182538,0.4157076444057142,-0.25975850876159223,14.275365580721402,0.0,1.0
ALWAYS_100,5,NET60,PRE_STRESS_2016_2024,0.04935324043397893,0.32309489292204535,-0.4754148750502082,13.936324934497591,0.0,1.0
ALWAYS_100,5,NET60,BULL_2025,0.657480945142243,2.3084015390865305,-0.18337555722751342,15.015531197258992,0.0,1.0
ALWAYS_100,5,NET60,YTD_2026,-0.012128879623702571,0.2702120236229936,-0.4193559793846753,16.477770885718723,0.0,1.0
ALWAYS_100,6,GROSS,TRAIN_2016_2022,0.14866428804893017,0.6969357218823684,-0.4590882972400381,13.909258139802139,0.0,1.0
ALWAYS_100,6,GROSS,OOS_2023_2024,0.13520952987503554,0.6752070188236337,-0.2180443316437225,14.437493002589285,0.0,1.0
ALWAYS_100,6,GROSS,PRE_STRESS_2016_2024,0.14566539029076786,0.6922599148475506,-0.4590882972400381,14.026457254095659,0.0,1.0
ALWAYS_100,6,GROSS,BULL_2025,0.9305063390072206,2.9971153248895135,-0.15468516951687972,14.97404099426788,0.0,1.0
ALWAYS_100,6,GROSS,YTD_2026,0.0702117147589254,0.4053639504589155,-0.40390198095296526,16.202987632821486,0.0,1.0
ALWAYS_100,6,NET30,TRAIN_2016_2022,0.10167846963233251,0.5235450568965693,-0.47535570446063913,13.909258139802139,0.0,1.0
ALWAYS_100,6,NET30,OOS_2023_2024,0.08704679543709437,0.483684363929736,-0.2321487008808788,14.437493002589285,0.0,1.0
ALWAYS_100,6,NET30,PRE_STRESS_2016_2024,0.09841524199310991,0.5150675458480083,-0.47535570446063913,14.026457254095659,0.0,1.0
ALWAYS_100,6,NET30,BULL_2025,0.845623724170125,2.8053359847966575,-0.15898123779076334,14.97404099426788,0.0,1.0
ALWAYS_100,6,NET30,YTD_2026,0.019383299584594837,0.32108585606651624,-0.4089591529216665,16.202987632821486,0.0,1.0
ALWAYS_100,6,NET60,TRAIN_2016_2022,0.05653598512500735,0.34979726039566345,-0.49116098795350827,13.909258139802139,0.0,1.0
ALWAYS_100,6,NET60,OOS_2023_2024,0.040843718837543896,0.2912964263099207,-0.24602244564007703,14.437493002589285,0.0,1.0
ALWAYS_100,6,NET60,PRE_STRESS_2016_2024,0.053034054559012445,0.337422340572423,-0.49116098795350827,14.026457254095659,0.0,1.0
ALWAYS_100,6,NET60,BULL_2025,0.7643214760406634,2.6087520607216756,-0.16326320353484203,14.97404099426788,0.0,1.0
ALWAYS_100,6,NET60,YTD_2026,-0.029127860771223424,0.23658495050599276,-0.41398211462772805,16.202987632821486,0.0,1.0
ALWAYS_100,7,GROSS,TRAIN_2016_2022,0.15908362198733172,0.7362315046326587,-0.45899825993677723,13.918782510781574,0.0,1.0
ALWAYS_100,7,GROSS,OOS_2023_2024,0.10941810971389798,0.5738805422913347,-0.23544235487369003,14.259905203298494,0.0,1.0
ALWAYS_100,7,GROSS,PRE_STRESS_2016_2024,0.14787079390506008,0.7018009909267546,-0.45899825993677723,13.99450152877557,0.0,1.0
ALWAYS_100,7,GROSS,BULL_2025,0.8744299978611907,2.793070610569826,-0.13923028103565915,14.760521446786331,0.0,1.0
ALWAYS_100,7,GROSS,YTD_2026,0.048377972497605004,0.36093076193131274,-0.4020700400717986,15.975422830153024,0.0,1.0
ALWAYS_100,7,NET30,TRAIN_2016_2022,0.11163952671061961,0.5615532377446938,-0.4752872775089805,13.918782510781574,0.0,1.0
ALWAYS_100,7,NET30,OOS_2023_2024,0.06291687159912374,0.38349135818707125,-0.249246150843504,14.259905203298494,0.0,1.0
ALWAYS_100,7,NET30,PRE_STRESS_2016_2024,0.10063521704814637,0.5237520652453994,-0.4752872775089805,13.99450152877557,0.0,1.0
ALWAYS_100,7,NET30,BULL_2025,0.7931629767226562,2.6002422128137894,-0.1436127402565055,14.760521446786331,0.0,1.0
ALWAYS_100,7,NET30,YTD_2026,-0.0007305027686899113,0.27436488873975245,-0.40798747860329765,15.975422830153024,0.0,1.0
ALWAYS_100,7,NET60,TRAIN_2016_2022,0.06605751126369208,0.3869171274883366,-0.5011539436788089,13.918782510781574,0.0,1.0
ALWAYS_100,7,NET60,OOS_2023_2024,0.01828501199236454,0.19440567825482494,-0.26282386036797367,14.259905203298494,0.0,1.0
ALWAYS_100,7,NET60,PRE_STRESS_2016_2024,0.055263522793155495,0.3459843622105552,-0.5011539436788089,13.99450152877557,0.0,1.0
ALWAYS_100,7,NET60,BULL_2025,0.7152749928691879,2.4047331781434176,-0.14798041841106535,14.760521446786331,0.0,1.0
ALWAYS_100,7,NET60,YTD_2026,-0.04763162323011183,0.1879021330150267,-0.4140998230527657,15.975422830153024,0.0,1.0
ALWAYS_100,8,GROSS,TRAIN_2016_2022,0.17671396922340965,0.8056898936805011,-0.43505721744417003,13.782755339169901,0.0,1.0
ALWAYS_100,8,GROSS,OOS_2023_2024,0.08944220623913401,0.49784752477520955,-0.24009422585812412,14.555772123156252,0.0,1.0
ALWAYS_100,8,GROSS,PRE_STRESS_2016_2024,0.15674845463332732,0.7406115006839881,-0.43505721744417003,13.954419829346708,0.0,1.0
ALWAYS_100,8,GROSS,BULL_2025,0.7236105309222407,2.3938083136188273,-0.17364996856589354,15.136010235853977,0.0,1.0
ALWAYS_100,8,GROSS,YTD_2026,0.08012210804344977,0.416364316755191,-0.44107004194153154,15.872912105866382,0.0,1.0
ALWAYS_100,8,NET30,TRAIN_2016_2022,0.12900950324706595,0.6313796194776532,-0.4369408677510448,13.782755339169901,0.0,1.0
ALWAYS_100,8,NET30,OOS_2023_2024,0.04285033293618601,0.3008819065737309,-0.2538440556856,14.555772123156252,0.0,1.0
ALWAYS_100,8,NET30,PRE_STRESS_2016_2024,0.10928098616717685,0.5614559432430054,-0.4369408677510448,13.954419829346708,0.0,1.0
ALWAYS_100,8,NET30,BULL_2025,0.6470233832893069,2.209541806281517,-0.181676360928423,15.136010235853977,0.0,1.0
