policy,return_type,period,median_cagr,median_sharpe,median_mdd,median_annual_turnover,median_annual_allocation_turnover,median_avg_target_exposure,positive_cagr_phases,n_phases
FB20_HIGH_HALF_REBAL10,GROSS,BULL_2025,0.4913714809032791,2.2177093569950364,-0.17302862909872263,15.698126900360254,3.712325618264087,0.7778925619834711,10,10
FB20_HIGH_HALF_REBAL10,GROSS,OOS_2023_2024,0.07112737077976339,0.4567899360402966,-0.17648735677841892,15.326812263626664,3.675780323269673,0.7919222903885481,10,10
FB20_HIGH_HALF_REBAL10,GROSS,PRE_STRESS_2016_2024,0.1338459286004512,0.7529761051474602,-0.4375105992673225,15.506337646077567,4.743284863975574,0.7664928467609468,10,10
FB20_HIGH_HALF_REBAL10,GROSS,TRAIN_2016_2022,0.1479577186075296,0.8142312699596894,-0.4375105992673225,15.55121127001788,5.048665938144113,0.7592426159535588,10,10
FB20_HIGH_HALF_REBAL10,GROSS,YTD_2026,0.2732227760716768,0.870202605554659,-0.2501896004348108,15.014232793236882,4.5184373893762135,0.6700680272108843,10,10
FB20_HIGH_HALF_REBAL10,NET30,BULL_2025,0.4232555973179525,1.969785161539205,-0.17954579564171563,15.69720065512199,3.7110820780691327,0.7778925619834711,10,10
FB20_HIGH_HALF_REBAL10,NET30,OOS_2023_2024,0.023379470136945524,0.21740066371960437,-0.20300088880628098,15.327820668144089,3.6771429980871906,0.7919222903885481,8,10
FB20_HIGH_HALF_REBAL10,NET30,PRE_STRESS_2016_2024,0.08153108972182865,0.5092906440583314,-0.4505263273195827,15.508064805775096,4.744954996017942,0.7664928467609468,10,10
FB20_HIGH_HALF_REBAL10,NET30,TRAIN_2016_2022,0.0949260098010325,0.57069352175552,-0.4505263273195827,15.55301404538108,5.050537147845876,0.7592426159535588,10,10
FB20_HIGH_HALF_REBAL10,NET30,YTD_2026,0.21186192729287356,0.7378711418367097,-0.25664135197383486,15.020848143337528,4.521804356628631,0.6700680272108843,10,10
FB20_HIGH_HALF_REBAL10,NET60,BULL_2025,0.3581592258753359,1.7172369735436925,-0.18427753383597034,15.69627169281203,3.709835451164881,0.7778925619834711,10,10
FB20_HIGH_HALF_REBAL10,NET60,OOS_2023_2024,-0.022316047851693277,-0.020036824513942064,-0.23148910721329902,15.328887948461901,3.6785078744381927,0.7919222903885481,2,10
FB20_HIGH_HALF_REBAL10,NET60,PRE_STRESS_2016_2024,0.03154537418760439,0.2607902488528564,-0.4724437564493741,15.509877412543592,4.746679891887659,0.7664928467609468,8,10
FB20_HIGH_HALF_REBAL10,NET60,TRAIN_2016_2022,0.04425700347761108,0.32711550759734964,-0.4724437564493741,15.554886649619014,5.052517611028401,0.7592426159535588,9,10
FB20_HIGH_HALF_REBAL10,NET60,YTD_2026,0.15907103946668988,0.6057229646151915,-0.26325066008245174,15.027533124389322,4.525698381909765,0.6700680272108843,10,10
F_LOW_HALF_REBAL10,GROSS,BULL_2025,0.6556846870711055,2.739037115470071,-0.11941448797047638,16.31031613560221,4.197283688635509,0.8171487603305785,10,10
F_LOW_HALF_REBAL10,GROSS,OOS_2023_2024,0.10261916740324306,0.715532723308055,-0.16818770503569425,13.757594830754817,3.6780478294372543,0.6809815950920246,10,10
F_LOW_HALF_REBAL10,GROSS,PRE_STRESS_2016_2024,0.11262655511469988,0.7139188230592426,-0.30096449153223426,14.636472474826585,4.486457816461151,0.7213988159366311,10,10
F_LOW_HALF_REBAL10,GROSS,TRAIN_2016_2022,0.1119235977526617,0.6930021765755356,-0.30096449153223426,14.878284977573426,4.719767292835105,0.7328551007244759,10,10
F_LOW_HALF_REBAL10,GROSS,YTD_2026,-0.002211882063513082,0.2309895607303849,-0.30183601905032903,16.578071200766853,4.815712696499975,0.7551020408163265,5,10
F_LOW_HALF_REBAL10,NET30,BULL_2025,0.5762884782648287,2.4880381983245603,-0.13027326848425386,16.311934451548368,4.199451897937487,0.8171487603305785,10,10
F_LOW_HALF_REBAL10,NET30,OOS_2023_2024,0.05823729576845804,0.44693188263883,-0.17859050188216813,13.758242217180342,3.6788795772702034,0.6809815950920246,8,10
F_LOW_HALF_REBAL10,NET30,PRE_STRESS_2016_2024,0.06516005337139563,0.45631715290345165,-0.3396786875626435,14.637719743982512,4.487456053793467,0.7213988159366311,10,10
F_LOW_HALF_REBAL10,NET30,TRAIN_2016_2022,0.0633336045365267,0.4371808180455593,-0.3396786875626435,14.87951972903685,4.7210890466499835,0.7328551007244759,10,10
F_LOW_HALF_REBAL10,NET30,YTD_2026,-0.05025056856875687,0.12634181167386105,-0.30682702880471563,16.58231463916127,4.818528497421369,0.7551020408163265,3,10
F_LOW_HALF_REBAL10,NET60,BULL_2025,0.5005714473734474,2.231955194772123,-0.14101911879699602,16.313555434570787,4.201624891784716,0.8171487603305785,10,10
F_LOW_HALF_REBAL10,NET60,OOS_2023_2024,0.015572594708846199,0.17697205943278682,-0.18887880709815863,13.759653537930031,3.6803964620458567,0.6809815950920246,7,10
F_LOW_HALF_REBAL10,NET60,PRE_STRESS_2016_2024,0.01964564066902219,0.199735619425148,-0.3888509348650324,14.63927011870015,4.488583478349838,0.7213988159366311,9,10
F_LOW_HALF_REBAL10,NET60,TRAIN_2016_2022,0.016779989504704163,0.18296401740060247,-0.3888509348650324,14.881094984149232,4.722751923096406,0.7328551007244759,10,10
F_LOW_HALF_REBAL10,NET60,YTD_2026,-0.0960281171289728,0.021503921092590833,-0.3117943473372967,16.58656650884574,4.821349301365096,0.7551020408163265,3,10
