universe,family_pair,anchor_family,other_family,contrast,outcome,n_years,sign_stability,median_train_diff,median_valid_diff,positive_valid_year_share
KOSPI_KOSDAQ_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.00669482433380948,0.013112183431652526,1.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,1.0,-0.0013137803747486293,-0.000657804526147312,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,0.0004507355812623325,-0.008706475565195129,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,1.0,-0.02481813551240283,-0.009344322518474451,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,0.0,0.004389397766402032,-0.014229763242997448,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,1.0,-0.013242550668237055,-0.017806111538541794,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,0.0,0.007899183048759466,-0.001710762570096544,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,0.017475239976868714,-0.018576711242576524,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,-0.00526813274136289,-0.005955976175066116,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,1.0,-0.022732622548851524,-0.006875979378214284,0.0
KOSPI_KOSDAQ_ALL,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,0.0,-0.007851958605313264,0.008705547120376342,1.0
