date,universe,family,cut_name,state6,cut,top_20d,bottom_20d,spread_20d,spread_60d,member_positive_spread_share_20d,member_same_sign_20d
2026-03-31,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.10691491088450478,-0.058271096409516554,-0.04864381447498822,0.07145804493121632,0.0,1.0
2026-04-07,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.01409186389885242,0.024605535592149064,-0.03869739949100148,0.02712221725351016,0.0,1.0
2026-04-14,K200,MOMENTUM,Q33,N+,0.012964610503860108,0.06940855474383989,0.06086994982248517,0.00853860492135472,0.014009556910787424,1.0,1.0
2026-04-21,K200,MOMENTUM,Q33,W+,0.012964610503860108,0.1638767226189397,0.09376116939105028,0.07011555322788943,0.044763136106222845,1.0,1.0
2026-04-28,K200,MOMENTUM,Q33,W+,0.012964610503860108,0.3388044587855501,0.1371649950159175,0.2016394637696326,0.16280205004482862,1.0,1.0
2026-05-07,K200,MOMENTUM,Q33,W+,0.012964610503860108,0.3684729010381689,0.0913752977265696,0.27709760331159927,0.23087776464084486,1.0,1.0
2026-05-14,K200,MOMENTUM,Q33,W+,0.012964610503860108,0.22866577886430228,0.036916241073718936,0.19174953779058335,0.2786763219373247,1.0,1.0
2026-05-21,K200,MOMENTUM,Q33,W+,0.012964610503860108,0.08967376444376329,-0.06471657812919851,0.1543903425729618,0.22740380592054044,1.0,1.0
2026-05-29,K200,MOMENTUM,Q33,W+,0.012964610503860108,0.07347319683511877,-0.1106399265664777,0.18411312340159647,0.33109900471601217,1.0,1.0
2026-06-08,K200,MOMENTUM,Q33,W-,0.012964610503860108,-0.12497286665097251,-0.1789557336359815,0.05398286698500898,0.2624609545682932,0.5,0.0
2026-06-15,K200,MOMENTUM,Q33,W-,0.012964610503860108,-0.013829706305896416,-0.07926110026120348,0.06543139395530706,0.2829307792862872,1.0,1.0
2026-06-22,K200,MOMENTUM,Q33,W-,0.012964610503860108,-0.013659938023702356,-0.09944831108846508,0.08578837306476272,0.3296783836944214,1.0,1.0
2026-06-29,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.11553854218799353,-0.08831340646531693,-0.027225135722676597,0.3490886390020136,0.5,0.0
2026-07-06,K200,MOMENTUM,Q33,N-,0.012964610503860108,-0.019299038755555165,-0.007004302695382214,-0.01229473606017295,0.28455016482485884,0.5,0.0
2026-07-13,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.19353378229156593,-0.148025725168886,-0.04550805712267991,0.16376925072121218,0.5,0.0
2026-07-21,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.18446278146468809,-0.12015496887946298,-0.06430781258522511,0.13546232896969845,0.5,0.0
2026-07-28,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.17877363036795224,-0.12168723773278611,-0.05708639263516613,0.067558324644857,0.5,0.0
2026-08-04,K200,MOMENTUM,Q33,R-,0.012964610503860108,-0.11188340614424519,-0.0563562214388319,-0.05552718470541329,-0.007218236919538934,0.5,0.0
2016-02-01,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.0487728212046723,-0.013955133187735003,0.0627279543924073,,1.0,1.0
2016-02-11,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.037461927882970425,-0.0056337366471621575,-0.03182819123580827,,0.0,1.0
2016-02-18,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.04244176015070322,0.06454503986232196,-0.10698680001302519,,0.0,1.0
2016-02-25,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.04813942271378424,0.07098045012794496,-0.1191198728417292,,0.0,1.0
2016-03-04,K200,MOMENTUM,Q50,R-,0.021674514539781864,-0.04947962440164533,0.0675698530595108,-0.11704947746115613,,0.0,1.0
2016-03-11,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.033566076524934374,0.11179891148678234,-0.07823283496184796,,0.0,1.0
2016-03-18,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.0411968910226026,0.06852273999037672,-0.027325848967774125,,0.0,1.0
2016-03-25,K200,MOMENTUM,Q50,R+,0.021674514539781864,0.029036587370963485,0.05586461467889814,-0.026828027307934654,,0.0,1.0
2016-04-01,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.025306837125204096,0.016896282566193577,0.008410554559010519,-0.04835019920785255,1.0,1.0
2016-04-08,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.020034399173132433,-0.0008296005573474874,0.02086399973047992,-0.08984032190780189,1.0,1.0
2016-04-18,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.018341350072555773,0.02596781970391082,-0.007626469631355048,-0.1517356226847022,0.5,0.0
2016-04-25,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.038628667874712086,0.04399710327630424,-0.005368435401592153,-0.16322662494264417,0.5,0.0
2016-05-02,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.009148138137773598,0.028646810303951886,-0.019498672166178288,-0.13321642907678943,0.5,0.0
2016-05-11,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.002854047144999816,0.010014377552866272,-0.007160330407866455,-0.06471940321937208,0.5,0.0
2016-05-18,K200,MOMENTUM,Q50,W-,0.021674514539781864,-0.00013083980130867978,-0.03763171768410911,0.03750087788280043,0.0051396943148434016,1.0,1.0
2016-05-25,K200,MOMENTUM,Q50,W-,0.021674514539781864,-0.022951250113121602,-0.05736127749182163,0.034410027378700025,0.0051677657137259025,1.0,1.0
2016-06-01,K200,MOMENTUM,Q50,W+,0.021674514539781864,0.0021171690482342242,-0.025213572675070406,0.02733074172330463,0.017224055181794373,0.5,0.0
2016-06-09,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.021451366538355776,0.007692274778889008,0.013759091759466768,0.027949875235234067,0.5,0.0
2016-06-16,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.03083711792779875,-0.03239459252515442,0.001557474597355668,0.03143570741901902,0.5,0.0
2016-06-23,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.02221089254081865,-0.0065117816389732575,-0.015699110901845392,0.014547658551809617,0.5,0.0
2016-06-30,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.03123013748897341,-0.03135046481122927,0.00012032732225586429,0.008426621022743608,0.5,0.0
2016-07-07,K200,MOMENTUM,Q50,N-,0.021674514539781864,-0.04835789614790664,-0.05205497713472562,0.003697080986818979,0.010027442260752806,0.5,0.0
2016-07-14,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.005475453815229514,0.011727739362268341,-0.006252285547038827,0.03222844941263647,0.0,1.0
2016-07-21,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.000932691767407734,0.0026131576880894514,-0.0016804659206817174,0.017290981588205745,0.5,0.0
2016-07-28,K200,MOMENTUM,Q50,N+,0.021674514539781864,0.0010690570104652242,0.021931727012274305,-0.02086267000180908,0.006923839168705537,0.5,0.0
