universe,family_pair,anchor_family,other_family,contrast,outcome,n_blocks,sign_stability,median_train_diff,median_valid_diff,positive_valid_block_share,min_valid_n_left,min_valid_n_right
K200,MOMENTUM_X_VALUE,VALUE,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,0.003890841057339846,-0.016174523735067038,0.0,10,9
K200,MOMENTUM_X_VALUE,VALUE,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,-0.0020319411696721316,-0.009762932321660226,0.0,10,9
K200,MOMENTUM_X_VALUE,VALUE,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.020739098377332343,0.045772996275204515,1.0,10,9
K200,MOMENTUM_X_VALUE,VALUE,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,-0.00014005563411646858,-0.008759130694610992,0.0,10,9
K200,MOMENTUM_X_VALUE,VALUE,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,1.0,-0.002509999058910589,-0.024513998943949494,0.0,10,9
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,2,0.5,0.0025616101061988043,0.00539422968241125,0.5,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,2,0.0,-0.0009460333398944947,0.008512417270393924,1.0,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,2,0.5,-0.021207147538948166,0.013094509036678104,0.5,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,2,0.5,-0.004757304260103901,0.0028622434790849588,0.5,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,2,0.5,-0.025291497388859052,0.018314699526216442,0.5,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,2,1.0,-0.0037553722092812736,-0.006170768614479613,0.0,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,2,1.0,0.00808479779271104,0.012547825331574086,1.0,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,2,0.5,-0.0034619443603651906,0.0022084124822975876,0.5,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,2,0.5,-0.029649611973503263,0.01069025136706207,0.5,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,2,0.0,0.00533328002885068,-0.00633381337010532,0.0,21,8
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,2,0.5,0.004001352120853089,-0.004744112688293313,0.5,21,8
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,2,0.5,-0.002017001685595516,-0.00032279443445181594,0.5,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,2,0.5,-0.0001538373732849008,-0.00859399996303603,0.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,2,0.0,-0.010569017124395823,0.019189021170794816,1.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,2,0.5,0.0008130538438582017,-0.006555711591102969,0.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,2,1.0,-0.009616015620574781,-0.0019912690662418978,0.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,2,0.0,0.003362863809165767,-0.007333511976941409,0.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,2,0.5,-0.006706230177096902,-0.031084875598943434,0.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,2,0.0,0.0002906664066820561,-0.003796283904089459,0.5,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,2,0.5,-0.0042785957098569315,0.005507473435877288,0.5,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,2,0.0,0.005594933609302678,-0.002920509169281836,0.0,10,13
K200,REVISION_X_VALUE,REVISION,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,2,0.0,0.007604690332039434,-0.022580921092254846,0.0,10,13
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,2,0.5,-0.003858296836829785,-0.0028893529271095853,0.5,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,2,0.5,-0.0023900058532576375,-0.010307229985405623,0.0,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,2,1.0,-0.0010619836928755398,0.005639884651481533,0.5,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,2,0.5,0.005413193698612879,-0.01008189617781726,0.0,11,10
K200,VALUE_X_FLOW,FLOW,VALUE,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,2,1.0,0.013961390352894613,0.01382737677590124,1.0,11,10
