sample,universe,family_pair,anchor_family,other_family,contrast,n_left,n_right,mkt_1d_left,mkt_1d_right,mkt_1d_diff,mkt_5d_left,mkt_5d_right,mkt_5d_diff,mkt_20d_left,mkt_20d_right,mkt_20d_diff,a_top_fwd_5d_left,a_top_fwd_5d_right,a_top_fwd_5d_diff,a_top_fwd_20d_left,a_top_fwd_20d_right,a_top_fwd_20d_diff,a_spread_fwd_5d_left,a_spread_fwd_5d_right,a_spread_fwd_5d_diff,a_spread_fwd_20d_left,a_spread_fwd_20d_right,a_spread_fwd_20d_diff,b_top_fwd_5d_left,b_top_fwd_5d_right,b_top_fwd_5d_diff,b_top_fwd_20d_left,b_top_fwd_20d_right,b_top_fwd_20d_diff,b_spread_fwd_5d_left,b_spread_fwd_5d_right,b_spread_fwd_5d_diff,b_spread_fwd_20d_left,b_spread_fwd_20d_right,b_spread_fwd_20d_diff
TRAIN,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,GENUINE_VS_DEFENSIVE_SUPPORT_WHEN_ANCHOR_RMINUS,14,13,0.002000271480309942,-0.003361604915160415,0.005361876395470358,-0.004100180437978849,-0.009973576420798049,0.0058733959828192,-0.008588566300203123,-0.008783350110589295,0.00019478381038617182,-0.002072507495176631,-0.00978708922129928,0.007714581726122649,-0.009381363821536799,0.000283661856042817,-0.009665025677579616,0.005759792523051326,-0.0012154231806426907,0.006975215703694016,0.007317242140182835,0.007625201575254857,-0.0003079594350720218,0.0034241803319362157,-0.0062423768383922384,0.009666557170328454,0.015063967759356225,0.0020146892643041992,0.013049278495052025,0.009672923467626366,-0.0026428784836240917,0.012315801951250458,0.026832321816156395,0.018140347361047363,0.008691974455109032
TRAIN,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,48,45,-0.000949633419587048,-0.001404802177816379,0.00045516875822933093,-0.003257101772408137,-0.001147136167761936,-0.0021099656046462013,-0.02446930903050742,-0.0042808311026309555,-0.020188477927876466,-0.006010302611048013,-0.0027446948587862663,-0.0032656077522617466,-0.027201747480603906,-0.010239393730806302,-0.016962353749797605,-0.0013547675949885211,0.0010641660970049582,-0.0024189336919934793,0.002552630824829092,-0.0003243761568652766,0.0028770069816943687,-0.00304295134967685,0.003111360852392379,-0.006154312202069229,-0.012921075672903438,0.005957439560654929,-0.018878515233558366,0.004277152703943248,0.005429489010531903,-0.001152336306588655,0.01864327755586242,0.01930518260316655,-0.0006619050473041302
TRAIN,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,14,45,0.002000271480309942,-0.001404802177816379,0.003405073658126321,-0.004100180437978849,-0.001147136167761936,-0.0029530442702169124,-0.008588566300203123,-0.0042808311026309555,-0.004307735197572168,-0.002072507495176631,-0.0027446948587862663,0.0006721873636096353,-0.009381363821536799,-0.010239393730806302,0.0008580299092695032,0.005759792523051326,0.0010641660970049582,0.004695626426046368,0.007317242140182835,-0.0003243761568652766,0.007641618297048111,0.0034241803319362157,0.003111360852392379,0.0003128194795438367,0.015063967759356225,0.005957439560654929,0.009106528198701296,0.009672923467626366,0.005429489010531903,0.004243434457094464,0.026832321816156395,0.01930518260316655,0.007527139212989847
POST_DISCOVERY,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,40,14,0.00043785987543465757,-0.011017996297221186,0.011455856172655843,0.0028339031648505885,0.006349470535839882,-0.003515567370989294,0.006537224872557562,0.03762934700516048,-0.031092122132602915,0.007588650235177583,0.011022358220298916,-0.003433707985121333,0.016769754491093754,0.05082445031356998,-0.03405469582247623,0.008714935816578012,0.009194311921802858,-0.0004793761052248463,0.02123108161269207,0.02344024041524124,-0.0022091588025491687,0.0064148011882167125,0.0152952533761061,-0.008880452187889387,0.022014661792797065,0.05704037580695715,-0.03502571401416009,0.005626831782398212,0.008845715917254153,-0.0032188841348559415,0.021975675773959084,0.01892625637302197,0.0030494194009371145
POST_DISCOVERY,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,40,10,0.00043785987543465757,0.0023303307603838195,-0.001892470884949162,0.0028339031648505885,0.00754895163284664,-0.004715048467996051,0.006537224872557562,0.01051421520503466,-0.003976990332477098,0.007588650235177583,0.012691659228869412,-0.005103008993691829,0.016769754491093754,0.030323690090944357,-0.013553935599850603,0.008714935816578012,0.005939552423885608,0.002775383392692404,0.02123108161269207,0.03522187462623398,-0.013990793013541912,0.0064148011882167125,0.012708159822956411,-0.006293358634739699,0.022014661792797065,0.03498506138259603,-0.012970399589798964,0.005626831782398212,0.011228805528341813,-0.005601973745943601,0.021975675773959084,0.03131023605774741,-0.009334560283788325
TRAIN,KOSPI_ALL,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,39,10,0.0004027813236223236,-0.00257162449278639,0.0029744058164087135,-1.5121303616858214e-05,0.0027238018918317422,-0.0027389231954486003,-0.011131776767307842,0.019234225150524427,-0.03036600191783227,-0.0041684260344256275,-0.0010979353046131513,-0.0030704907298124764,-0.01401273942125361,-0.002847074395806759,-0.011165665025446851,-0.0070063628344721905,-0.003777981011562681,-0.0032283818229095094,-0.0011115965422958817,-0.01422232568405173,0.013110729141755848,0.0030682409881318284,0.004984717007134121,-0.0019164760190022927,0.002709834795526097,0.013014802029807315,-0.010304967234281218,0.004599904025739627,0.006900940164817837,-0.00230103613907821,0.019768362915036593,0.013640767288115908,0.006127595626920685
TRAIN,KOSPI_ALL,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,15,33,-0.0023486896697067798,0.0021102823798788985,-0.004458972049585678,-0.005062831415613784,-0.0017655428167840533,-0.003297288598829731,-0.0020436808296985668,0.007956115703269375,-0.009999796532967942,-0.004952556641077062,-0.0017149454593183239,-0.0032376111817587388,-0.011169958784062144,0.0038347577550158127,-0.015004716539077957,0.0013557785750576644,0.0002121187289518351,0.0011436598461058293,-0.007149814220624906,0.002411523325507718,-0.009561337546132625,-0.003717149050408993,0.0012401081939086593,-0.0049572572443176526,-0.00166062770865724,0.009838950671830295,-0.011499578380487535,0.00407416760749005,0.003967610264420802,0.00010655734306924767,0.00350145311050285,0.010406899100262977,-0.006905445989760128
TRAIN,KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,39,41,0.0004027813236223236,0.0019577605427304567,-0.001554979219108133,-1.5121303616858214e-05,0.0027934602765321026,-0.0028085815801489607,-0.011131776767307842,0.006670726869213737,-0.01780250363652158,-0.0041684260344256275,0.005622020381015211,-0.00979044641544084,-0.01401273942125361,0.0037494214849364536,-0.017762160906190063,-0.0070063628344721905,0.0027229666319328353,-0.009729329466405026,-0.0011115965422958817,-0.0005916451181171106,-0.000519951424178771,0.0030682409881318284,0.007447957673648473,-0.004379716685516644,0.002709834795526097,0.011257074419893195,-0.008547239624367098,0.004599904025739627,0.0035296515975661385,0.0010702524281734883,0.019768362915036593,0.010168323295348013,0.00960003961968858
TRAIN,KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,15,41,-0.0023486896697067798,0.0019577605427304567,-0.004306450212437236,-0.005062831415613784,0.0027934602765321026,-0.007856291692145887,-0.0020436808296985668,0.006670726869213737,-0.008714407698912303,-0.004952556641077062,0.005622020381015211,-0.010574577022092274,-0.011169958784062144,0.0037494214849364536,-0.014919380268998597,0.0013557785750576644,0.0027229666319328353,-0.0013671880568751709,-0.007149814220624906,-0.0005916451181171106,-0.006558169102507796,-0.003717149050408993,0.007447957673648473,-0.011165106724057466,-0.00166062770865724,0.011257074419893195,-0.012917702128550436,0.00407416760749005,0.0035296515975661385,0.0005445160099239112,0.00350145311050285,0.010168323295348013,-0.006666870184845164
POST_DISCOVERY,KOSPI_ALL,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,44,10,0.003679987737738116,-0.006404262148128441,0.010084249885866557,0.01794847091772321,-0.002920134119805782,0.020868605037528992,0.07042255080235194,-0.0031011825968736335,0.07352373339922556,0.009920802404020962,0.0006013040171741868,0.009319498386846776,0.036459694628756686,-0.004273771892630307,0.04073346652138699,0.004139691715197397,0.010145401094787454,-0.006005709379590057,0.02006606893709873,0.024653244428583986,-0.004587175491485254,0.012383179898576319,0.003058715707092696,0.009324464191483622,0.045611121517561075,0.00931839359070209,0.03629272792685899,0.004469034036136105,0.01131144521140769,-0.006842411175271585,0.023125730337120922,0.03382149677947781,-0.010695766442356886
