date,universe,eval_year,period,persist_pct,liq_pct,combined_pct,PERSIST_ALL_CONT_lambda,PERSIST_ALL_CONT_gross,PERSIST_ALL_CONT_w_MOM1M,PERSIST_ALL_CONT_w_MOM12_1,PERSIST_ALL_CONT_w_OP12_REV,PERSIST_ALL_CONT_w_OPFY1_REV,PERSIST_ALL_CONT_w_PBR12MF,PERSIST_ALL_CONT_w_PER12MF,PERSIST_ALL_CONT_w_PRIVATE_FLOW,PERSIST_ALL_CONT_w_FOREIGN_FLOW,LIQ_ALL_CONT_lambda,LIQ_ALL_CONT_gross,LIQ_ALL_CONT_w_MOM1M,LIQ_ALL_CONT_w_MOM12_1,LIQ_ALL_CONT_w_OP12_REV,LIQ_ALL_CONT_w_OPFY1_REV,LIQ_ALL_CONT_w_PBR12MF,LIQ_ALL_CONT_w_PER12MF,LIQ_ALL_CONT_w_PRIVATE_FLOW,LIQ_ALL_CONT_w_FOREIGN_FLOW,COMBINED_ALL_CONT_lambda,COMBINED_ALL_CONT_gross,COMBINED_ALL_CONT_w_MOM1M,COMBINED_ALL_CONT_w_MOM12_1,COMBINED_ALL_CONT_w_OP12_REV,COMBINED_ALL_CONT_w_OPFY1_REV,COMBINED_ALL_CONT_w_PBR12MF,COMBINED_ALL_CONT_w_PER12MF,COMBINED_ALL_CONT_w_PRIVATE_FLOW,COMBINED_ALL_CONT_w_FOREIGN_FLOW,EW8_lambda,EW8_gross,EW8_w_MOM1M,EW8_w_MOM12_1,EW8_w_OP12_REV,EW8_w_OPFY1_REV,EW8_w_PBR12MF,EW8_w_PER12MF,EW8_w_PRIVATE_FLOW,EW8_w_FOREIGN_FLOW
2021-07-15,KOSDAQ,2021,DEV_2020_2022,0.9572649572649573,0.18803418803418803,0.5769230769230769,0.22863247863247865,-0.005517906435845487,0.09642094017094016,0.2107371794871795,0.2107371794871795,0.09642094017094016,0.09642094017094016,0.09642094017094016,0.09642094017094016,0.09642094017094016,-0.15598290598290598,-0.009302544713408287,0.14449786324786323,0.06650641025641026,0.06650641025641026,0.14449786324786323,0.14449786324786323,0.14449786324786323,0.14449786324786323,0.14449786324786323,0.038461538461538436,-0.007389199806418206,0.1201923076923077,0.13942307692307693,0.13942307692307693,0.1201923076923077,0.1201923076923077,0.1201923076923077,0.1201923076923077,0.1201923076923077,0.0,-0.007767663634174486,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-08-12,KOSDAQ,2021,DEV_2020_2022,0.6623931623931624,0.7478632478632479,0.782051282051282,0.08119658119658119,0.015067671483670017,0.15544871794871795,0.11485042735042736,0.11485042735042736,0.15544871794871795,0.11485042735042736,0.11485042735042736,0.11485042735042736,0.11485042735042736,0.12393162393162394,0.01514982745979064,0.17147435897435898,0.10950854700854701,0.10950854700854701,0.17147435897435898,0.10950854700854701,0.10950854700854701,0.10950854700854701,0.10950854700854701,0.14102564102564102,0.01518268985023889,0.1778846153846154,0.10737179487179488,0.10737179487179488,0.1778846153846154,0.10737179487179488,0.10737179487179488,0.10737179487179488,0.10737179487179488,0.0,0.014911575129040835,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-09-10,KOSDAQ,2021,DEV_2020_2022,0.9658119658119658,0.6196581196581197,0.9102564102564102,0.2329059829059829,-0.0024154582086484966,0.21233974358974358,0.09588675213675213,0.09588675213675213,0.09588675213675213,0.09588675213675213,0.09588675213675213,0.21233974358974358,0.09588675213675213,0.05982905982905984,-0.007722366113881297,0.14743589743589744,0.11752136752136752,0.11752136752136752,0.11752136752136752,0.11752136752136752,0.11752136752136752,0.14743589743589744,0.11752136752136752,0.20512820512820512,-0.003267184168747588,0.20192307692307693,0.09935897435897437,0.09935897435897437,0.09935897435897437,0.09935897435897437,0.09935897435897437,0.20192307692307693,0.09935897435897437,0.0,-0.00955685279717165,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-10-15,KOSDAQ,2021,DEV_2020_2022,0.9017094017094017,0.5897435897435898,0.8611111111111112,0.20085470085470086,0.01478770038179677,0.20032051282051283,0.20032051282051283,0.0998931623931624,0.0998931623931624,0.0998931623931624,0.0998931623931624,0.0998931623931624,0.0998931623931624,0.04487179487179488,0.006362517680869414,0.14182692307692307,0.14182692307692307,0.11939102564102563,0.11939102564102563,0.11939102564102563,0.11939102564102563,0.11939102564102563,0.11939102564102563,0.18055555555555558,0.013691272496059642,0.19270833333333334,0.19270833333333334,0.10243055555555555,0.10243055555555555,0.10243055555555555,0.10243055555555555,0.10243055555555555,0.10243055555555555,0.0,0.003938834986082087,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-11-12,KOSDAQ,2021,DEV_2020_2022,0.11538461538461539,0.1282051282051282,0.03418803418803419,-0.1923076923076923,-0.008239236375082146,0.05288461538461539,0.14903846153846154,0.14903846153846154,0.14903846153846154,0.14903846153846154,0.14903846153846154,0.05288461538461539,0.14903846153846154,-0.1858974358974359,-0.008180216910807326,0.055288461538461536,0.1482371794871795,0.1482371794871795,0.1482371794871795,0.1482371794871795,0.1482371794871795,0.055288461538461536,0.1482371794871795,-0.2329059829059829,-0.008613026315489315,0.037660256410256415,0.15411324786324787,0.15411324786324787,0.15411324786324787,0.15411324786324787,0.15411324786324787,0.037660256410256415,0.15411324786324787,0.0,-0.0064686524468376624,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2021-12-10,KOSDAQ,2021,DEV_2020_2022,0.7948717948717948,0.5341880341880342,0.7307692307692307,0.1474358974358974,0.03513272546102651,0.10657051282051283,0.10657051282051283,0.10657051282051283,0.10657051282051283,0.18028846153846154,0.18028846153846154,0.10657051282051283,0.10657051282051283,0.01709401709401709,0.023122570237713868,0.12286324786324787,0.12286324786324787,0.12286324786324787,0.12286324786324787,0.13141025641025642,0.13141025641025642,0.12286324786324787,0.12286324786324787,0.11538461538461536,0.03217940860283487,0.11057692307692307,0.11057692307692307,0.11057692307692307,0.11057692307692307,0.16826923076923075,0.16826923076923075,0.11057692307692307,0.11057692307692307,0.0,0.021547467913344998,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-01-10,KOSDAQ,2022,DEV_2020_2022,0.07773851590106007,0.6183745583038869,0.2791519434628975,-0.21113074204946997,0.009918068108770236,0.15139134275618374,0.15139134275618374,0.15139134275618374,0.15139134275618374,0.045825971731448756,0.045825971731448756,0.15139134275618374,0.15139134275618374,0.05918727915194344,0.027309347952319797,0.11760159010600707,0.11760159010600707,0.11760159010600707,0.11760159010600707,0.1471952296819788,0.1471952296819788,0.11760159010600707,0.11760159010600707,-0.11042402826855124,0.01639717236421027,0.1388030035335689,0.1388030035335689,0.1388030035335689,0.1388030035335689,0.08359098939929328,0.08359098939929328,0.1388030035335689,0.1388030035335689,0.0,0.023501453346052414,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-02-10,KOSDAQ,2022,DEV_2020_2022,0.15547703180212014,0.823321554770318,0.4840989399293286,-0.17226148409893993,-0.0060748002616129015,0.14653268551236748,0.14653268551236748,0.14653268551236748,0.14653268551236748,0.060401943462897525,0.060401943462897525,0.14653268551236748,0.14653268551236748,0.161660777385159,-0.0027478145151301095,0.10479240282685512,0.10479240282685512,0.10479240282685512,0.10479240282685512,0.18562279151943462,0.18562279151943462,0.10479240282685512,0.10479240282685512,-0.00795053003533569,-0.0044377120371531156,0.12599381625441697,0.12599381625441697,0.12599381625441697,0.12599381625441697,0.12201855123674912,0.12201855123674912,0.12599381625441697,0.12599381625441697,0.0,-0.004358498090808287,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-03-14,KOSDAQ,2022,DEV_2020_2022,0.8904593639575972,0.30742049469964666,0.6325088339222615,0.19522968197879859,-0.003676900584994595,0.19821113074204946,0.10059628975265017,0.10059628975265017,0.10059628975265017,0.19821113074204946,0.10059628975265017,0.10059628975265017,0.10059628975265017,-0.09628975265017667,0.00926730824887695,0.08889134275618375,0.1370362190812721,0.1370362190812721,0.1370362190812721,0.08889134275618375,0.1370362190812721,0.1370362190812721,0.1370362190812721,0.06625441696113077,0.00204993120211221,0.14984540636042404,0.11671819787985865,0.11671819787985865,0.11671819787985865,0.14984540636042404,0.11671819787985865,0.11671819787985865,0.11671819787985865,0.0,0.004991796846173927,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-04-11,KOSDAQ,2022,DEV_2020_2022,0.8869257950530035,0.7667844522968198,0.9222614840989399,0.19346289752650175,0.023527261262550506,0.10081713780918727,0.19754858657243815,0.19754858657243815,0.10081713780918727,0.10081713780918727,0.10081713780918727,0.10081713780918727,0.10081713780918727,0.1333922261484099,0.02690760772817974,0.10832597173144876,0.1750220848056537,0.1750220848056537,0.10832597173144876,0.10832597173144876,0.10832597173144876,0.10832597173144876,0.10832597173144876,0.21113074204946997,0.022533041713836025,0.09860865724381626,0.20417402826855124,0.20417402826855124,0.09860865724381626,0.09860865724381626,0.09860865724381626,0.09860865724381626,0.09860865724381626,0.0,0.03441396532097407,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
