model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,avg_abs_lambda,annual_turnover
COMBINED_ALL_CONT,K200,10,CONFIRM_2023_2024,24,0.10657352684135235,1.446995425895344,-0.04412501724886053,0.10812552676521658,1.4845132388569693,-0.03179925204880618,-0.0015519999238642335,-0.037517812961625374,-0.01232576520005435,0.11797374927283304,1.7789316097393066
PERSIST_ALL_CONT,KOSDAQ,10,CONFIRM_2023_2024,24,0.06475614795280848,0.8603518819787465,-0.06004878401212321,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.02645955042088466,0.3195509771218997,0.006520134769702812,0.12325512685460328,1.7410222602205327
LIQ_ALL_CONT,KOSDAQ,10,CONFIRM_2023_2024,24,0.05939680673581793,0.7490901770453486,-0.07050141351801886,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.021100209203894105,0.2082892721885019,-0.0039324947361928375,0.126520335780807,1.7494593351601606
COMBINED_ALL_CONT,KOSDAQ,10,CONFIRM_2023_2024,24,0.0695618861426095,0.8744764769792168,-0.06435024637564124,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.03126528861068567,0.3336755721223701,0.002218672406184785,0.11101047054908313,1.6252472359408925
PERSIST_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,CONFIRM_2023_2024,24,0.05348939755409132,0.8479627563956889,-0.06609176391409077,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.006271263742495536,0.09600447299589987,0.007680331787508599,0.13481053042571367,1.856696225498272
LIQ_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,CONFIRM_2023_2024,24,0.06394476700471552,0.9875239813499648,-0.06500422881512713,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.016726633193119733,0.2355656979501758,0.008767866886472242,0.08978956050291127,1.2123106957877345
COMBINED_ALL_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,10,CONFIRM_2023_2024,24,0.06172922644777379,0.9597626489536221,-0.060351838686074855,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.014511092636178002,0.20780436555383308,0.013420257015524517,0.11153406351377555,1.6129608424499695
PERSIST_ALL_CONT,KOSPI_ALL,10,CONFIRM_2023_2024,24,0.08451962520457679,1.2527821980675884,-0.04555650298442149,0.08517826364566328,1.2527517412988858,-0.04634863422223201,-0.0006586384410864898,3.04567687026136e-05,0.0007921312378105227,0.117036539156958,1.5737107261612433
LIQ_ALL_CONT,KOSPI_ALL,10,CONFIRM_2023_2024,24,0.09006846332674456,1.3325990351632477,-0.05250231553164808,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.0048901996810812864,0.07984729386436196,-0.00615368130941607,0.1052343246387749,1.5370853502476631
COMBINED_ALL_CONT,KOSPI_ALL,10,CONFIRM_2023_2024,24,0.087369790607015,1.3214986362250725,-0.04796332517875157,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.0021915269613517196,0.06874689492618669,-0.00161469095651956,0.1207090598451855,1.5845546790896796
PERSIST_ALL_CONT,KOSPI_EX_K200,10,CONFIRM_2023_2024,25,0.03510524223258815,0.40529367728728827,-0.0840293081730693,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.0063963287869373,-0.08599937622699089,-0.0077017408984298985,0.132987012987013,1.6810768250217636
LIQ_ALL_CONT,KOSPI_EX_K200,10,CONFIRM_2023_2024,25,0.037735788127871484,0.4540910863627221,-0.07060253041170717,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.003765782891653968,-0.03720196715155705,0.005725036862932242,0.11807231983702574,1.627424682875264
COMBINED_ALL_CONT,KOSPI_EX_K200,10,CONFIRM_2023_2024,25,0.035231161117604604,0.41379978971461506,-0.07719587060874311,0.04150157101952545,0.49129305351427915,-0.07632756727463941,-0.006270409901920848,-0.07749326379966409,-0.0008683033341037039,0.11057104660045837,1.5464300460141776
PERSIST_ALL_CONT,KOSPI_KOSDAQ_ALL,10,CONFIRM_2023_2024,24,0.07432305406966977,1.1764775496994015,-0.050632054682618,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.01153984930088714,-0.15977991585402918,0.004291966141162451,0.13903743403088953,1.7889082006369956
LIQ_ALL_CONT,KOSPI_KOSDAQ_ALL,10,CONFIRM_2023_2024,24,0.08898673033217541,1.3035757791344447,-0.062233111836998756,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.0031238269616185033,-0.032681686418986056,-0.007309091013218305,0.10658171260265499,1.5378742273495165
COMBINED_ALL_CONT,KOSPI_KOSDAQ_ALL,10,CONFIRM_2023_2024,24,0.0754952643251463,1.1607937045409051,-0.0538981853328645,0.08586290337055691,1.3362574655534307,-0.05492402082378045,-0.010367639045410604,-0.1754637610125256,0.0010258354909159495,0.10968764903647103,1.4335337410173246
