universe,period,n_valid_dates,replacement_event_rate,avg_replacements_all_valid_dates,n_replacement_events,n_pairs,mean_removed_fwd10,mean_added_fwd10,mean_pair_delta_fwd10,median_pair_delta_fwd10,pair_win_rate,mean_removed_r1m,mean_added_r1m,mean_wmom_sacrifice,mean_removed_rank,mean_added_rank
KOSPI_EX_K200,LATE_2020_2022,713,0.699859747545582,1.9382889200561009,499,1382,-0.010756195529125216,-0.007544312447988637,0.0032118830811365784,0.011482942170966404,0.5340086830680174,-0.09112947188030197,0.1354722568005878,-0.23441286996551772,11.806801736613604,23.585383502170767
KOSPI_ALL,LATE_2020_2022,730,0.6643835616438356,1.8068493150684932,485,1319,-0.01784515761001635,-0.012817048642732701,0.005028108967283651,0.002372534680051941,0.5079605761940864,-0.09378568675565664,0.16504914497203413,-0.2291915166789576,11.520090978013647,23.604245640636847
KOSDAQ,LATE_2020_2022,731,0.7934336525307798,2.19562243502052,580,1605,-0.017946916715776574,-0.008327985699173293,0.009618931016603282,0.008694152174954617,0.5314641744548286,-0.11429661835809536,0.2190796739555021,-0.37912637356281303,11.18006230529595,23.65171339563863
KOSPI_KOSDAQ_ALL,LATE_2020_2022,736,0.7296195652173914,1.8111413043478262,537,1333,-0.018858547142380895,-0.0011947443041738085,0.01766380283820709,0.015857670888128395,0.5318829707426856,-0.12105712984482492,0.3009262547911538,-0.38146101492991813,11.381095273818454,22.879969992498125
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,733,0.7503410641200545,1.8663028649386084,550,1368,-0.018934118016140887,-0.0003639290008021196,0.018570189015338766,0.007879943638830378,0.5219298245614035,-0.12099757167104681,0.2750046159924629,-0.3949185904704065,11.251461988304094,22.959795321637426
K200,NORMAL_2023_2024,489,0.6278118609406953,1.361963190184049,307,666,-0.0029743369295956723,0.0013231943852510444,0.004297531314846716,0.007957770499314565,0.5315315315315315,-0.05454835071679507,0.08730943108328093,-0.1367398414645887,11.295795795795796,22.615615615615617
KOSPI_EX_K200,NORMAL_2023_2024,488,0.7233606557377049,1.7868852459016393,353,872,-0.005595126559000945,0.0034829280498190965,0.009078054608820042,-0.0002038466336387046,0.4988532110091743,-0.08911137337692274,0.13346366909409457,-0.20515786719377804,11.88302752293578,22.650229357798164
KOSPI_ALL,NORMAL_2023_2024,489,0.6605316973415133,1.5337423312883436,323,750,-0.0110929776805734,-0.012304785099842602,-0.0012118074192692038,-0.00678586693412464,0.472,-0.08696400502321394,0.17429642224902328,-0.22123442979795485,11.252,22.497333333333334
KOSDAQ,NORMAL_2023_2024,488,0.7438524590163934,2.1168032786885247,363,1033,0.006639627113028337,-0.0012556645391305261,-0.007895291652158864,-0.0030904443584818253,0.49177153920619554,-0.10718615314802521,0.2320261450963538,-0.3402136528397625,11.153920619554695,23.483059051306874
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,489,0.6462167689161554,1.7300613496932515,316,846,-0.007845993938417756,-0.0025821839730731295,0.005263809965344624,-0.0031719161509699556,0.49527186761229314,-0.1077964609621631,0.28066078690989593,-0.3472178775038375,11.063829787234043,23.5
