date,phase,universe,n_pairs,removed_mean_fwd10,added_mean_fwd10,event_delta_fwd10,pair_win_rate,avg_removed_r1m,avg_added_r1m,avg_wmom_sacrifice,avg_removed_rank,avg_added_rank
2025-09-02,6,K200,3,0.044502582701167546,0.07781905010156535,0.03331646740039781,0.6666666666666666,-0.05855018963641754,0.10840140201238774,-0.08676229347083449,12.666666666666666,22.0
2025-09-02,6,KOSPI_EX_K200,1,-0.005626393253276296,0.18003925940310284,0.18566565265637913,1.0,-0.010187393907484769,0.045024410130930045,-0.04271614583868377,16.0,21.0
2025-09-03,7,K200,1,0.09187594518265563,0.1054044686724962,0.013528523489840572,1.0,-0.10706022487923418,0.21594376409209892,-0.09068990447585443,11.0,21.0
2025-09-04,8,K200,2,0.021951170092521843,0.058405718330786005,0.03645454823826416,1.0,-0.07259792824063674,0.08708439047709376,-0.1238978739649593,9.5,21.5
2025-09-04,8,KOSPI_ALL,1,-0.03520637228830792,0.019551128909937043,0.05475750119824496,1.0,-0.02340212531254662,0.24908420150426233,-0.014182767838117005,17.0,21.0
2025-09-04,8,KOSPI_EX_K200,1,0.2163592139743309,0.005115699117608896,-0.211243514856722,0.0,-0.01671552849270621,0.045224616551666735,-0.009133243820485915,20.0,21.0
2025-09-05,9,K200,5,0.04903350150015988,0.1200887222229772,0.07105522072281731,0.8,-0.05969822581247934,0.08011514820083118,-0.12972199702020545,11.4,23.0
2025-09-05,9,KOSPI_ALL,1,0.15607712692799502,-0.09768518968464901,-0.25376231661264403,0.0,-0.03910325614966098,0.0021916984068862224,-0.2374453864696805,10.0,21.0
2025-09-08,0,K200,4,0.0156389054800736,0.05236924788280023,0.03673034240272663,0.5,-0.04581480488131903,0.11309255008646113,-0.166774140724611,9.0,22.5
2025-09-08,0,KOSDAQ,1,0.048255189262087717,-0.1463915455840995,-0.19464673484618722,0.0,-0.0384012270555738,0.08953003738476324,-0.18070930426994092,8.0,21.0
2025-09-08,0,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.048255189262087717,0.04591591633398351,-0.002339272928104208,0.0,-0.0384012270555738,0.36585581909828824,-0.08919766058055134,13.0,21.0
2025-09-08,0,KOSPI_ALL,1,0.008987835053010595,0.039796515287288114,0.03080868023427752,1.0,-0.030443231436990438,0.26833054327356926,-0.2948579494460768,11.0,22.0
2025-09-08,0,KOSPI_EX_K200,2,-0.0059343019216087645,0.02539340407372681,0.031327705995335575,0.5,-0.003993472239271318,0.17003705725495424,-0.04344572740206551,18.5,22.0
2025-09-08,0,KOSPI_KOSDAQ_ALL,1,0.048255189262087717,0.04591591633398351,-0.002339272928104208,0.0,-0.0384012270555738,0.36585581909828824,-0.08919766058055134,13.0,21.0
2025-09-09,1,K200,3,0.013243548322270149,0.04856966836823203,0.03532612004596188,0.3333333333333333,-0.04641169208031636,0.12383481211134068,-0.07742252699927069,11.666666666666666,22.0
2025-09-09,1,KOSDAQ,1,0.040552716528213795,0.22165179967487147,0.18109908314665768,1.0,-0.018496132455624002,0.3668081721779499,-0.17047048621086758,9.0,21.0
2025-09-09,1,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.040552716528213795,0.6728053923308008,0.632252675802587,1.0,-0.018496132455624002,0.13661967825018825,-0.05595490791600666,14.0,21.0
2025-09-09,1,KOSPI_EX_K200,1,0.10246582216418654,0.10953304948350229,0.00706722731931575,1.0,-0.009308150131596901,0.22355847509601215,-0.005654649829768543,20.0,21.0
2025-09-09,1,KOSPI_KOSDAQ_ALL,1,0.040552716528213795,0.6728053923308008,0.632252675802587,1.0,-0.018496132455624002,0.13661967825018825,-0.05595490791600666,14.0,21.0
2025-09-10,2,K200,3,0.01195755305723678,0.0018143073912089875,-0.010143245666027792,0.6666666666666666,-0.023808163982379952,0.12565973343627607,-0.17244912095929285,10.0,22.0
2025-09-10,2,KOSDAQ,1,-0.016872930079303683,0.08203090148362979,0.09890383156293348,1.0,-0.02183324560527482,0.5115187204490497,-0.013489961785400961,20.0,21.0
2025-09-10,2,KOSPI_ALL,1,-0.04391274406046153,-0.02504214421148432,0.01887059984897721,1.0,-0.010899158181057174,0.05945594151648907,-0.2088584801927697,9.0,21.0
2025-09-10,2,KOSPI_EX_K200,1,0.020503059928072,-0.005273964885613935,-0.025777024813685934,0.0,-0.055382638878895926,0.22973864952706324,-0.03740669885640341,17.0,21.0
2025-09-12,4,K200,1,0.03214029256891715,-0.028560930223580194,-0.060701222792497345,0.0,-0.0067968250182086805,0.20199003588811287,-0.24328269132790248,3.0,21.0
2025-09-12,4,KOSPI_ALL,1,0.03214029256891715,0.15323146533297405,0.1210911727640569,1.0,-0.0067968250182086805,0.22497343282752175,-0.13008440377788288,13.0,21.0
2025-09-16,6,K200,1,0.17382931615536612,-0.00446740469299356,-0.17829672084835968,0.0,-0.0023696214082831084,0.039586310972151866,-0.23863159886235202,3.0,21.0
2025-09-16,6,KOSPI_ALL,1,0.17382931615536612,-0.0807526778161024,-0.2545819939714685,0.0,-0.0023696214082831084,0.26617778088352617,-0.09719499363351675,13.0,21.0
2025-09-22,0,K200,1,0.15112501741533046,0.24352624576447757,0.0924012283491471,1.0,-0.013225212021110365,0.002881700721763519,-0.2701776155080512,3.0,21.0
2025-09-22,0,KOSPI_ALL,1,0.15112501741533046,-0.03397167417512703,-0.1850966915904575,0.0,-0.013225212021110365,0.24499719903832484,-0.13496223848959066,13.0,21.0
2025-09-23,1,K200,1,0.13306629075136822,0.05334514762666065,-0.07972114312470757,0.0,-0.04391390792725377,0.16868225296794115,-0.2251516065169461,5.0,21.0
2025-09-23,1,KOSPI_ALL,1,0.13306629075136822,-0.15279145207074407,-0.2858577428221123,0.0,-0.04391390792725377,0.37229219421049775,-0.07164449907684245,13.0,21.0
2025-09-24,2,K200,1,0.1402210643624069,-0.11585068121343256,-0.25607174557583945,0.0,-0.04611290593902113,0.13312440695983666,-0.23205393030582888,3.0,21.0
2025-09-24,2,KOSPI_ALL,1,0.1402210643624069,-0.1043630529201861,-0.244584117282593,0.0,-0.04611290593902113,0.388633974771057,-0.08849073041046257,14.0,21.0
2025-09-25,3,K200,2,0.19637743751865122,-0.025098028482947732,-0.22147546600159895,0.0,-0.020106283900593866,0.1287906448560391,-0.15786722451530347,10.5,21.5
2025-09-25,3,KOSPI_ALL,1,0.08496317315449775,0.09401973863922763,0.009056565484729884,1.0,-0.011083153897233602,0.05318568717960166,-0.14707263592527864,9.0,21.0
2025-09-26,4,K200,3,0.112447905418958,0.06051511886914126,-0.051932786549816735,0.6666666666666666,-0.00428760419019164,0.11591869020583749,-0.12708673760393566,10.666666666666666,22.0
2025-09-26,4,KOSDAQ,1,-0.2636063944937713,-0.07810290653295093,0.1855034879608204,1.0,-0.03824850966389123,0.6467997166890538,-1.8015392051992793,1.0,21.0
2025-09-26,4,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.2636063944937713,-0.1891352202164165,0.07447117427735483,1.0,-0.03824850966389123,0.48650866399284853,-1.751227284165318,1.0,21.0
2025-09-26,4,KOSPI_ALL,1,0.06437829522934524,-0.005664737353987315,-0.07004303258333255,0.0,-0.0022623882825667224,0.2295389756594801,-0.20746704456008824,6.0,21.0
2025-09-26,4,KOSPI_KOSDAQ_ALL,1,-0.2636063944937713,-0.1891352202164165,0.07447117427735483,1.0,-0.03824850966389123,0.48650866399284853,-1.751227284165318,1.0,21.0
2025-09-29,5,K200,1,0.09826935774584622,0.009687106250074295,-0.08858225149577192,0.0,-0.024410406010201672,0.16759690692451673,-0.030781163930373834,14.0,21.0
2025-09-29,5,KOSDAQ,1,-0.2563741612131871,-0.1588021918547976,0.09757196935838952,1.0,-0.2209213178416515,0.5961493280020997,-1.5636752439494208,1.0,21.0
2025-09-29,5,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.2563741612131871,0.13548098798639518,0.3918551491995823,1.0,-0.2209213178416515,0.6378245324389226,-1.5452910394028052,1.0,22.0
2025-09-29,5,KOSPI_ALL,2,-0.0012469764386983107,0.018215287860088136,0.019462264298786447,0.5,-0.10532848876109982,0.15682608749412194,-0.28712231975880564,7.0,21.5
2025-09-29,5,KOSPI_EX_K200,3,0.03207577851614474,0.06004111987477508,0.027965341358630342,0.3333333333333333,-0.10842337046108681,0.19825085070285517,-0.2586110344619092,10.333333333333334,23.333333333333332
2025-09-29,5,KOSPI_KOSDAQ_ALL,1,-0.2563741612131871,0.13548098798639518,0.3918551491995823,1.0,-0.2209213178416515,0.6378245324389226,-1.5452910394028052,1.0,22.0
2025-09-30,6,K200,2,0.11071994705629673,-0.07251481695869827,-0.183234764014995,0.0,-0.010567896217033622,0.22147956599826504,-0.05412204550098887,12.0,21.5
2025-09-30,6,KOSDAQ,1,-0.24296056177013348,0.17132348667876585,0.4142840484488993,1.0,-0.2312051564461417,0.5877071017462917,-1.5632538401291647,1.0,21.0
2025-09-30,6,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.24296056177013348,-0.08450545505066431,0.15845510671946916,1.0,-0.2312051564461417,0.6049232908079554,-1.516985902294977,1.0,21.0
2025-09-30,6,KOSPI_ALL,3,0.03396917299192489,-0.0272922761360966,-0.061261449128021485,0.3333333333333333,-0.07275055566220115,0.15913982917302225,-0.2057154031114358,11.0,23.666666666666668
2025-09-30,6,KOSPI_EX_K200,6,0.005329382950227668,-0.033819140789649114,-0.03914852373987678,0.5,-0.07898686651790121,0.1542111170903249,-0.1772792027336699,12.166666666666666,23.5
2025-09-30,6,KOSPI_KOSDAQ_ALL,1,-0.24296056177013348,-0.08450545505066431,0.15845510671946916,1.0,-0.2312051564461417,0.6049232908079554,-1.516985902294977,1.0,21.0
2025-10-01,7,K200,1,0.1993515267843322,-0.03195183037243099,-0.2313033571567632,0.0,-0.0513637870221525,0.18572586342071962,-0.017553171356387953,20.0,21.0
2025-10-01,7,KOSDAQ,1,-0.25641323253477866,-0.14201028548655548,0.11440294704822318,1.0,-0.23050191896347225,0.649142024781256,-1.403290108309717,1.0,21.0
2025-10-01,7,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.25641323253477866,0.3262537600183373,0.5826669925531159,1.0,-0.23050191896347225,0.602157590602252,-1.3977886578167453,1.0,21.0
2025-10-01,7,KOSPI_ALL,2,0.007291329099671562,0.09157137855124331,0.08428004945157175,1.0,-0.04999291787679083,0.21112318653196155,-0.27726804837262364,6.0,21.5
2025-10-01,7,KOSPI_EX_K200,4,-0.035201002546195015,0.006709968925490806,0.04191097147168582,0.75,-0.06188729326179768,0.1740907820365977,-0.22879400282660028,12.0,23.5
2025-10-01,7,KOSPI_KOSDAQ_ALL,1,-0.25641323253477866,0.3262537600183373,0.5826669925531159,1.0,-0.23050191896347225,0.602157590602252,-1.3977886578167453,1.0,21.0
2025-10-02,8,KOSDAQ,1,-0.2916455232625573,0.011615674334083392,0.3032611975966407,1.0,-0.14832409841965624,0.7109091102899956,-1.5998930452998026,1.0,21.0
2025-10-02,8,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.2916455232625573,0.02505293782636553,0.31669846108892286,1.0,-0.14832409841965624,0.6453761604095645,-1.5670339287167483,1.0,21.0
2025-10-02,8,KOSPI_ALL,2,-0.0019634118357634844,0.07500399198206764,0.07696740381783113,0.5,-0.06627519310615979,0.21988031100939628,-0.24639802658082,8.0,21.5
2025-10-02,8,KOSPI_EX_K200,2,-0.0019634118357634844,-0.04313932908916146,-0.041175917253397976,0.0,-0.06627519310615979,0.18645292915248574,-0.36909466828004445,5.0,23.0
2025-10-02,8,KOSPI_KOSDAQ_ALL,1,-0.2916455232625573,0.02505293782636553,0.31669846108892286,1.0,-0.14832409841965624,0.6453761604095645,-1.5670339287167483,1.0,21.0
2025-10-10,9,K200,2,0.18309279259734268,-0.009094988666992654,-0.19218778126433533,0.0,-0.02097119406374262,0.10781819209735993,-0.048147967470282396,14.0,21.5
2025-10-10,9,KOSDAQ,1,-0.2148846769240892,-0.14791471873255746,0.06696995819153173,1.0,-0.34501428866045436,0.4534496690115474,-0.7099671187473321,3.0,21.0
2025-10-10,9,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.045951509657843836,-0.023751557376235743,0.022199952281608093,0.5,-0.29180177714813604,0.4470212838725243,-0.5566183774421138,5.5,21.5
2025-10-10,9,KOSPI_ALL,3,0.06974242334202659,0.08155764810516046,0.011815224763133866,0.6666666666666666,-0.14961261842098206,0.2264335587869124,-0.3653715034994609,7.333333333333333,22.0
2025-10-10,9,KOSPI_EX_K200,5,0.0431770466834426,0.015861263892863776,-0.027315782790578825,0.2,-0.14846553737109786,0.14376889887647432,-0.3873689050402199,8.2,25.2
2025-10-10,9,KOSPI_KOSDAQ_ALL,2,-0.045951509657843836,-0.023751557376235743,0.022199952281608093,0.5,-0.29180177714813604,0.4470212838725243,-0.5566183774421138,5.5,21.5
2025-10-13,0,K200,3,0.2908850092373915,0.20116353945828638,-0.08972146977910511,0.3333333333333333,-0.030956097468905385,0.09724885374101633,-0.04140610087839347,16.0,22.333333333333332
2025-10-13,0,KOSDAQ,1,-0.1646424492962184,-0.12978524466303754,0.03485720463318087,1.0,-0.28890228323050154,0.36566033978673096,-0.6655920128262915,3.0,21.0
2025-10-13,0,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.04113492669743157,-0.046386145224539266,-0.08752107192197084,0.5,-0.24281518037244884,0.2652386575164572,-0.5489973670947075,4.0,21.5
2025-10-13,0,KOSPI_ALL,5,0.09368856329953482,-0.01730286678329791,-0.11099143008283271,0.4,-0.1437782203609196,0.13029437933580917,-0.2682410728969309,12.0,23.0
2025-10-13,0,KOSPI_EX_K200,6,0.07648211685114537,0.07273946199847459,-0.0037426548526707792,0.5,-0.1252083269827249,0.0865194785362462,-0.3383223512706937,8.5,24.833333333333332
2025-10-13,0,KOSPI_KOSDAQ_ALL,2,0.04113492669743157,0.34200965086805435,0.3008747241706228,0.5,-0.24281518037244884,0.35144600030849077,-0.547247038273531,4.0,21.5
2025-10-14,1,K200,1,0.17821914873489364,-0.06680800760649008,-0.24502715634138372,0.0,-0.06073100819283864,0.005474389309262297,-0.006237930260858338,20.0,23.0
2025-10-14,1,KOSDAQ,1,-0.14267120402600997,0.022104789463055274,0.16477599348906524,1.0,-0.34031464815293627,0.5319614846280543,-0.34178133107164643,6.0,21.0
2025-10-14,1,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.052845038838642056,0.08772983965875991,0.034884800820117856,0.5,-0.2899687231640318,0.48505685552664546,-0.33010018514188244,7.0,21.5
