era,universe,factor,sector,n_obs,mean_top_weight,mean_bottom_weight,mean_allocation_contribution,mean_within_selection_contribution,mean_abs_top_bottom_weight
2016-19,KOSDAQ,PRIVATE_FLOW,증권,196,0.0017148100785036033,0.0023839450991573184,2.9778365914932704e-05,3.214480578787096e-05,0.0035616982496265498
2016-19,KOSDAQ,PRIVATE_FLOW,"호텔,레스토랑,레저등",196,0.03188005324602161,0.02726535079166373,6.649254206933034e-05,4.822607456869664e-05,0.03428771662146709
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,UNKNOWN,195,0.012484016902255816,0.008346665466417512,-4.2365784279061127e-05,4.693646269274337e-05,0.012053994514310941
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,가정용품과개인용품,11,0.00784165463869546,0.006300822589388832,-5.389429943632729e-05,0.0,0.01414247722808429
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,건강관리장비와서비스,196,0.06177614738008205,0.05888106002152564,1.1470898750630572e-05,-0.0005119578181590755,0.03693278441728438
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,교육서비스,165,0.00601512037823647,0.00535592749477844,-4.4795625143353e-05,1.0879903014115913e-05,0.009646727987946207
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,기술하드웨어와장비,196,0.07424870311645027,0.06360600459923267,-5.4846164527587785e-05,-5.22547425554893e-05,0.039886126360450115
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,내구소비재와의류,196,0.067135804731961,0.0679077605853114,-2.3940384888940873e-05,-0.0001462025720790298,0.040142248741902586
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,다각화된금융,166,0.006084852224814052,0.006738887605793624,-3.672049767090284e-05,2.596163096729836e-05,0.01020634420922333
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,디스플레이,196,0.03927877604067186,0.03302530428531358,0.00010005619930868772,-0.00013805721346713868,0.02952517471372203
