date,year,universe,eligible,valid_all8,coverage
2020-11-23,2020,K200,192,163,0.8489583333333334
2020-11-23,2020,KOSPI_EX_K200,550,76,0.13818181818181818
2020-11-23,2020,KOSDAQ,1305,135,0.10344827586206896
2020-11-30,2020,K200,192,163,0.8489583333333334
2020-11-30,2020,KOSPI_EX_K200,550,77,0.14
2020-11-30,2020,KOSDAQ,1307,135,0.10328997704667177
2020-12-07,2020,K200,192,165,0.859375
2020-12-07,2020,KOSPI_EX_K200,551,78,0.14156079854809436
2020-12-07,2020,KOSDAQ,1311,137,0.10450038138825324
2020-12-14,2020,K200,193,165,0.8549222797927462
2020-12-14,2020,KOSPI_EX_K200,550,76,0.13818181818181818
2020-12-14,2020,KOSDAQ,1315,137,0.10418250950570342
2020-12-21,2020,K200,193,164,0.8497409326424871
2020-12-21,2020,KOSPI_EX_K200,550,85,0.15454545454545454
2020-12-21,2020,KOSDAQ,1318,142,0.10773899848254932
2020-12-29,2020,K200,193,164,0.8497409326424871
2020-12-29,2020,KOSPI_EX_K200,550,86,0.15636363636363637
2020-12-29,2020,KOSDAQ,1322,142,0.10741301059001512
2021-01-07,2021,K200,193,164,0.8497409326424871
2021-01-07,2021,KOSPI_EX_K200,550,86,0.15636363636363637
2021-01-07,2021,KOSDAQ,1322,137,0.10363086232980333
2021-01-14,2021,K200,193,164,0.8497409326424871
2021-01-14,2021,KOSPI_EX_K200,550,86,0.15636363636363637
2021-01-14,2021,KOSDAQ,1322,139,0.10514372163388805
2021-01-21,2021,K200,193,163,0.844559585492228
2021-01-21,2021,KOSPI_EX_K200,550,88,0.16
2021-01-21,2021,KOSDAQ,1324,144,0.10876132930513595
2021-01-28,2021,K200,194,161,0.8298969072164949
2021-01-28,2021,KOSPI_EX_K200,550,84,0.15272727272727274
2021-01-28,2021,KOSDAQ,1327,147,0.11077618688771665
2021-02-04,2021,K200,194,162,0.8350515463917526
2021-02-04,2021,KOSPI_EX_K200,551,84,0.15245009074410162
2021-02-04,2021,KOSDAQ,1330,143,0.10751879699248121
2021-02-15,2021,K200,194,162,0.8350515463917526
2021-02-15,2021,KOSPI_EX_K200,552,89,0.161231884057971
2021-02-15,2021,KOSDAQ,1332,147,0.11036036036036036
2021-02-22,2021,K200,194,160,0.8247422680412371
2021-02-22,2021,KOSPI_EX_K200,552,74,0.13405797101449277
2021-02-22,2021,KOSDAQ,1333,144,0.10802700675168792
2021-03-02,2021,K200,194,161,0.8298969072164949
2021-03-02,2021,KOSPI_EX_K200,552,71,0.1286231884057971
2021-03-02,2021,KOSDAQ,1338,140,0.10463378176382661
2021-03-09,2021,K200,194,161,0.8298969072164949
2021-03-09,2021,KOSPI_EX_K200,552,71,0.1286231884057971
2021-03-09,2021,KOSDAQ,1339,139,0.10380881254667662
2021-03-16,2021,K200,194,162,0.8350515463917526
2021-03-16,2021,KOSPI_EX_K200,553,73,0.13200723327305605
2021-03-16,2021,KOSDAQ,1342,140,0.10432190760059612
2021-03-23,2021,K200,194,160,0.8247422680412371
2021-03-23,2021,KOSPI_EX_K200,554,74,0.13357400722021662
