universe,factor,mcap_quintile,median_row_membership_coverage,median_valid_value_coverage
KOSPI_EX_K200,PER12MF,1,0.0,0.0
KOSPI_EX_K200,PER12MF,2,0.0,0.0
KOSPI_EX_K200,PER12MF,3,0.0,0.0
KOSPI_EX_K200,PER12MF,4,0.631578947368421,0.20869565217391303
KOSPI_EX_K200,PER12MF,5,1.0,0.6147540983606558
KOSPI_EX_K200,PRIVATE_FLOW,1,0.0,0.0
KOSPI_EX_K200,PRIVATE_FLOW,2,0.0,0.0
KOSPI_EX_K200,PRIVATE_FLOW,3,0.0,0.0
KOSPI_EX_K200,PRIVATE_FLOW,4,0.631578947368421,0.6166666666666667
KOSPI_EX_K200,PRIVATE_FLOW,5,1.0,1.0
