date,n_factor_files,median_pairwise_rowset_jaccard,min_pairwise_rowset_jaccard,mom1m_rows_in_listed,top_mcap_n_jaccard,share_factor_rows_in_top_mcap_n,median_mcap_pct_rank_of_factor_rows
2020-05-18,8,1.0,1.0,525,0.9736842105263158,0.9866666666666667,0.8686058174523571
2020-05-25,8,1.0,1.0,551,0.9713774597495528,0.985480943738657,0.8622244488977956
2020-06-01,8,1.0,1.0,549,0.9819494584837545,0.9908925318761385,0.8627254509018036
2020-06-08,8,1.0,1.0,559,0.9787610619469026,0.9892665474060823,0.8602904356534802
2020-06-15,8,1.0,1.0,564,0.9617391304347827,0.9804964539007093,0.8590385578367552
2020-06-22,8,1.0,1.0,552,0.9714285714285714,0.9855072463768116,0.8623188405797102
2020-06-29,8,1.0,1.0,562,0.9788732394366197,0.9893238434163701,0.8598901098901099
2020-07-06,8,1.0,1.0,553,0.982078853046595,0.9909584086799277,0.8624127617148555
2020-07-13,8,1.0,1.0,573,0.9724612736660929,0.9860383944153578,0.8574987543597409
2020-07-20,8,1.0,1.0,584,0.9763113367174281,0.988013698630137,0.8548306772908367
2020-07-27,8,1.0,1.0,588,0.9797979797979798,0.9897959183673469,0.8541252485089463
2020-08-03,8,1.0,1.0,591,0.9765886287625418,0.988155668358714,0.8531017369727047
2020-08-10,8,1.0,1.0,607,0.9612277867528272,0.9802306425041186,0.8497768963807635
2020-08-18,8,1.0,1.0,621,0.9589905362776026,0.9790660225442834,0.8465346534653465
2020-08-25,8,1.0,1.0,579,0.9693877551020408,0.9844559585492227,0.8570722057368941
2020-09-01,8,1.0,1.0,604,0.9770867430441899,0.9884105960264901,0.8508902077151335
2020-09-08,8,1.0,1.0,634,0.9750778816199377,0.9873817034700315,0.8434718100890208
2020-09-15,8,1.0,1.0,646,0.9755351681957186,0.9876160990712074,0.8407407407407408
2020-09-22,8,1.0,1.0,645,0.9604863221884499,0.9798449612403101,0.8409650418513048
2020-09-29,8,1.0,1.0,612,0.9710144927536232,0.9852941176470589,0.849803343166175
2020-10-12,8,1.0,1.0,640,0.9753086419753086,0.9875,0.842997542997543
2020-10-19,8,1.0,1.0,644,0.9724349157733537,0.9860248447204969,0.8421698576337752
2020-10-26,8,1.0,1.0,626,0.9716535433070866,0.9856230031948882,0.8466633954857703
2020-11-02,8,1.0,1.0,621,0.9714285714285714,0.9855072463768116,0.8481136697697207
2020-11-09,8,1.0,1.0,642,0.9784283513097073,0.9890965732087228,0.8430460333006855
2020-11-16,8,1.0,1.0,656,0.9611360239162929,0.9801829268292683,0.8396965247185512
2020-11-23,8,1.0,1.0,663,0.9732142857142857,0.9864253393665159,0.8382999511480215
2020-11-30,8,1.0,1.0,674,0.9794419970631424,0.9896142433234422,0.8357735480722304
