sample,universe,target,definition,metric,horizon,outcome,n_high,n_low,high_mean,low_mean,high_minus_low,nw_t
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_HEALTHY_BREADTH,20,top,58,233,0.008345753351849899,-0.004224051787711223,0.012569805139561123,1.0034721240266822
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_HEALTHY_BREADTH,20,spread,58,233,0.004510092480299748,-0.011350643975662551,0.0158607364559623,1.6001845365483998
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_INCLUSIVE,5,top,27,215,-0.0066984116238399454,-0.00023258688284332661,-0.0064658247409966185,-0.963738288801221
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_INCLUSIVE,5,spread,27,215,-0.006221383930787539,-0.001759115199934223,-0.0044622687308533155,-0.7358867725469403
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_INCLUSIVE,20,top,27,215,-0.01240677412695821,-0.002043665652277235,-0.010363108474680974,-0.508943952817185
TRAIN_2017_2022,K200,MOMENTUM,A,FH_A_INCLUSIVE,20,spread,27,215,0.003252316395251473,-0.010938889366767903,0.014191205762019377,0.9236208401313457
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_NET_BREADTH,5,top,120,74,0.002195362124471825,-0.003423229902912554,0.005618592027384379,1.2611228681977564
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_NET_BREADTH,5,spread,120,74,0.00031326137946183474,-0.0025750924334420867,0.0028883538129039214,0.6262169517400585
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_NET_BREADTH,20,top,120,74,0.004794737977612313,-0.006930744894367923,0.011725482871980235,0.9631807939757124
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_NET_BREADTH,20,spread,120,74,0.002495584819043329,-0.016407019001027087,0.018902603820070415,1.6155449455970203
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_INCLUSIVE,5,top,117,98,0.00021658021377422967,-0.0005512405475290121,0.0007678207613032418,0.19047483632580298
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_INCLUSIVE,5,spread,117,98,0.0003891283382220966,-0.0010148077080022872,0.0014039360462243839,0.3548334310615246
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_INCLUSIVE,20,top,117,98,1.42788745256756e-05,-0.0038737986131115033,0.003888077487637179,0.3285356347789711
TRAIN_2017_2022,K200,MOMENTUM,B,FH_B_INCLUSIVE,20,spread,117,98,0.003019785963707485,-0.01352064188604131,0.016540427849748796,1.5910320814683312
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_CONTINUOUS,5,top,97,97,0.0033402632304341813,-0.00330585154442275,0.006646114774856932,1.4966543404286456
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_CONTINUOUS,5,spread,97,97,0.0008387960688339651,-0.005381119722388613,0.006219915791222577,1.429586338899225
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_CONTINUOUS,20,top,97,97,0.008644901390117806,-0.005442267247883654,0.014087168638001461,1.0917935505224603
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_CONTINUOUS,20,spread,97,97,0.0014289036580363036,-0.018574263848881018,0.020003167506917323,1.7689691490376196
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_INCLUSIVE,5,top,97,97,0.0014328260015436798,-0.0020092542191411755,0.003442080220684855,0.7696056938746425
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_INCLUSIVE,5,spread,97,97,0.00016924585015974867,-0.004112521171449428,0.004281767021609176,0.9887168616580334
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_INCLUSIVE,20,top,97,97,0.002392029682684724,-0.0028563593935254862,0.00524838907621021,0.4039148494193336
TRAIN_2017_2022,K200,MOMENTUM,C,FH_C_INCLUSIVE,20,spread,97,97,0.00022498753848655684,-0.01611547724955168,0.016340464788038238,1.3870514272144097
TRAIN_2017_2022,K200,REVISION,A,FH_A_HEALTHY_BREADTH,5,top,37,254,-0.0018048386672024404,0.002201592963194365,-0.0040064316303968055,-0.7493221465652344
