sample,universe,target,family,n,ex_beta_per_1sd,ex_t,self_beta_per_1sd,self_t
POST_2023_PLUS,KOSDAQ,MOMENTUM,B,171,0.0037851772775534284,0.3283782882268414,0.006926839007458874,0.5472017530035237
POST_2023_PLUS,KOSDAQ,MOMENTUM,C,171,-0.0012848939026394587,-0.09753723323098556,0.00448835827249318,0.30457793926522153
POST_2023_PLUS,KOSDAQ,REVISION,A,171,0.003613100764976206,0.4423937409646197,-0.0003538115650679446,-0.038582904136654335
POST_2023_PLUS,KOSDAQ,REVISION,B,171,0.0018613369548641184,0.21408984573311715,-0.0008318819523312924,-0.09773367234869391
POST_2023_PLUS,KOSDAQ,REVISION,C,171,0.013305762486125175,1.48396640981678,-0.01537145904258994,-1.2381641850120952
POST_2023_PLUS,KOSDAQ,VALUE,A,171,-0.003411754699937044,-0.49900681587889406,-0.0021618470446632043,-0.5513516951581803
POST_2023_PLUS,KOSDAQ,VALUE,B,171,-0.003435806147822543,-0.4903213007597183,-0.005207843469556951,-0.9650161304451293
POST_2023_PLUS,KOSDAQ,VALUE,C,171,-0.00944987873333012,-1.1528864623188664,-0.006594825588761468,-1.1514701600733042
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,A,171,-0.0019108641037663126,-0.20592924818161495,0.009130306372596098,1.1725288225709305
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,B,171,0.0005450498355060911,0.04823523807887088,0.003320134028406392,0.4199842531287362
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,C,171,-0.015040359183194496,-0.9530766474818101,0.01708722149737989,1.6317647355087304
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,A,171,0.0019796926025920595,0.19554236033820654,0.013984078669897647,1.10341057353445
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,B,171,0.0023116639365504425,0.21388281745150864,0.013380874141236166,1.110684318151252
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,C,171,0.008398163461559562,0.6022576814511704,0.001710274535080668,0.11817347141981202
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,A,171,0.005884848685450888,0.9119126245921,0.0006863913969721775,0.09243164672493141
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,B,171,0.0010746193098658604,0.18004074873390624,0.007736311193508719,0.7654016988390447
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,C,171,0.009429297547701198,1.2528781804202949,-0.0048758248436817616,-0.4030643127585427
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,A,171,0.0018956168031151186,0.2745991049412107,-0.013485397686021425,-3.417823290988043
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,B,171,0.0008347268463621449,0.11684652397676717,-0.013658123708370096,-2.2233459979101537
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,C,171,-0.0013120535173807267,-0.14339155421570188,-0.00840874709382667,-1.2001395406515991
POST_2023_PLUS,KOSPI_ALL,FLOW,A,171,0.004153104469160592,0.5571863223808033,-0.001600070055621414,-0.22959545616199528
POST_2023_PLUS,KOSPI_ALL,FLOW,B,171,0.005421988283524851,0.7604244228656843,-0.0032587842640776853,-0.49133903338276813
POST_2023_PLUS,KOSPI_ALL,FLOW,C,171,-0.007492862220904317,-0.7511427879856569,0.0062604058196027625,0.6811212424526979
POST_2023_PLUS,KOSPI_ALL,MOMENTUM,A,171,0.0006858264752472727,0.06832542256967515,0.008215466322230962,1.084350114022882
POST_2023_PLUS,KOSPI_ALL,MOMENTUM,B,171,0.0016490074165139653,0.1729626973926839,0.009895098900460718,1.3032137112692919
POST_2023_PLUS,KOSPI_ALL,MOMENTUM,C,171,0.0003225904509407216,0.02396626410587693,0.0033434682139526777,0.28501997823648034
POST_2023_PLUS,KOSPI_ALL,REVISION,A,171,-0.0009554249421801358,-0.12287480925167259,0.012051647199555277,1.9451312353034398
POST_2023_PLUS,KOSPI_ALL,REVISION,B,171,0.000628045621624222,0.08782004066991735,0.011003745761549645,1.646215244625498
POST_2023_PLUS,KOSPI_ALL,REVISION,C,171,0.001107985779304539,0.12853768491227407,0.0023713569805042015,0.29109150985445
POST_2023_PLUS,KOSPI_ALL,VALUE,A,171,0.007359171818109228,0.8899976632140324,-0.009230963683833755,-1.5487323220847744
POST_2023_PLUS,KOSPI_ALL,VALUE,B,171,0.0037020933268588196,0.45572822667515883,-0.012910632103738847,-1.9952218723574084
