date,universe,factor,family,cut_name,spread_20d,strength_vs_cut,state
2018-06-25,K200,MOM1M,MOMENTUM,Q25,0.0009408429091728454,0.08103886860761318,NEUTRAL
2018-07-02,K200,MOM1M,MOMENTUM,Q25,-0.011044906297926649,-0.9513455450793447,NEUTRAL
2018-07-09,K200,MOM1M,MOMENTUM,Q25,0.016268392609897875,1.4012670110142442,WORKING
2018-07-16,K200,MOM1M,MOMENTUM,Q25,-0.00122747663964351,-0.10572787141100766,NEUTRAL
2018-07-23,K200,MOM1M,MOMENTUM,Q25,0.02420821490792191,2.0851582427003614,WORKING
2018-07-30,K200,MOM1M,MOMENTUM,Q25,-0.046662479710904536,-4.019241177596738,REVERSE
2018-08-06,K200,MOM1M,MOMENTUM,Q25,-0.0674699502925229,-5.811478604355903,REVERSE
2018-08-13,K200,MOM1M,MOMENTUM,Q25,-0.02472531137598688,-2.1296979977693766,REVERSE
2018-08-21,K200,MOM1M,MOMENTUM,Q25,-0.049740160739920825,-4.284335154598562,REVERSE
2018-08-28,K200,MOM1M,MOMENTUM,Q25,-0.00490086053775407,-0.42213231274969937,NEUTRAL
2018-09-04,K200,MOM1M,MOMENTUM,Q25,0.03419985063251074,2.945781038244366,WORKING
2018-09-11,K200,MOM1M,MOMENTUM,Q25,0.03549522177370701,3.0573569566958203,WORKING
2018-09-18,K200,MOM1M,MOMENTUM,Q25,0.051704280346583475,4.453513270500937,WORKING
2018-09-28,K200,MOM1M,MOMENTUM,Q25,0.03827484897370326,3.2967782684179676,WORKING
2018-10-08,K200,MOM1M,MOMENTUM,Q25,0.038937021381178605,3.3538140415548017,WORKING
2018-10-16,K200,MOM1M,MOMENTUM,Q25,0.03000941862947082,2.584841007562684,WORKING
2018-10-23,K200,MOM1M,MOMENTUM,Q25,0.039464955586077766,3.3992872977670436,WORKING
2018-10-30,K200,MOM1M,MOMENTUM,Q25,0.07855535601886476,6.7663125403515485,WORKING
2018-11-06,K200,MOM1M,MOMENTUM,Q25,-0.004776808370375751,-0.4114471630879992,NEUTRAL
2018-11-13,K200,MOM1M,MOMENTUM,Q25,0.00753034741813341,0.6486213894350361,NEUTRAL
2018-11-20,K200,MOM1M,MOMENTUM,Q25,-0.048848731574906545,-4.207552505473749,REVERSE
2018-11-27,K200,MOM1M,MOMENTUM,Q25,-0.08989373074879037,-7.742935790634787,REVERSE
2018-12-04,K200,MOM1M,MOMENTUM,Q25,-0.046313940670437925,-3.9892200027229974,REVERSE
2018-12-11,K200,MOM1M,MOMENTUM,Q25,-0.05901355663485297,-5.08309284745983,REVERSE
2018-12-18,K200,MOM1M,MOMENTUM,Q25,-0.03512299661687701,-3.0252955941849264,REVERSE
2018-12-26,K200,MOM1M,MOMENTUM,Q25,-0.02227322555188349,-1.9184892412631414,REVERSE
2019-01-04,K200,MOM1M,MOMENTUM,Q25,-0.008055969887790448,-0.6938955258933687,NEUTRAL
2019-01-11,K200,MOM1M,MOMENTUM,Q25,-0.08666278145590067,-7.464640155229997,REVERSE
2019-01-18,K200,MOM1M,MOMENTUM,Q25,-0.08712703081148254,-7.504627959954214,REVERSE
2019-01-25,K200,MOM1M,MOMENTUM,Q25,-0.09596712424522347,-8.266063437940417,REVERSE
2019-02-01,K200,MOM1M,MOMENTUM,Q25,-0.10850209728584348,-9.345754875623516,REVERSE
2019-02-13,K200,MOM1M,MOMENTUM,Q25,-0.06326390636604196,-5.449193851191739,REVERSE
2019-02-20,K200,MOM1M,MOMENTUM,Q25,-0.0689538391369039,-5.939292367860606,REVERSE
2019-02-27,K200,MOM1M,MOMENTUM,Q25,-0.04659712498617197,-4.013611892517527,REVERSE
2019-03-07,K200,MOM1M,MOMENTUM,Q25,-0.03292789360347159,-2.8362218785314486,REVERSE
2019-03-14,K200,MOM1M,MOMENTUM,Q25,-0.010985952535610743,-0.9462676025751668,NEUTRAL
2019-03-21,K200,MOM1M,MOMENTUM,Q25,-0.00472587822228554,-0.4070603291766106,NEUTRAL
2019-03-28,K200,MOM1M,MOMENTUM,Q25,0.008702239102040155,0.7495614882215236,NEUTRAL
2019-04-04,K200,MOM1M,MOMENTUM,Q25,-0.046171687073230716,-3.976967085194852,REVERSE
2019-04-11,K200,MOM1M,MOMENTUM,Q25,-0.04744256975735717,-4.086433706934245,REVERSE
2019-04-18,K200,MOM1M,MOMENTUM,Q25,-0.03106705879366578,-2.675940128855614,REVERSE
2019-04-25,K200,MOM1M,MOMENTUM,Q25,-0.05384912820864518,-4.638258292631944,REVERSE
2019-05-03,K200,MOM1M,MOMENTUM,Q25,-0.0071170853020222635,-0.6130253361497127,NEUTRAL
2019-05-13,K200,MOM1M,MOMENTUM,Q25,-0.023366967025493568,-2.012697924462454,REVERSE
2019-05-20,K200,MOM1M,MOMENTUM,Q25,-0.0333374073300895,-2.87149506681915,REVERSE
2019-05-27,K200,MOM1M,MOMENTUM,Q25,-0.013651948223567856,-1.1759013407459338,REVERSE
2019-06-03,K200,MOM1M,MOMENTUM,Q25,-0.010170647821440837,-0.8760418816151501,NEUTRAL
2019-06-11,K200,MOM1M,MOMENTUM,Q25,-0.0009878858921122946,-0.08509088417383757,NEUTRAL
2019-06-18,K200,MOM1M,MOMENTUM,Q25,0.006789938348677582,0.5848467542536249,NEUTRAL
2019-06-25,K200,MOM1M,MOMENTUM,Q25,-0.009711894084196593,-0.8365274382651201,NEUTRAL
2019-07-02,K200,MOM1M,MOMENTUM,Q25,0.0016754035628949726,0.14430975444937896,NEUTRAL
2019-07-09,K200,MOM1M,MOMENTUM,Q25,-0.0034879381402507237,-0.3004311962214437,NEUTRAL
2019-07-16,K200,MOM1M,MOMENTUM,Q25,0.013910514783970651,1.1981727968099716,WORKING
