universe,factor,family,cut_name,abs_spread_cut,train_n
KOSPI_ALL,OPFY1_REV,REVISION,Q25,0.01034423068052015,341
KOSPI_ALL,OPFY1_REV,REVISION,Q33,0.01427857303134017,341
KOSPI_ALL,OPFY1_REV,REVISION,Q50,0.0224296757354554,341
KOSPI_ALL,PBR12MF,VALUE,Q25,0.014317812020297915,341
KOSPI_ALL,PBR12MF,VALUE,Q33,0.018791110172858838,341
KOSPI_ALL,PBR12MF,VALUE,Q50,0.03033154416117434,341
KOSPI_ALL,PER12MF,VALUE,Q25,0.014279770674709757,341
KOSPI_ALL,PER12MF,VALUE,Q33,0.020212044866505,341
KOSPI_ALL,PER12MF,VALUE,Q50,0.03256761097850325,341
KOSPI_ALL,PRIVATE_FLOW,FLOW,Q25,0.006440333327794701,341
KOSPI_ALL,PRIVATE_FLOW,FLOW,Q33,0.008991728461930082,341
KOSPI_ALL,PRIVATE_FLOW,FLOW,Q50,0.014712234509205002,341
KOSPI_ALL,FOREIGN_FLOW,FLOW,Q25,0.007220359510704877,341
KOSPI_ALL,FOREIGN_FLOW,FLOW,Q33,0.01028849049590604,341
KOSPI_ALL,FOREIGN_FLOW,FLOW,Q50,0.015213691606444035,341
KOSPI_EX_K200,MOM1M,MOMENTUM,Q25,0.01677339870507366,341
KOSPI_EX_K200,MOM1M,MOMENTUM,Q33,0.023147752763870304,341
KOSPI_EX_K200,MOM1M,MOMENTUM,Q50,0.03508436426424166,341
KOSPI_EX_K200,MOM12_1,MOMENTUM,Q25,0.016244295553834,341
KOSPI_EX_K200,MOM12_1,MOMENTUM,Q33,0.019141530903484583,341
KOSPI_EX_K200,MOM12_1,MOMENTUM,Q50,0.02986287403805732,341
KOSPI_EX_K200,OP12_REV,REVISION,Q25,0.013616170723917187,336
KOSPI_EX_K200,OP12_REV,REVISION,Q33,0.01955791224635139,336
KOSPI_EX_K200,OP12_REV,REVISION,Q50,0.034507724656263616,336
KOSPI_EX_K200,OPFY1_REV,REVISION,Q25,0.01372986629587869,337
KOSPI_EX_K200,OPFY1_REV,REVISION,Q33,0.01925610482937823,337
KOSPI_EX_K200,OPFY1_REV,REVISION,Q50,0.03074712492649101,337
KOSPI_EX_K200,PBR12MF,VALUE,Q25,0.01764150194160652,337
KOSPI_EX_K200,PBR12MF,VALUE,Q33,0.024675944969229868,337
KOSPI_EX_K200,PBR12MF,VALUE,Q50,0.03824599105052018,337
KOSPI_EX_K200,PER12MF,VALUE,Q25,0.01969959169996527,337
KOSPI_EX_K200,PER12MF,VALUE,Q33,0.02760001452757077,337
KOSPI_EX_K200,PER12MF,VALUE,Q50,0.04121649242311598,337
KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q25,0.009624345559925196,341
KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q33,0.013441268222317391,341
KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q50,0.020423372362247116,341
KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q25,0.0102216128766075,341
KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q33,0.013874754330686264,341
KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q50,0.024077752825282017,341
KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,Q25,0.01418044970518273,341
KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,Q33,0.019177304819868898,341
KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,Q50,0.028752054702813723,341
KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,Q25,0.014466333220602423,341
KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,Q33,0.019431115639767255,341
KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,Q50,0.034158907296579666,341
KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,Q25,0.009952923141194558,341
KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,Q33,0.012747712543678567,341
KOSPI_KOSDAQ_ALL,OP12_REV,REVISION,Q50,0.02198081771885585,341
KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,Q25,0.012001546904715443,341
KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,Q33,0.015334522124531569,341
KOSPI_KOSDAQ_ALL,OPFY1_REV,REVISION,Q50,0.022667854128959553,341
KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,Q25,0.019663282560231643,341
KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,Q33,0.023227166618839945,341
KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,Q50,0.03555570075946801,341
KOSPI_KOSDAQ_ALL,PER12MF,VALUE,Q25,0.014911987502997048,341
KOSPI_KOSDAQ_ALL,PER12MF,VALUE,Q33,0.019810862917192473,341
KOSPI_KOSDAQ_ALL,PER12MF,VALUE,Q50,0.03234858360742643,341
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,Q25,0.006491264807111374,341
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,Q33,0.008759144319220905,341
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,Q50,0.014589829012066513,341
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,Q25,0.007482149172357344,341
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,Q33,0.009542033887151025,341
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,Q50,0.014280174712409499,341
