sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,left_state,right_state,n_left,n_right,mkt_1d_diff,mkt_5d_diff,mkt_20d_diff,a_fwd_5d_diff,a_fwd_20d_diff,b_fwd_5d_diff,b_fwd_20d_diff
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,47,47,-7.12842237339725e-05,0.0034522115052755117,-0.003394740906348277,0.006765879218830748,0.0038657202624640657,-0.0011770591071459044,0.005901611459255707
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,60,34,8.906774623023534e-06,0.004341970728547643,0.01121833075619142,-0.0110305576635796,-0.013472179291260034,0.0019384634940818454,0.008871449065619569
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PER12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,60,47,-0.00020006181503855782,0.0013136824097749772,-0.005263444985669875,0.006861596037276514,0.008368294971337068,0.0021530301224923585,0.0060921611097732534
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,24,21,-0.0023855282562221213,-0.008563216813636183,-0.0264570506836499,0.003317651337577196,0.022112604109686913,-0.0035103612133982427,-0.006798498026676187
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,24,68,-0.0006944879552892589,-0.005856713073524186,-0.038102309661362535,-0.0001643323720595443,0.019855162950669893,-0.002131465335330451,-0.002971039394256497
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,53,39,0.00040004401419860064,0.0077969801290945,0.01654695046982167,-0.00449631449389148,-0.01702721076334757,-0.0003169713812208792,-0.002955827512492843
TRAIN,KOSPI_KOSDAQ_ALL,Q25,MOM1M,PRIVATE_FLOW,MOMENTUM_X_FLOW,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,53,68,0.0013763771224299334,0.0023030241419278743,0.0009172391007847801,0.0031497654207904317,0.0012672434645717746,0.0009497607509366797,-0.004947429408716722
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,25,49,-0.0019643299975374154,-0.009604184908337343,0.0026942296549420184,0.00395184740171474,0.02722469686302308,0.0035912087471922853,0.014669791667430645
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,25,31,0.0010543638519436233,-0.005148678465319279,0.0018622663461518958,0.007313071117512705,0.010256326945458537,0.00446879297824272,0.015532100537642497
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,39,36,0.000448071916024655,0.004906960239753767,0.020924484537705203,0.00033555452728862905,-0.002799268609275418,0.0006679547112389463,-0.005204253663485559
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,39,31,0.0018153152109255792,0.006109321612198715,0.02626435822375533,-0.0010283111727656946,-0.015289224194441096,0.0027381166054550876,0.007497316018618002
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,39,63,-0.0018661795033991279,-0.006486392180950451,0.003113865505999092,-0.00023756975124796572,-0.010588477543557384,0.005307377298548884,-0.005758107966190798
TRAIN,KOSPI_KOSDAQ_ALL,Q33,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,39,80,-0.0009686270550284623,-0.003367966355603421,0.01552114584382661,-0.002156875591744266,-0.016906473373846195,0.0023776898515278947,-0.007948774277896772
