feature,target,n_universe_years,train_direction_median,DEV_2020_2022_median_dic,DEV_2020_2022_positive_dic_share,DEV_2020_2022_median_dhl,CONFIRM_2023_2024_median_dic,CONFIRM_2023_2024_positive_dic_share,CONFIRM_2023_2024_median_dhl,BULL_2025_median_dic,BULL_2025_positive_dic_share,BULL_2025_median_dhl,YTD_2026_median_dic,YTD_2026_positive_dic_share,YTD_2026_median_dhl,CONFIRM_positive_universes,CONFIRM_universe_count,PASS
SIGN_ALIGNMENT_20_60,TARGET_TOP2_DROP_SHARE_20,42,1.0,0.021840250066156162,0.5,0.07142857142857145,0.07922574886507927,0.6666666666666666,0.037651350862925814,0.0684546799437205,0.8333333333333334,0.05822649572649574,0.16419368514004692,0.6666666666666666,0.09601648351648351,4,6,True
LEADER_ABS_SHARE_20,TARGET_REVERSAL_GAP_20,42,1.0,0.045570228091236495,0.6666666666666666,0.00507791541911229,0.078255536257056,0.5833333333333334,0.013844463267896102,0.02290816326530612,0.5,0.0034253083022746933,0.07965686274509805,0.6666666666666666,-0.0014998982231079626,4,6,True
WINNER_GAP_20,TARGET_WORST_LEADER_LOSS_20,42,1.0,0.0168547418967587,0.5555555555555556,0.0006534409795564723,0.07346938775510203,0.75,0.00498337060186944,-0.030561224489795917,0.16666666666666666,-0.00024009873111305053,0.20710784313725494,0.8333333333333334,0.010895039071188679,5,6,True
RANGE_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.13653061224489793,0.7777777777777778,0.007070170262013749,0.07137429439861051,0.75,0.0017678761606788277,-0.02729591836734694,0.3333333333333333,0.005551972619710846,0.19975490196078433,0.6666666666666666,-0.005046194893895441,5,6,True
TOP2_PREMIUM_20,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.0006242496998799495,0.5,0.0028480498587917383,0.058346721667390355,0.8333333333333334,0.0008510047307886907,0.018724489795918363,0.6666666666666666,0.007830021720310195,0.14460784313725492,0.8333333333333334,0.00549900688073797,5,6,True
LEADER_STRENGTH_20,TARGET_REVERSAL_GAP_20,42,1.0,0.035816326530612244,0.6666666666666666,0.005299885051980554,0.05756187581415545,0.75,0.012824510523213411,-0.10428571428571427,0.3333333333333333,-0.009552581361351268,0.14460784313725492,0.8333333333333334,0.04092102195146402,5,6,True
SIGN_ALIGNMENT_20_60,TARGET_REVERSAL_GAP_20,42,1.0,0.03731034304902208,0.6111111111111112,-0.002589586768155336,0.05183447502425273,0.8333333333333334,0.0037769226612022633,0.014262205623968297,0.5,0.01286947128917912,0.05060570663806171,0.5,-0.006626554662488025,5,6,True
DISPERSION_60,TARGET_TOP2_RELATIVE_LOSS_20,42,1.0,0.12490996398559423,0.6666666666666666,0.018508251020160797,0.05053191489361702,0.5,0.0006844235080902649,-0.10377551020408161,0.3333333333333333,-0.012365481530735793,-0.14215686274509806,0.3333333333333333,,5,6,True
TOP2_PREMIUM_20,TARGET_REVERSAL_GAP_20,42,1.0,0.028775510204081627,0.6111111111111112,0.007114424200103977,0.04236539296569691,0.5833333333333334,0.005964270203101144,-0.14903061224489794,0.16666666666666666,-0.015587795832638305,0.20220588235294118,0.6666666666666666,-0.03087070421422437,4,6,True
DISPERSION_CHANGE_20,TARGET_REVERSAL_GAP_20,42,1.0,0.08326530612244898,0.6666666666666666,0.010294552831506855,0.04203973078593139,0.5,0.0065455805337967235,-0.03704081632653061,0.3333333333333333,-0.006312084784211198,0.18504901960784315,1.0,0.03166855051350627,5,6,True
