model,universe,cost_bps,period,n_rebalances,cagr,sharpe,mdd,ew8_cagr,ew8_sharpe,ew8_mdd,top2_cagr,top2_sharpe,delta_cagr_vs_ew8,delta_sharpe_vs_ew8,delta_mdd_vs_ew8,delta_sharpe_vs_top2,avg_abs_lambda,avg_lambda,annual_turnover
COMBINED_CONT,KOSDAQ,0,CONFIRM_2023_2024,24,0.07764443861617143,0.9864476186101825,-0.05906764184011282,0.038296597531923826,0.5408009048568467,-0.06656891878182603,0.04440735746819824,0.30240744461305163,0.0393478410842476,0.44564671375333575,0.007501276941713209,0.6840401739971309,0.1298127315797473,0.01171754214947932,1.8554809325292259
PERSIST_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.06877698784244868,1.0963264001816935,-0.05818869256635106,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.0525242265289505,0.3309777027451042,0.021558854030852892,0.3443681167819045,0.015583403135248308,0.7653486974365893,0.14175431976479094,-0.010916020732774654,1.9086488150060592
LIQ_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.07157362035557768,1.0207274239331723,-0.07383047625436956,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.0525242265289505,0.3309777027451042,0.024355486543981897,0.2687691405333833,-5.83805527701875e-05,0.6897497211880681,0.1038954530446677,0.003323677080221587,1.5431711996508932
COMBINED_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,CONFIRM_2023_2024,24,0.07794589922286299,1.1902921848871002,-0.06134114328251361,0.047218133811595786,0.751958283399789,-0.07377209570159937,0.0525242265289505,0.3309777027451042,0.030727765411267205,0.4383339014873112,0.012430952419085761,0.859314482141996,0.12456632024694853,0.0035112009915674834,1.561052183356117
PERSIST_CONT,KOSPI_ALL,0,CONFIRM_2023_2024,24,0.09608634739228306,1.457663528807757,-0.0439833876421869,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.17608548338274388,1.0309319266032486,0.010908083746619779,0.2049117875088713,0.0023652465800451106,0.42673160220450845,0.12507419068282943,0.02313684758056485,1.6291928492084764
LIQ_CONT,KOSPI_ALL,0,CONFIRM_2023_2024,24,0.10806853413844553,1.4723669073294985,-0.05090550321913079,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.17608548338274388,1.0309319266032486,0.02289027049278225,0.2196151660306127,-0.0045568689968987774,0.44143498072624987,0.11332749634451204,0.0203307037403896,1.5990032347297438
COMBINED_CONT,KOSPI_ALL,0,CONFIRM_2023_2024,24,0.10314337627775494,1.5180176237699985,-0.04619395090663214,0.08517826364566328,1.2527517412988858,-0.04634863422223201,0.17608548338274388,1.0309319266032486,0.017965112632091662,0.2652658824711127,0.00015468331559986837,0.4870856971667499,0.13480815566875776,0.02645438304796943,1.8275606064422423
PERSIST_CONT,KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.04287715443128204,0.4890098253995389,-0.08431084289234303,0.04150157101952545,0.49129305351427915,-0.07632756727463941,0.07968925517936953,0.5836453263890231,0.0013755834117565868,-0.0022832281147402433,-0.007983275617703622,-0.0946355009894842,0.11031321619556912,0.05114845938375351,1.524256637855988
LIQ_CONT,KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.03831764432388818,0.4721615153673001,-0.07842404345954912,0.04150157101952545,0.49129305351427915,-0.07632756727463941,0.07968925517936953,0.5836453263890231,-0.0031839266956372736,-0.019131538146979044,-0.0020964761849097124,-0.111483811021723,0.09854469060351413,0.02655080213903743,1.4463644602661359
COMBINED_CONT,KOSPI_EX_K200,0,CONFIRM_2023_2024,25,0.03992097048064691,0.4723939440267895,-0.08352621852434272,0.04150157101952545,0.49129305351427915,-0.07632756727463941,0.07968925517936953,0.5836453263890231,-0.0015806005388785405,-0.01889910948748963,-0.007198651249703314,-0.11125138236223359,0.11942768016297428,0.05650305576776165,1.4955748507648299
PERSIST_CONT,KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.07929012224314436,1.2798119973857036,-0.05035074100944137,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.10313645130640103,0.5894283115312887,-0.0065727811274125525,-0.05644546816772711,0.004573279814339082,0.6903836858544149,0.14713470014517135,-0.03133368971065306,1.6916273592595472
LIQ_CONT,KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.10962014512170404,1.5407630947768904,-0.057069720405673374,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.10313645130640103,0.5894283115312887,0.02375724175114713,0.20450562922345972,-0.0021456995818929236,0.9513347832456017,0.10517241718157949,0.0176195501784507,1.5514656395174706
COMBINED_CONT,KOSPI_KOSDAQ_ALL,0,CONFIRM_2023_2024,24,0.09092700366153794,1.4140316009665648,-0.05274198339594027,0.08586290337055691,1.3362574655534307,-0.05492402082378045,0.10313645130640103,0.5894283115312887,0.005064100290981033,0.07777413541313405,0.0021820374278401777,0.824603289435276,0.12211188610076046,-0.006512484342981723,1.6315008233806394
PERSIST_CONT,K200,0,BULL_2025,12,0.25872901092773337,2.0282429860896025,-0.058646074471016774,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.0037649395725156687,0.09821458775468897,0.014440393403602148,0.036591161801052596,0.003334345194094257,1.9300283983349136,0.12054263565891472,-0.00775193798449612,1.7627212194082555
LIQ_CONT,K200,0,BULL_2025,12,0.2582137147800263,2.0794066907733977,-0.0672730310843086,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.0037649395725156687,0.09821458775468897,0.01392509725589508,0.08775486648484776,-0.005292611419197568,1.9811921030187087,0.13817829457364342,-0.042441860465116284,1.9549801762449772
COMBINED_CONT,K200,0,BULL_2025,12,0.2673133450218024,2.1296948946434404,-0.06335649863410242,0.24428861752413122,1.99165182428855,-0.06198041966511103,-0.0037649395725156687,0.09821458775468897,0.02302472749767115,0.1380430703548905,-0.00137607896899139,2.0314803068887515,0.12340116279069767,-0.037063953488372096,1.8134885052660417
PERSIST_CONT,KOSDAQ,0,BULL_2025,12,0.0998522389630685,1.0698250514783723,-0.04313231739707091,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.034691462586339705,0.2946934680482536,-0.01973067290230368,-0.1873055863645665,-0.001091972067050917,0.7751315834301187,0.13565891472868216,-0.012403100775193798,1.8557044852672588
LIQ_CONT,KOSDAQ,0,BULL_2025,12,0.1416907078933749,1.444674397623323,-0.041048532317148334,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.034691462586339705,0.2946934680482536,0.022107796028002724,0.18754375978038418,0.0009918130128716562,1.1499809295750694,0.12538759689922482,-0.051937984496124044,1.6794023194934857
COMBINED_CONT,KOSDAQ,0,BULL_2025,12,0.12159769661803321,1.3026105495071814,-0.04177965437458675,0.11958291186537218,1.2571306378429388,-0.04204034533001999,0.034691462586339705,0.2946934680482536,0.0020147847526610363,0.04547991166424259,0.0002606909554332404,1.0079170814589278,0.14515503875968994,-0.04428294573643412,1.7236362702422987
PERSIST_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,0.128115232361248,1.5602229563441303,-0.024199676566307393,0.12347214370878823,1.476147799073752,-0.024328852993387606,0.1997184974581323,1.8106164059199106,0.00464308865245977,0.0840751572703784,0.00012917642708021315,-0.25039344957578025,0.13430232558139535,0.012209302325581393,1.6979887449774749
LIQ_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,0.12402391431472837,1.4291199497872134,-0.025242027656576127,0.12347214370878823,1.476147799073752,-0.024328852993387606,0.1997184974581323,1.8106164059199106,0.0005517706059401384,-0.04702784928653858,-0.0009131746631885207,-0.3814964561326972,0.13575581395348837,-0.03943798449612403,1.752805156459272
COMBINED_CONT,KOSDAQ_PLUS_KOSPI_EX_K200,0,BULL_2025,12,0.12562427408657162,1.5117329312701928,-0.02495207339269301,0.12347214370878823,1.476147799073752,-0.024328852993387606,0.1997184974581323,1.8106164059199106,0.00215213037778339,0.03558513219644088,-0.000623220399305402,-0.29888347464971776,0.13468992248062017,-0.0185077519379845,1.6486888926092782
PERSIST_CONT,KOSPI_ALL,0,BULL_2025,12,0.22184089881033997,2.4301511706284513,-0.045158810340440336,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-0.059475029630645215,-0.3246397764942533,0.03141852508887144,0.294842469023854,0.0006570702961145036,2.7547909471227046,0.12848837209302325,-0.04379844961240311,1.7074917052234262
LIQ_CONT,KOSPI_ALL,0,BULL_2025,12,0.18091513331404552,1.8697908243304562,-0.05509699856917505,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-0.059475029630645215,-0.3246397764942533,-0.009507240407423012,-0.2655178772741411,-0.009281117932620209,2.1944306008247096,0.14147286821705427,-0.024224806201550386,1.8801039130037747
COMBINED_CONT,KOSPI_ALL,0,BULL_2025,12,0.20538592017318735,2.121567597714242,-0.05250978427822339,0.19042237372146853,2.1353087016045973,-0.04581588063655484,-0.059475029630645215,-0.3246397764942533,0.014963546451718823,-0.013741103890355433,-0.006693903641668553,2.446207374208495,0.12374031007751939,-0.045251937984496116,1.6529765311092173
PERSIST_CONT,KOSPI_EX_K200,0,BULL_2025,12,0.1375003721706205,2.027897861887043,-0.02568713785949661,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.1260002993185172,0.9133717810354915,0.01960555791638785,0.11373195069593334,-0.003886939079122853,1.1145260808515514,0.11069958847736627,0.02191358024691358,1.5294226579520696
LIQ_CONT,KOSPI_EX_K200,0,BULL_2025,12,0.12203432672073,2.0204275863109835,-0.018923439664304542,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.1260002993185172,0.9133717810354915,0.004139512466497353,0.10626167511987394,0.0028767591160692163,1.107055805275492,0.14063786008230453,-0.007613168724279837,1.8369526143790849
COMBINED_CONT,KOSPI_EX_K200,0,BULL_2025,12,0.13548050722580673,2.106112104858961,-0.02303208346297847,0.11789481425423265,1.9141659111911096,-0.02180019878037376,0.1260002993185172,0.9133717810354915,0.017585692971574085,0.19194619366785148,-0.0012318846826047114,1.1927403238234695,0.1140432098765432,0.005915637860082305,1.7422358387799568
PERSIST_CONT,KOSPI_KOSDAQ_ALL,0,BULL_2025,12,0.20538537814846358,2.471704523557445,-0.025732669964281807,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.09802319551479077,0.6600874063072499,0.030798266746898895,0.4488968625194154,0.009718748731838645,1.811617117250195,0.13846899224806203,-0.06928294573643412,2.0609877633020823
LIQ_CONT,KOSPI_KOSDAQ_ALL,0,BULL_2025,12,0.17180172996929532,1.93636491727692,-0.03823543525992856,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.09802319551479077,0.6600874063072499,-0.0027853814322693626,-0.0864427437611095,-0.0027840165638081116,1.27627751096967,0.13672480620155036,-0.041375968992248054,1.8046115913795202
COMBINED_CONT,KOSPI_KOSDAQ_ALL,0,BULL_2025,12,0.19035471316191677,2.274911941482138,-0.028921634391916418,0.1745871114015647,2.0228076610380294,-0.03545141869612045,0.09802319551479077,0.6600874063072499,0.01576760176035208,0.2521042804441085,0.006529784304204034,1.614824535174888,0.14297480620155037,-0.07873062015503875,1.7865061868379395
PERSIST_CONT,K200,0,YTD_2026,4,0.5536297900980252,4.3737891278520875,0.0,0.44758800968263035,3.218589932676514,0.0,0.0555229707229945,0.3154131212453638,0.1060417804153948,1.1551991951755736,0.0,4.058376006606724,0.20485386221294366,-0.13778705636743216,2.7958180803029564
LIQ_CONT,K200,0,YTD_2026,4,0.5446745509696695,4.375162361187769,0.0,0.44758800968263035,3.218589932676514,0.0,0.0555229707229945,0.3154131212453638,0.0970865412870392,1.156572428511255,0.0,4.0597492399424056,0.18345511482254698,-0.05897703549060542,2.5376142763509253
COMBINED_CONT,K200,0,YTD_2026,4,0.5721945906730059,4.692669626963546,0.0,0.44758800968263035,3.218589932676514,0.0,0.0555229707229945,0.3154131212453638,0.12460658099037558,1.4740796942870324,0.0,4.377256505718183,0.1268267223382046,-0.12656576200417538,2.0465173933097054
PERSIST_CONT,KOSDAQ,0,YTD_2026,4,0.38992105547480227,2.9232400729127117,-0.009516305238138956,0.35271358515920936,2.8047603829741363,-0.01114308345845183,0.7624693691352455,2.663934884619375,0.037207470315592905,0.11847968993857538,0.0016267782203128744,0.2593051882933368,0.13491649269311062,-0.056106471816283934,2.0681328288100205
LIQ_CONT,KOSDAQ,0,YTD_2026,4,0.3354712435612657,2.7175489904983428,-0.01229742745587914,0.35271358515920936,2.8047603829741363,-0.01114308345845183,0.7624693691352455,2.663934884619375,-0.01724234159794369,-0.08721139247579357,-0.0011543439974273095,0.053614105878967866,0.10307933194154488,0.0060020876826722275,1.4741662013885517
COMBINED_CONT,KOSDAQ,0,YTD_2026,4,0.36710177578755343,2.8592012110124223,-0.010679563088828448,0.35271358515920936,2.8047603829741363,-0.01114308345845183,0.7624693691352455,2.663934884619375,0.014388190628344066,0.05444082803828598,0.0004635203696233825,0.19526632639304742,0.08729123173277661,-0.042667014613778705,1.3267971822352769
