universe,strategy,period,cost_bp,n_phases,median_cagr,mean_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_turnover,median_n_names,median_top_weight
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,NORMAL_2023_2024,30,10,0.07768691470056488,0.08400394592752854,0.03157430756069779,-0.21792735249619255,-0.232965712072846,0.4917534786137714,0.26026100635993155,8.584298549812718,79.66326530612244,0.03698448129251701
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,NORMAL_2023_2024,60,10,0.05029117671818173,0.056502181275924324,0.005230459961799827,-0.2288486991225408,-0.26396825470524055,0.35503041355091547,0.12249547717153356,8.584298549812718,79.66326530612244,0.03698448129251701
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,PRE_STRESS_2016_2024,0,10,0.05677664094533874,0.05855904924425712,0.04882971959866911,-0.5603225206247393,-0.5781391842942523,0.3757736946033845,0.3374636317767522,8.331696540275004,77.42009132420091,0.037571347031963465
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,PRE_STRESS_2016_2024,30,10,0.030643623875951986,0.032405072983366964,0.022815568099894268,-0.5778634041296161,-0.5953688793649707,0.25143129198405756,0.21356026628359218,8.331696540275004,77.42009132420091,0.037571347031963465
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,PRE_STRESS_2016_2024,60,10,0.005131001455299877,0.006871461477057928,-0.00257918581813954,-0.5944811201596221,-0.6119105022224296,0.12692479136167062,0.08976199163493825,8.331696540275004,77.42009132420091,0.037571347031963465
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,YTD_2026,0,10,-0.008110179440934395,-0.007306151138127504,-0.08589041009318243,-0.3836745853567312,-0.3949339578641996,0.2067543588869074,0.02787380896690261,8.862383830596098,85.86428571428571,0.034999999999999996
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,YTD_2026,30,10,-0.03340516892898393,-0.03307770535585945,-0.10826784626675334,-0.387131159865904,-0.3981149430381109,0.1495068355871439,-0.02702536582791984,8.862383830596098,85.86428571428571,0.034999999999999996
KOSPI_EX_K200,TURNOVER20_TOP01_LOW10,YTD_2026,60,10,-0.05808024598036643,-0.05820537904980581,-0.13011992747374035,-0.3905717194185663,-0.4012825598402824,0.09220122868744293,-0.08193027561311486,8.862383830596098,85.86428571428571,0.034999999999999996
NON_K200_50_50,ACT5_RULE,BULL_2025,0,10,0.6154426517203837,0.6406443901455322,0.5892149626455441,-0.1364212258835515,-0.14232132938021047,2.4416331710937245,2.3674087265859303,10.15009114862887,173.38416666666666,0.019067708333333332
NON_K200_50_50,ACT5_RULE,BULL_2025,30,10,0.5661745947209578,0.5913899969109634,0.5410510583816424,-0.14011807339184001,-0.14664016024744742,2.2900986963313423,2.2163180347353033,10.15009114862887,173.38416666666666,0.019067708333333332
NON_K200_50_50,ACT5_RULE,BULL_2025,60,10,0.5191985626736613,0.5435575603119049,0.4942898278247414,-0.14380326638343038,-0.15094267866613575,2.137194685126989,2.0636001569949216,10.15009114862887,173.38416666666666,0.019067708333333332
NON_K200_50_50,ACT5_RULE,EARLY_2016_2019,0,10,0.014833401652005973,0.01387512862846425,-0.004739791935461146,-0.31980261835976753,-0.33106828097235075,0.17207989033822224,0.060169754342914536,9.62625424644771,151.859375,0.020214843749999996
NON_K200_50_50,ACT5_RULE,EARLY_2016_2019,30,10,-0.01394318025346769,-0.014982560919690658,-0.03294019055062214,-0.3416873305022843,-0.35297309675974153,0.007440095976040789,-0.10499433342899707,9.62625424644771,151.859375,0.020214843749999996
