universe,strategy,period,cost_bp,n_phases,median_delta_cagr,mean_delta_cagr,min_delta_cagr,cagr_better_phases,median_delta_sharpe,sharpe_better_phases,median_mdd_improvement,mdd_better_phases,median_delta_annual_turnover,median_cagr,worst_phase_cagr,median_mdd,worst_phase_mdd,median_sharpe,worst_phase_sharpe,median_annual_turnover
KOSDAQ,ACT1_LOW05,FULL_2016_2026,0,10,0.007362437911927255,0.007500115853738354,0.0018767209839818388,10,0.0236284221375756,10,0.006181136843982249,10,0.06947837372118482,0.10776975028252045,0.08573277424124393,-0.4583891720432971,-0.4831363358988521,0.5042625316090357,0.4327100215905667,9.808084011997135
KOSDAQ,ACT5_LOW30,FULL_2016_2026,0,10,0.01063339004814523,0.013975089543795938,0.0021036194963355292,10,0.0341767812132735,10,0.002090830380730324,6,1.7973517521781277,0.11543444170100103,0.09036952087201877,-0.46885561671358844,-0.4945320369582782,0.5298854218412381,0.44907107069487856,11.541845736863552
KOSDAQ,AMIHUD20_TOP05,FULL_2016_2026,0,10,0.006013615327000288,0.006149928504079738,0.004472394959158521,10,0.019482876024540186,10,0.006659429480556478,9,0.0033685857388210394,0.10523892456231021,0.08716727657309065,-0.4618252990333912,-0.48780719045462484,0.49665697335366854,0.43766533732291824,9.745325408267494
KOSDAQ,TURNOVER20_LOW30,FULL_2016_2026,0,10,0.01154393885851801,0.011261423976945628,0.004336904350832338,10,0.025933430901179777,10,0.004884019668076278,7,0.15926223059603029,0.11077881754488106,0.08856592695507448,-0.4645261361238095,-0.4922861888536769,0.5041154914175024,0.4360455128924506,9.901777187484404
KOSDAQ,TURNOVER20_TOP01_LOW30,FULL_2016_2026,0,10,0.015071567876706382,0.014660856651496435,0.004656042466750332,10,0.038187264036401186,10,0.006320382492528309,6,0.1488758968784314,0.11510304929423554,0.09402839585967993,-0.4593367822562796,-0.49148344094961305,0.5176842738936296,0.4534104624213014,9.896673254392777
KOSDAQ,ACT1_LOW05,FULL_2016_2026,30,10,0.006904206496964993,0.007070889434676065,0.001631591998628057,10,0.022912108507506496,10,0.008495928957724275,10,0.06947837372118482,0.07567891691231798,0.05417190792408588,-0.481999878322689,-0.5084385517487726,0.40009912090680355,0.32837396270299046,9.808084011997135
KOSDAQ,ACT5_LOW30,FULL_2016_2026,30,10,0.004485905077812324,0.007787071518629007,-0.00403854581679175,8,0.014902384636235638,8,-0.0019220345672983918,2,1.7973517521781277,0.07763456616748632,0.053066808158739986,-0.49922362925982205,-0.5221827644510864,0.4071516334104666,0.3251272069244486,11.541845736863552
KOSDAQ,AMIHUD20_TOP05,FULL_2016_2026,30,10,0.005826687765635108,0.005960963940718234,0.004317680979271099,10,0.019485978672628496,10,0.006841141678166629,10,0.0033685857388210394,0.07337728966994761,0.05574814301783637,-0.4835347154560446,-0.5130105820994206,0.3927723723868729,0.3337541036393303,9.745325408267494
KOSDAQ,TURNOVER20_LOW30,FULL_2016_2026,30,10,0.010635275973663205,0.010407763093899325,0.0036981010516976554,10,0.029045635176027984,10,0.005992804176602307,8,0.15926223059603029,0.07833894584987511,0.05662270691429705,-0.47834900170152944,-0.5175190084089463,0.40362202043380285,0.33483838870207766,9.901777187484404
KOSDAQ,TURNOVER20_TOP01_LOW30,FULL_2016_2026,30,10,0.014140519120265038,0.013721734802794861,0.003968770315472714,10,0.041080380005376504,10,0.012142006786246995,9,0.1488758968784314,0.08239394141889478,0.06197147247390111,-0.4745307713144982,-0.516784605897375,0.4164635985300288,0.3521344118663728,9.896673254392777
KOSDAQ,ACT1_LOW05,FULL_2016_2026,60,10,0.006465522140825852,0.006659487913268247,0.0013986619017778423,10,0.022184668340078137,10,0.00897926242682684,10,0.06947837372118482,0.0444808240325153,0.02349201933886902,-0.5052531316619135,-0.5327209788899261,0.29574786930145536,0.22406841901011176,9.808084011997135
KOSDAQ,ACT5_LOW30,FULL_2016_2026,60,10,-0.0013009557938866712,0.0019599804460271207,-0.009809831327484808,4,-0.004460106423623961,4,-0.008962448331483797,1,1.7973517521781277,0.04106549557552597,0.01699024833634022,-0.5296149447210499,-0.5534565158127766,0.28418386395233275,0.20097928812391347,11.541845736863552
KOSDAQ,AMIHUD20_TOP05,FULL_2016_2026,60,10,0.005645315611063406,0.005777556202807466,0.004167985518694017,10,0.019481418979527418,10,0.006538788494457826,10,0.0033685857388210394,0.04239765322642952,0.025200920567084006,-0.5066335095933252,-0.5369992255871807,0.28859088637759767,0.22987579468690386,9.745325408267494
KOSDAQ,TURNOVER20_LOW30,FULL_2016_2026,60,10,0.009767954284978342,0.009592570165665015,0.003091487021910533,10,0.03224553976949218,10,0.009987685146189307,9,0.15926223059603029,0.04680879852305697,0.02557960575160001,-0.5018423362362275,-0.5415235579839968,0.30295341035849876,0.23347207587537172,9.901777187484404
KOSDAQ,TURNOVER20_TOP01_LOW30,FULL_2016_2026,60,10,0.013249262635844694,0.012823093743378955,0.003315995255841031,10,0.04394875271036648,10,0.015327873632915656,9,0.1488758968784314,0.05060608487929541,0.030816568821153023,-0.5005573966888726,-0.5408527647778976,0.3151741836102643,0.2506964167486807,9.896673254392777
KOSDAQ,ACT1_LOW05,LATE_2020_2022,0,10,0.000613259364027563,-0.0002675995331495873,-0.01025597480568452,5,0.0020102189691721117,5,-0.00011085961286794177,5,0.09787070653128627,0.05165786419417617,0.036874211470173,-0.40468836095441924,-0.41780699604482696,0.31848480695349257,0.2704624222435809,10.383171790035968
KOSDAQ,ACT5_LOW30,LATE_2020_2022,0,10,0.008091131810490149,0.007136437723657951,-0.019322518966738755,7,0.025581297388014124,7,0.0035116173419626473,7,1.6911437065304051,0.06908929485018267,0.021225373056046992,-0.39918188989349557,-0.4235861198266133,0.374582582019655,0.21927747501293454,11.955916796386209
KOSDAQ,AMIHUD20_TOP05,LATE_2020_2022,0,10,0.003297833051710053,0.003519489227077699,-0.00012938076198332205,9,0.010595175492842529,9,3.5766817812477036e-05,6,-0.0004965685169491252,0.05703873945196136,0.035183959867747916,-0.4033381896061272,-0.41780699604482696,0.3358930794049777,0.2648670753907798,10.290082451098112
KOSDAQ,TURNOVER20_LOW30,LATE_2020_2022,0,10,-0.0038965864055439114,-0.005412568342769442,-0.014039362220903628,0,-0.011899733173573707,0,-0.0060472118942961894,3,0.18218006752618976,0.045989357556003085,0.021512126361775685,-0.4075603368049319,-0.41464231345133507,0.30038020707193575,0.2224026273040768,10.483749349794659
KOSDAQ,TURNOVER20_TOP01_LOW30,LATE_2020_2022,0,10,0.006295116288512204,0.0019495145821827764,-0.019393313281430347,7,0.01998088455003333,7,-0.0025503923990780053,4,0.17916086926155295,0.05154324729989157,0.0342883551416977,-0.40726367632929955,-0.4111287758663079,0.31771309538931036,0.26325279223272186,10.462494353918292
KOSDAQ,ACT1_LOW05,LATE_2020_2022,30,10,0.0002819504429644182,-0.0005354557879677757,-0.01025912767575976,5,0.001245363953517542,5,0.00024341684178375012,6,0.09787070653128627,0.019365033134856824,0.005495319115415898,-0.40732567636720035,-0.4288796990148931,0.2127659020194227,0.16635235954358443,10.383171790035968
KOSDAQ,ACT5_LOW30,LATE_2020_2022,30,10,0.002449303284111415,0.001766349756865493,-0.024016522497766868,6,0.007936029280332935,6,0.00426678660995744,8,1.6911437065304051,0.031201700189861126,-0.014618239458110027,-0.40191455927051545,-0.4261381951192509,0.25197933888762025,0.0981513287577531,11.955916796386209
KOSDAQ,AMIHUD20_TOP05,LATE_2020_2022,30,10,0.0032300623401216866,0.003419262030024084,-0.00012104113146604867,9,0.010695222218005701,9,0.00026480836026743226,7,-0.0004965685169491252,0.024759205911438653,0.004116785718195404,-0.40680318724240244,-0.42124056703737145,0.2306859339087562,0.1613789723305251,10.290082451098112
KOSDAQ,TURNOVER20_LOW30,LATE_2020_2022,30,10,-0.004351529886859384,-0.005841041878600473,-0.014180452006520072,0,-0.01092978911974414,0,-0.006591358312765416,3,0.18218006752618976,0.013367004138443717,-0.00967334568273781,-0.4102444970588025,-0.4285015869937029,0.19650316484700944,0.12067376184116133,10.483749349794659
KOSDAQ,TURNOVER20_TOP01_LOW30,LATE_2020_2022,30,10,0.005430630063758823,0.0012985205522876408,-0.019257831055096153,7,0.021532776126514788,7,-0.0028389697208806575,3,0.17916086926155295,0.01875791496941226,0.0026865631216419494,-0.41099091325052534,-0.4254487276527691,0.21368884685780626,0.1615532102465292,10.462494353918292
KOSDAQ,ACT1_LOW05,LATE_2020_2022,60,10,-3.0435528828920422e-05,-0.0007873780100513317,-0.010252914470955887,5,0.00048043341474288126,5,0.00027159207269211727,6,0.09787070653128627,-0.011974747840342304,-0.024971191240259705,-0.41535387352295006,-0.44249528556181605,0.10708056973465083,0.06221437061600765,10.383171790035968
KOSDAQ,ACT5_LOW30,LATE_2020_2022,60,10,-0.002846315627292706,-0.003272237900001196,-0.02839198226908979,4,-0.009735280615169317,4,0.009457104104502623,7,1.6911437065304051,-0.005395446751233379,-0.049252805166336455,-0.4075193338133085,-0.42930933900641555,0.1292036233119231,-0.023431463829515817,11.955916796386209
KOSDAQ,AMIHUD20_TOP05,LATE_2020_2022,60,10,0.0031633101124381446,0.0033217603686115814,-0.00011307268186011576,9,0.0107897305243747,9,0.00032536067700994487,7,-0.0004965685169491252,-0.006572931788604686,-0.02605460564118034,-0.4143975743850254,-0.4348868867963268,0.12555496059130156,0.05786596843890906,10.290082451098112
KOSDAQ,TURNOVER20_LOW30,LATE_2020_2022,60,10,-0.0047760493214515365,-0.0062394396073681135,-0.014300556419302834,0,-0.009966360142691665,0,-0.009437913958975586,1,0.18218006752618976,-0.018277812536700744,-0.03994412154597249,-0.42282388478798305,-0.44204974053047463,0.09260345245394903,0.01894573530046118,10.483749349794659
