universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,vol,sharpe,calmar,worst_20d,annual_turnover,avg_rebalance_turnover,n_rebalances,avg_n_names,avg_hhi,avg_top_weight,avg_missing_return_weight
KOSDAQ,ACT1_LOW05,2,PRE_STRESS_2016_2024,60,2188,-0.01687398022709552,-0.5288762686430044,0.25210310231771865,0.05933027538958793,-0.03190534578227708,-0.40949107449889344,9.723946528527012,0.38551850047867464,219,89.37442922374429,0.015195847602739725,0.03421803652968036,0.0
KOSDAQ,ACT1_LOW05,2,EARLY_2016_2019,0,957,0.025716725335503066,-0.3185258709329002,0.21063429633280442,0.22629976999022472,0.0807366926277724,-0.2271805839071004,8.899479795916932,0.35205035402994805,96,81.47916666666667,0.016835123697916666,0.036718749999999994,0.0
KOSDAQ,ACT1_LOW05,2,EARLY_2016_2019,30,957,-0.0013207449135751448,-0.3331256332341491,0.21060582386845406,0.09946445218014918,-0.003964705149683911,-0.2289092318045236,8.899479795916932,0.35205035402994805,96,81.47916666666667,0.016835123697916666,0.036718749999999994,0.0
KOSDAQ,ACT1_LOW05,2,EARLY_2016_2019,60,957,-0.02767432906461542,-0.3531368990903253,0.21070460113173994,-0.027388614140936796,-0.07836714072050818,-0.23063594500537155,8.899479795916932,0.35205035402994805,96,81.47916666666667,0.016835123697916666,0.036718749999999994,0.0
KOSDAQ,ACT1_LOW05,2,LATE_2020_2022,0,742,0.0420211562981716,-0.41780699604482696,0.298565472846967,0.28776253960213105,0.10057552098448612,-0.4064640210577284,10.491947581392012,0.41747238874908155,74,94.04054054054055,0.014366554054054055,0.03327702702702703,0.0
KOSDAQ,ACT1_LOW05,2,LATE_2020_2022,30,742,0.009713237944491526,-0.4207580178594803,0.29886237998018117,0.18241745951531724,0.02308509293276364,-0.4079784365610345,10.491947581392012,0.41747238874908155,74,94.04054054054055,0.014366554054054055,0.03327702702702703,0.0
KOSDAQ,ACT1_LOW05,2,LATE_2020_2022,60,742,-0.021632245810048967,-0.42369799614715475,0.29927901005353374,0.07725056793419101,-0.051055813354698665,-0.40949107449889344,10.491947581392012,0.41747238874908155,74,94.04054054054055,0.014366554054054055,0.03327702702702703,0.0
KOSDAQ,ACT1_LOW05,2,NORMAL_2023_2024,0,489,0.07580585415936958,-0.32626685149480994,0.24820720648154365,0.41949595733608075,0.23234310752704662,-0.2058359431746839,10.172122156097595,0.4028318540923003,49,97.79591836734694,0.013236607142857142,0.03073979591836734,0.0
KOSDAQ,ACT1_LOW05,2,NORMAL_2023_2024,30,489,0.043452548028949156,-0.3355624386253503,0.24838000607516333,0.2964420066460432,0.12949169223753074,-0.20763469428018388,10.172122156097595,0.4028318540923003,49,97.79591836734694,0.013236607142857142,0.03073979591836734,0.0
KOSDAQ,ACT1_LOW05,2,NORMAL_2023_2024,60,489,0.012034361362134982,-0.34474039814935475,0.24868806380999817,0.17346475927218713,0.03490847439620707,-0.20943141428003176,10.172122156097595,0.4028318540923003,49,97.79591836734694,0.013236607142857142,0.03073979591836734,0.0
KOSDAQ,ACT1_LOW05,2,BULL_2025,0,242,0.7167594872032481,-0.1388902796040009,0.2303074672935808,2.4638934195939854,5.160616633841098,-0.0908912026905544,10.453448061261481,0.41827619557296264,24,94.41666666666667,0.014130859374999999,0.03359375,0.0
KOSDAQ,ACT1_LOW05,2,BULL_2025,30,242,0.6637237094543214,-0.14341758108198044,0.23101797732751753,2.3209343041087136,4.627910361107842,-0.09330774423781629,10.453448061261481,0.41827619557296264,24,94.41666666666667,0.014130859374999999,0.03359375,0.0
KOSDAQ,ACT1_LOW05,2,BULL_2025,60,242,0.6122622078581612,-0.1479270138147687,0.23188034904677177,2.1774248909752885,4.138947931611896,-0.09572106981031425,10.453448061261481,0.41827619557296264,24,94.41666666666667,0.014130859374999999,0.03359375,0.0
KOSDAQ,ACT1_LOW05,2,YTD_2026,0,147,0.03988952261974288,-0.44510341514032736,0.6146694913836833,0.36867126119290344,0.08961854989849256,-0.32019594963837816,11.21487218154509,0.436133918171198,15,100.2,0.01278125,0.029166666666666667,0.0
KOSDAQ,ACT1_LOW05,2,YTD_2026,30,147,0.005462208422717385,-0.44843111790475476,0.6140125960127261,0.31365452909901115,0.012180707815815626,-0.3217237246837489,11.21487218154509,0.436133918171198,15,100.2,0.01278125,0.029166666666666667,0.0
KOSDAQ,ACT1_LOW05,2,YTD_2026,60,147,-0.027869192682143495,-0.45174289088840025,0.6134236095090433,0.25849133333513474,-0.06169259825502904,-0.32324979184655944,11.21487218154509,0.436133918171198,15,100.2,0.01278125,0.029166666666666667,0.0
KOSDAQ,ACT1_LOW05,3,FULL_2016_2026,0,2576,0.09085441228996793,-0.4795790858787957,0.2810871259799792,0.45052234326108015,0.18944615177178434,-0.404368626303636,9.83605746318466,0.38971459371791073,258,90.6937984496124,0.014949430717054261,0.03384205426356589,0.0
KOSDAQ,ACT1_LOW05,3,FULL_2016_2026,30,2576,0.05911672830508152,-0.5030390890768697,0.2809806180683491,0.3454979977566434,0.11751915425412968,-0.4057489217991803,9.83605746318466,0.38971459371791073,258,90.6937984496124,0.014949430717054261,0.03384205426356589,0.0
KOSDAQ,ACT1_LOW05,3,FULL_2016_2026,60,2576,0.02826577161612076,-0.5267554509971102,0.2809888957284596,0.2402957991276096,0.053660140702133576,-0.40712764527253953,9.83605746318466,0.38971459371791073,258,90.6937984496124,0.014949430717054261,0.03384205426356589,0.0
