universe,policy,cost_bps,period,cagr,sharpe,mdd,avg_exposure,annual_allocator_turnover,n_days
K200,B_FSUB_PROB,10,OOS_2023_2024,0.03824759798819044,0.3114106794817805,-0.17263917968098852,0.8527505874350078,4.376372615361304,489
K200,B_FSUB_PROB,10,BULL_2025,0.6402711678110184,2.940376391133244,-0.11489878572610723,0.8005193447762607,2.9465949957897903,242
K200,B_FSUB_PROB,10,YTD_2026,0.6531908984766301,1.1909627946197106,-0.35352261796896356,0.7685521435765719,2.1361374603508674,147
K200,B_FSUB_PROB,30,TRAIN_2016_2022,0.0002833365019885292,0.079516724561776,-0.413275818596882,0.8492325466248557,3.262056083713073,1660
K200,B_FSUB_PROB,30,OOS_2023_2024,0.029165421973017525,0.25761686803812656,-0.1745547106234714,0.8527505874350078,4.376372615361304,489
K200,B_FSUB_PROB,30,BULL_2025,0.6305902348591266,2.9028039039142057,-0.11512767922209277,0.8005193447762607,2.9465949957897903,242
K200,B_FSUB_PROB,30,YTD_2026,0.6462447521344807,1.1833705612318106,-0.3538904697250749,0.7685521435765719,2.1361374603508674,147
KOSDAQ,B_ONLY_PROB,0,TRAIN_2016_2022,0.00558675791580554,0.12874905196065214,-0.4775248216906396,0.8257166597424178,2.219243422899426,1660
KOSDAQ,B_ONLY_PROB,0,OOS_2023_2024,0.011694455398055803,0.16110528455868148,-0.3001157159341209,0.8488924719091843,1.74692822714824,489
KOSDAQ,B_ONLY_PROB,0,BULL_2025,0.32741231477240285,1.6965214763954592,-0.14493176157034504,0.8125052952639159,3.3093281369143437,242
KOSDAQ,B_ONLY_PROB,0,YTD_2026,-0.12033499638045209,-0.12042897947593358,-0.35327123201523136,0.6918910465708495,0.7264012781254161,147
KOSDAQ,B_ONLY_PROB,10,TRAIN_2016_2022,0.0033564786015647385,0.11770409367501744,-0.4794114183060858,0.8257166597424178,2.219243422899426,1660
KOSDAQ,B_ONLY_PROB,10,OOS_2023_2024,0.009924073393418498,0.15281576572111275,-0.3013069774621744,0.8488924719091843,1.74692822714824,489
KOSDAQ,B_ONLY_PROB,10,BULL_2025,0.32303810201350647,1.6780058988564277,-0.14511460804998777,0.8125052952639159,3.3093281369143437,242
KOSDAQ,B_ONLY_PROB,10,YTD_2026,-0.1209656613381268,-0.122247556576368,-0.35327123201523125,0.6918910465708495,0.7264012781254161,147
KOSDAQ,B_ONLY_PROB,30,TRAIN_2016_2022,-0.0010906625639973688,0.09561269133134852,-0.4831653932832295,0.8257166597424178,2.219243422899426,1660
KOSDAQ,B_ONLY_PROB,30,OOS_2023_2024,0.006391474225893923,0.13623845378418592,-0.3036841792446945,0.8488924719091843,1.74692822714824,489
KOSDAQ,B_ONLY_PROB,30,BULL_2025,0.31433012049857867,1.6408520818452503,-0.14548030100927323,0.8125052952639159,3.3093281369143437,242
KOSDAQ,B_ONLY_PROB,30,YTD_2026,-0.12222603039132929,-0.12588500693173646,-0.3532712320152315,0.6918910465708495,0.7264012781254161,147
KOSDAQ,B_FSUB_PROB,0,TRAIN_2016_2022,0.007055487734055399,0.13626824948602806,-0.48280280479360604,0.8242502093937246,2.7067779137942147,1660
KOSDAQ,B_FSUB_PROB,0,OOS_2023_2024,0.013261878750279177,0.16753277078476042,-0.29696770375961623,0.8397778892185245,2.192885185306694,489
KOSDAQ,B_FSUB_PROB,0,BULL_2025,0.32713210427884776,1.711242641519487,-0.1432453820308892,0.8134206850784389,3.8853582003800775,242
KOSDAQ,B_FSUB_PROB,0,YTD_2026,-0.11473895352399766,-0.11671874384517236,-0.3458853926192934,0.6787702093824544,0.8608534322820027,147
KOSDAQ,B_FSUB_PROB,10,TRAIN_2016_2022,0.00433231972021253,0.12284629233731577,-0.48514862092241506,0.8242502093937246,2.7067779137942147,1660
KOSDAQ,B_FSUB_PROB,10,OOS_2023_2024,0.011039249145776475,0.15691671677354851,-0.2985859272742323,0.8397778892185245,2.192885185306694,489
KOSDAQ,B_FSUB_PROB,10,BULL_2025,0.3220029450950639,1.6894480027741527,-0.1434902304320136,0.8134206850784389,3.8853582003800775,242
KOSDAQ,B_FSUB_PROB,10,YTD_2026,-0.11549173250957956,-0.11892552686335854,-0.3459060378634825,0.6787702093824544,0.8608534322820027,147
KOSDAQ,B_FSUB_PROB,30,TRAIN_2016_2022,-0.0010935706426241643,0.09600058436968213,-0.48980986224382594,0.8242502093937246,2.7067779137942147,1660
KOSDAQ,B_FSUB_PROB,30,OOS_2023_2024,0.0066073526001624305,0.13568539125092188,-0.30181211450286916,0.8397778892185245,2.192885185306694,489
KOSDAQ,B_FSUB_PROB,30,BULL_2025,0.3118008757460844,1.6456992543821298,-0.14397986148777886,0.8134206850784389,3.8853582003800775,242
KOSDAQ,B_FSUB_PROB,30,YTD_2026,-0.11699570161669737,-0.12333970537315915,-0.34594732835186015,0.6787702093824544,0.8608534322820027,147
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,0,TRAIN_2016_2022,-0.0083972438437393,0.05386311595007415,-0.507685011017481,0.8494275804516769,2.668119512326504,1660
KOSDAQ_PLUS_KOSPI_EX_K200,B_ONLY_PROB,0,OOS_2023_2024,0.030896884724089135,0.25437638343481156,-0.2488739096637581,0.8818551457594,2.2726888720250886,489
