predictor_type,definition,universe,forward_horizon,high_minus_low_train,diff_tstat_train,high_minus_low_oos,diff_tstat_oos,same_sign,oos_confirmed,abs_oos_hl
FACTOR_BREADTH,FACTOR_10D,KOSPI_EX_K200,20,-0.0012689675986507368,-0.18424922083595363,0.00012249150006283377,0.012251648916057725,False,-0.00012249150006283377,0.00012249150006283377
FACTOR_BREADTH,FACTOR_10D,KOSPI_KOSDAQ_ALL,1,0.00042651228039849033,0.3692585054515729,-0.0005767328121041534,-0.16783807659033667,False,-0.0005767328121041534,0.0005767328121041534
FACTOR_BREADTH,FACTOR_10D,KOSPI_KOSDAQ_ALL,5,-0.0007793807849437871,-0.2910991381237184,0.0007439448384316391,0.13079902012890818,False,-0.0007439448384316391,0.0007439448384316391
FACTOR_BREADTH,FACTOR_10D,KOSPI_KOSDAQ_ALL,20,0.0029061448385379668,0.5161096311675933,0.008603038181956842,0.6661833462604542,True,0.008603038181956842,0.008603038181956842
FACTOR_BREADTH,FACTOR_20D,K200,1,0.0005397826134448918,0.40449714485806815,0.0004478824162976808,0.10848531878654238,True,0.0004478824162976808,0.0004478824162976808
FACTOR_BREADTH,FACTOR_20D,K200,5,-0.003894646921793955,-1.3448991428600747,0.005010789544113412,0.9260910776484195,False,-0.005010789544113412,0.005010789544113412
FACTOR_BREADTH,FACTOR_20D,K200,20,-0.0023149202099621144,-0.37071071371642755,0.015099605638099001,1.1493040524200753,False,-0.015099605638099001,0.015099605638099001
FACTOR_BREADTH,FACTOR_20D,KOSDAQ,1,-0.0007108074030571595,-0.4695335846353948,-0.0008196400938388734,-0.2358883628038002,True,0.0008196400938388734,0.0008196400938388734
FACTOR_BREADTH,FACTOR_20D,KOSDAQ,5,-0.003645991018124051,-0.9499912782282053,-0.008858562929731808,-1.438282623364686,True,0.008858562929731808,0.008858562929731808
FACTOR_BREADTH,FACTOR_20D,KOSDAQ,20,-0.01757127841782039,-2.324571689532589,-0.02774735235538813,-2.3260880981699383,True,0.02774735235538813,0.02774735235538813
FACTOR_BREADTH,FACTOR_20D,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.00046687317149676566,-0.3398095110915386,-0.00011535202334935429,-0.03585009421245919,True,0.00011535202334935429,0.00011535202334935429
FACTOR_BREADTH,FACTOR_20D,KOSDAQ_PLUS_KOSPI_EX_K200,5,-0.0041270078771367775,-1.1515271305601342,-0.006395154232311953,-1.1433302258997062,True,0.006395154232311953,0.006395154232311953
FACTOR_BREADTH,FACTOR_20D,KOSDAQ_PLUS_KOSPI_EX_K200,20,-0.021525975002850768,-3.038487360287236,-0.026817090762083495,-2.4763268290506093,True,0.026817090762083495,0.026817090762083495
FACTOR_BREADTH,FACTOR_20D,KOSPI_ALL,1,0.0005365568154075408,0.4601960188039086,0.003290909310602087,0.9653639956572434,True,0.003290909310602087,0.003290909310602087
