date,variant,top_n,weighting,cost_bps,gross,net,benchmark,excess_gross,excess_net,turnover,transaction_cost,n_eligible,rank_ic
2016-01-04,MOM12_1_BASE,20,rank_linear,0,0.003956028226758329,0.003956028226758329,-0.009377173995137843,0.01333320222189617,0.01333320222189617,0.49999999999999994,0.0,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,rank_linear,30,0.003956028226758329,0.002456028226758329,-0.009377173995137843,0.01333320222189617,0.011833202221896173,0.49999999999999994,0.0014999999999999998,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,rank_linear,60,0.003956028226758329,0.000956028226758329,-0.009377173995137843,0.01333320222189617,0.010333202221896171,0.49999999999999994,0.0029999999999999996,166,0.27239558499365407
2016-01-04,MOM12_1_BASE,20,rank_linear,100,0.003956028226758329,-0.0010439717732416707,-0.009377173995137843,0.01333320222189617,0.008333202221896173,0.49999999999999994,0.004999999999999999,166,0.27239558499365407
2016-01-04,MOM12_1_1M_POS,5,equal,0,-0.005300203248942093,-0.005300203248942093,-0.009377173995137843,0.004076970746195749,0.004076970746195749,0.5,0.0,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,equal,30,-0.005300203248942093,-0.006800203248942094,-0.009377173995137843,0.004076970746195749,0.002576970746195749,0.5,0.0015,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,equal,60,-0.005300203248942093,-0.008300203248942093,-0.009377173995137843,0.004076970746195749,0.0010769707461957493,0.5,0.003,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,equal,100,-0.005300203248942093,-0.010300203248942093,-0.009377173995137843,0.004076970746195749,-0.0009230292538042507,0.5,0.005,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,rank_linear,0,-0.013811517569708935,-0.013811517569708935,-0.009377173995137843,-0.004434343574571092,-0.004434343574571092,0.5,0.0,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,rank_linear,30,-0.013811517569708935,-0.015311517569708935,-0.009377173995137843,-0.004434343574571092,-0.005934343574571092,0.5,0.0015,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,rank_linear,60,-0.013811517569708935,-0.016811517569708934,-0.009377173995137843,-0.004434343574571092,-0.007434343574571092,0.5,0.003,49,0.04428571428571428
2016-01-04,MOM12_1_1M_POS,5,rank_linear,100,-0.013811517569708935,-0.018811517569708936,-0.009377173995137843,-0.004434343574571092,-0.009434343574571093,0.5,0.005,49,0.04428571428571428
