variant,top_n,weighting,cost_bps,year,n_periods,return,excess_return,sharpe,mdd,avg_turnover,avg_rank_ic
MOM12_1_BASE,10,rank_linear,30,2025,25,1.2176381043990832,0.4354207014751541,2.056794858916154,-0.16090327482198485,0.21527272727272728,0.05907868765906574
MOM12_1_BASE,10,rank_linear,30,2026,13,0.08956429214746309,0.09546543664574436,0.5723326607477158,-0.412277250984042,0.20279720279720279,-0.048981876807475816
MOM12_1_BASE,10,rank_linear,60,2016,25,-0.19344960892910157,-0.1932616802545858,-0.5608894899561699,-0.2883913251768019,0.26436363636363636,-0.02232554057217394
MOM12_1_BASE,10,rank_linear,60,2017,24,0.13789542966144497,0.004252733779455786,0.857738193728107,-0.08107446367366222,0.2128787878787879,0.0034107207624585432
MOM12_1_BASE,10,rank_linear,60,2018,25,-0.18326278836787713,-0.04116979422778544,-0.48663233380311954,-0.34942763574507274,0.20290909090909093,-0.042664110102604215
MOM12_1_BASE,10,rank_linear,60,2019,24,-0.2743725773709321,-0.23625013252108495,-1.7590224992249783,-0.3315356041504275,0.29090909090909095,-0.022136318135253158
MOM12_1_BASE,10,rank_linear,60,2020,25,0.5374579698279094,0.19387624174859774,1.2411984713848023,-0.2680961460751644,0.21236363636363642,-0.002199697627247541
MOM12_1_BASE,10,rank_linear,60,2021,25,-0.24266092336148037,-0.2610252814593156,-0.8325465242166867,-0.23390037710641787,0.1803636363636364,-0.06131108157880753
MOM12_1_BASE,10,rank_linear,60,2022,25,-0.28930776488624743,-0.18113400961787496,-1.0338849355354662,-0.2951305365025484,0.23854545454545456,0.013462161456106117
MOM12_1_BASE,10,rank_linear,60,2023,24,0.21341394687284354,0.17611033461825776,0.6604614665720057,-0.35267551583158563,0.25,-0.0038000596023804456
MOM12_1_BASE,10,rank_linear,60,2024,24,0.1979135501744722,0.21592613000963357,0.7043049008321628,-0.17941376907062812,0.19545454545454546,0.06144272473809429
MOM12_1_BASE,10,rank_linear,60,2025,25,1.1828821413911732,0.41265183196120403,2.018501031049391,-0.16250910423160603,0.21527272727272728,0.05907868765906574
MOM12_1_BASE,10,rank_linear,60,2026,13,0.08100534800363568,0.08691310810597086,0.5505460426250554,-0.4139457549722312,0.20279720279720279,-0.048981876807475816
MOM12_1_BASE,10,rank_linear,100,2016,25,-0.21465859047856883,-0.21445505841794876,-0.6484109104597447,-0.29068836856882707,0.26436363636363636,-0.02232554057217394
MOM12_1_BASE,10,rank_linear,100,2017,24,0.11495819930234097,-0.016062010098472412,0.7356549393217494,-0.08235521783028987,0.2128787878787879,0.0034107207624585432
MOM12_1_BASE,10,rank_linear,100,2018,25,-0.19991341878945645,-0.06051518382571763,-0.5510880303243655,-0.35868771813335987,0.20290909090909093,-0.042664110102604215
MOM12_1_BASE,10,rank_linear,100,2019,24,-0.29465044472508584,-0.25738118179659375,-1.920259123899955,-0.3476149916823552,0.29090909090909095,-0.022136318135253158
MOM12_1_BASE,10,rank_linear,100,2020,25,0.5057426769638909,0.1689273352689904,1.191301595990225,-0.27076743092541866,0.21236363636363642,-0.002199697627247541
MOM12_1_BASE,10,rank_linear,100,2021,25,-0.2563453783626791,-0.27437768995176437,-0.8963478670757462,-0.23838062366660395,0.1803636363636364,-0.06131108157880753
MOM12_1_BASE,10,rank_linear,100,2022,25,-0.30625099875705186,-0.20059498843627732,-1.1182105186853912,-0.3040312697037223,0.23854545454545456,0.013462161456106117
MOM12_1_BASE,10,rank_linear,100,2023,24,0.18485946077859539,0.14844011388057776,0.6037938111796499,-0.35668342339257897,0.25,-0.0038000596023804456
MOM12_1_BASE,10,rank_linear,100,2024,24,0.17569513379778456,0.193384990563082,0.6471209153790044,-0.18620461632642848,0.19545454545454546,0.06144272473809429
MOM12_1_BASE,10,rank_linear,100,2025,25,1.1373502976973806,0.3828302766068934,1.9675055220058566,-0.16464709577897907,0.21527272727272728,0.05907868765906574
MOM12_1_BASE,10,rank_linear,100,2026,13,0.0696892761954051,0.07560524498554932,0.521484391901322,-0.4161649426602331,0.20279720279720279,-0.048981876807475816
MOM12_1_BASE,20,equal,0,2016,25,-0.1339644698211756,-0.13564291406472295,-0.6339410432724416,-0.1971413895238493,0.23200000000000004,-0.02232554057217394
MOM12_1_BASE,20,equal,0,2017,24,0.17502947709901795,0.038358641916974356,1.3257397506388997,-0.07412600383994195,0.21458333333333335,0.0034107207624585432
MOM12_1_BASE,20,equal,0,2018,25,-0.2077715531660813,-0.0739991935800709,-0.7618858781034554,-0.3309921278115532,0.17600000000000002,-0.042664110102604215
