sample,universe,n_pos_alt,horizon,metric,series,n,mean,positive_share,tstat
TRAIN_2016_2022,KOSPI_EX_K200,2,20,spread,mom_spread_20,14,-0.011171567541482186,0.5,-0.7843306313428184
TRAIN_2016_2022,KOSPI_EX_K200,2,20,spread,pos_minus_mom_spread_20,14,0.01423950017459166,0.5,0.9812488741274679
TRAIN_2016_2022,KOSPI_EX_K200,3,5,top,pos_alt_top_5,33,0.00390925643379058,0.5757575757575758,1.0755894606238752
TRAIN_2016_2022,KOSPI_EX_K200,3,5,top,mom_top_5,33,0.008628579369265461,0.6060606060606061,1.3076389934623323
TRAIN_2016_2022,KOSPI_EX_K200,3,5,top,pos_minus_mom_top_5,33,-0.004719322935474885,0.45454545454545453,-1.0211275979878243
TRAIN_2016_2022,KOSPI_EX_K200,3,5,spread,pos_alt_spread_5,33,0.0008768200518761806,0.5454545454545454,0.43417454567080893
TRAIN_2016_2022,KOSPI_EX_K200,3,5,spread,mom_spread_5,33,0.008867455329110327,0.6060606060606061,1.5922412182300938
TRAIN_2016_2022,KOSPI_EX_K200,3,5,spread,pos_minus_mom_spread_5,33,-0.007990635277234147,0.3939393939393939,-1.3152089065308787
TRAIN_2016_2022,KOSPI_EX_K200,3,20,top,pos_alt_top_20,33,0.01839960151455916,0.6363636363636364,2.4936070036365643
TRAIN_2016_2022,KOSPI_EX_K200,3,20,top,mom_top_20,33,0.02375231971914252,0.5757575757575758,1.9457103147283084
TRAIN_2016_2022,KOSPI_EX_K200,3,20,top,pos_minus_mom_top_20,33,-0.005352718204583358,0.48484848484848486,-0.739394561804343
TRAIN_2016_2022,KOSPI_EX_K200,3,20,spread,pos_alt_spread_20,33,0.004292294627969378,0.45454545454545453,1.0828151796865855
TRAIN_2016_2022,KOSPI_EX_K200,3,20,spread,mom_spread_20,33,0.010890622201764174,0.5454545454545454,1.0835518532398267
TRAIN_2016_2022,KOSPI_EX_K200,3,20,spread,pos_minus_mom_spread_20,33,-0.006598327573794796,0.45454545454545453,-0.7239850613983353
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,5,top,neg_alt_top_5,22,0.003924834243391625,0.5454545454545454,0.7573792458936867
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,5,top,mom_top_5,22,0.0037757978234868278,0.5909090909090909,0.526869953209024
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,5,spread,neg_alt_spread_5,22,0.0001890099359523818,0.5909090909090909,0.09109848414259686
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,5,spread,mom_spread_5,22,-0.004012872929444341,0.45454545454545453,-0.7023519845217769
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,20,top,neg_alt_top_20,22,0.014712608447918142,0.6363636363636364,1.3560527233189603
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,20,top,mom_top_20,22,0.008176701222662973,0.6818181818181818,0.5978543443950063
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,20,spread,neg_alt_spread_20,22,-0.0025903039306799545,0.45454545454545453,-0.6330503798707533
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,0,20,spread,mom_spread_20,22,-0.019034847533124663,0.4090909090909091,-1.5737463431200938
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,top,pos_alt_top_5,20,0.010217823628925654,0.75,2.1224172772087635
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,top,neg_alt_top_5,20,0.007635849697451448,0.75,1.2984433390004675
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,top,mom_top_5,20,0.005577757679326998,0.65,0.6764302029706938
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,top,pos_minus_mom_top_5,20,0.004640065949598656,0.35,0.664083512005811
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,1,5,spread,pos_alt_spread_5,20,0.0037887587521484,0.5,0.5073095350840948
