factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
MOM1M,PER12MF,DISLOCATION,STRESS_2025,-0.016722742243707067,0.5,0.5111111111111111,0.04320243775370283
MOM1M,PER12MF,DISLOCATION,STRESS_2026,-0.04686044207588602,0.8076923076923077,0.2,0.062124883578006336
MOM1M,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,-0.06529418674277898,0.7945205479452054,0.20689655172413793,0.03761594129479249
MOM1M,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,0.04999181411055087,0.26595744680851063,0.7419354838709677,0.06771271579164577
MOM1M,PRIVATE_FLOW,TRAIL20,STRESS_2025,-0.049556634327722726,0.782608695652174,0.2222222222222222,0.09792348389760368
MOM1M,PRIVATE_FLOW,TRAIL20,STRESS_2026,-0.23411145398905142,0.9615384615384616,0.04,0.13623725352263957
MOM1M,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,-0.038891258886015745,0.4931506849315068,0.5103448275862069,0.039874415484948036
MOM1M,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,0.0287479308583094,0.2765957446808511,0.7311827956989247,0.06901133517408169
MOM1M,PRIVATE_FLOW,DISLOCATION,STRESS_2025,-0.0720979623649387,0.6956521739130435,0.3111111111111111,0.09988654534032565
MOM1M,PRIVATE_FLOW,DISLOCATION,STRESS_2026,-0.19716145208018698,0.9230769230769231,0.08,0.1270092722191617
MOM1M,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,-0.0874531856125178,0.9315068493150684,0.06896551724137931,0.0224915674223579
MOM1M,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,0.0007821554851998869,0.2553191489361702,0.7526881720430108,0.09583710679734175
MOM1M,FOREIGN_FLOW,TRAIL20,STRESS_2025,-0.04801314413290947,1.0,0.0,0.1110459263372486
MOM1M,FOREIGN_FLOW,TRAIL20,STRESS_2026,0.059698868161083274,0.4230769230769231,0.6,0.19024225752932475
MOM1M,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,-0.06434787520685381,0.6917808219178082,0.3103448275862069,0.02355026986851674
MOM1M,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-0.02787583143740302,0.4574468085106383,0.5483870967741935,0.059051036910467314
MOM1M,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-0.12760145858823213,0.9565217391304348,0.044444444444444446,0.04440734962990734
MOM1M,FOREIGN_FLOW,DISLOCATION,STRESS_2026,-0.04418528062702709,0.7307692307692307,0.28,0.10714210554445829
MOM12_1,OP12_REV,TRAIL20,VAL_2020_2022,0.030131800399686548,0.07534246575342465,0.9310344827586207,0.020468686314079644
MOM12_1,OP12_REV,TRAIL20,CONF_2023_2024,0.012536995002228157,0.925531914893617,0.07526881720430108,0.06263282597493322
MOM12_1,OP12_REV,TRAIL20,STRESS_2025,0.008163443240514323,0.30434782608695654,0.7111111111111111,0.07646107524629916
MOM12_1,OP12_REV,TRAIL20,STRESS_2026,0.07648072600235079,0.5384615384615384,0.48,0.13465539904276985
MOM12_1,OP12_REV,DISLOCATION,VAL_2020_2022,0.03483767428272189,0.06164383561643835,0.9448275862068966,0.022775638841407535
MOM12_1,OP12_REV,DISLOCATION,CONF_2023_2024,-0.051242839131126594,0.776595744680851,0.22580645161290322,0.02155797275666748
MOM12_1,OP12_REV,DISLOCATION,STRESS_2025,-0.028449000652807532,0.5434782608695652,0.4666666666666667,0.06617856224615302
MOM12_1,OP12_REV,DISLOCATION,STRESS_2026,0.07351250470870307,0.38461538461538464,0.64,0.11503619221626751
MOM12_1,OPFY1_REV,TRAIL20,VAL_2020_2022,-0.028878024788270507,0.9383561643835616,0.06206896551724138,0.015847647363246665
MOM12_1,OPFY1_REV,TRAIL20,CONF_2023_2024,-0.004253328150331193,0.07446808510638298,0.9354838709677419,-0.006400268022075918
MOM12_1,OPFY1_REV,TRAIL20,STRESS_2025,0.009692096049327747,0.34782608695652173,0.6666666666666666,0.0263509537837048
MOM12_1,OPFY1_REV,TRAIL20,STRESS_2026,-0.0061596528431888675,0.6538461538461539,0.36,0.019748752409624756
MOM12_1,OPFY1_REV,DISLOCATION,VAL_2020_2022,0.014445559952019127,0.08904109589041095,0.9172413793103448,0.011055407530450954
MOM12_1,OPFY1_REV,DISLOCATION,CONF_2023_2024,-0.008329211801250791,0.723404255319149,0.27956989247311825,0.015509877300596475
MOM12_1,OPFY1_REV,DISLOCATION,STRESS_2025,-0.00829994046623228,0.6956521739130435,0.3111111111111111,0.020936220076694937
MOM12_1,OPFY1_REV,DISLOCATION,STRESS_2026,0.010689715319057269,0.2692307692307692,0.76,0.019151144374182933
MOM12_1,PBR12MF,TRAIL20,VAL_2020_2022,-0.08808109042932966,0.8972602739726028,0.10344827586206896,0.032013744158664544
MOM12_1,PBR12MF,TRAIL20,CONF_2023_2024,-0.0659936504870835,0.5531914893617021,0.45161290322580644,0.026051317652082847
MOM12_1,PBR12MF,TRAIL20,STRESS_2025,-0.11406984613231419,0.391304347826087,0.6222222222222222,-0.04021880568904712
MOM12_1,PBR12MF,TRAIL20,STRESS_2026,-0.0668886396064381,0.7692307692307693,0.24,0.07802438858698653
MOM12_1,PBR12MF,DISLOCATION,VAL_2020_2022,-0.03986353246642382,0.7945205479452054,0.20689655172413793,0.028391625842215672
MOM12_1,PBR12MF,DISLOCATION,CONF_2023_2024,-0.020823229592355386,0.574468085106383,0.43010752688172044,0.04355882435959368
MOM12_1,PBR12MF,DISLOCATION,STRESS_2025,-0.014744039954098787,0.5217391304347826,0.4888888888888889,0.07825109424598775
MOM12_1,PBR12MF,DISLOCATION,STRESS_2026,-0.054881426271403466,0.8846153846153846,0.12,0.05014522357024345
MOM12_1,PER12MF,TRAIL20,VAL_2020_2022,-0.21016167868993385,0.9246575342465754,0.07586206896551724,0.051825412157410045
MOM12_1,PER12MF,TRAIL20,CONF_2023_2024,-0.03272226772299369,0.24468085106382978,0.7634408602150538,0.041467644221881206
MOM12_1,PER12MF,TRAIL20,STRESS_2025,-0.09364164158650268,0.2391304347826087,0.7777777777777778,-0.06365801590806654
MOM12_1,PER12MF,TRAIL20,STRESS_2026,-0.145200880038856,0.8461538461538461,0.16,0.09116518153187302
MOM12_1,PER12MF,DISLOCATION,VAL_2020_2022,-0.1211567348499647,0.9246575342465754,0.07586206896551724,0.06560599817143056
MOM12_1,PER12MF,DISLOCATION,CONF_2023_2024,-0.02967941720787448,0.5212765957446809,0.4838709677419355,0.07895808292487026
MOM12_1,PER12MF,DISLOCATION,STRESS_2025,-0.0038515110886221393,0.45652173913043476,0.5555555555555556,0.09058454437699086
MOM12_1,PER12MF,DISLOCATION,STRESS_2026,-0.10480321118335345,0.8846153846153846,0.12,0.07224068961591379
MOM12_1,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,-0.07635253806326836,0.9452054794520548,0.05517241379310345,0.015098137657114687
MOM12_1,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,-0.029552110738930937,0.46808510638297873,0.5376344086021505,0.04435410481950741
MOM12_1,PRIVATE_FLOW,TRAIL20,STRESS_2025,-0.024248961103499722,0.43478260869565216,0.5777777777777777,0.027534307228529214
