factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
PER12MF,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,0.012702413377645105,0.2765957446808511,0.7311827956989247,0.04603252305601948
PER12MF,PRIVATE_FLOW,TRAIL20,STRESS_2025,0.04212171318302449,0.2391304347826087,0.7777777777777778,0.07488311491894872
PER12MF,PRIVATE_FLOW,TRAIL20,STRESS_2026,-0.17882159726478086,0.5384615384615384,0.48,3.760922259504057e-05
PER12MF,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,-0.13429038369755308,0.9315068493150684,0.06896551724137931,0.03200377585738412
PER12MF,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,-0.03572296055637425,0.40425531914893614,0.6021505376344086,0.07560373196442388
PER12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2025,0.005242224422358888,0.43478260869565216,0.5777777777777777,0.07661537028575492
PER12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2026,-0.13529036802090522,0.8076923076923077,0.2,0.06361429531338435
PER12MF,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,-0.10140155647229432,0.8698630136986302,0.1310344827586207,0.0203699708920517
PER12MF,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,0.0027305128461979633,0.3617021276595745,0.6451612903225806,0.03551189532698535
PER12MF,FOREIGN_FLOW,TRAIL20,STRESS_2025,-0.11532585821983421,0.2608695652173913,0.7555555555555555,-0.07734411896383694
PER12MF,FOREIGN_FLOW,TRAIL20,STRESS_2026,-0.0038958197091296665,0.46153846153846156,0.56,0.07687694815343335
PER12MF,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,-0.12082854538427834,0.9383561643835616,0.06206896551724138,0.05711319057887626
PER12MF,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-0.03861710370014104,0.5425531914893617,0.46236559139784944,0.0994363753083188
PER12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-0.049754534635624514,0.5652173913043478,0.4444444444444444,0.0374597612044783
PER12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2026,-0.04029770908971164,0.5384615384615384,0.48,0.057417817879366014
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,-0.004423780651817477,0.6164383561643836,0.38620689655172413,0.014648275168607361
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,-0.011644733493218817,0.4574468085106383,0.5483870967741935,0.0053039036344611585
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,STRESS_2025,-0.022646867825161676,0.32608695652173914,0.6888888888888889,-0.017234606628833225
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,STRESS_2026,-0.03262602589234076,0.5769230769230769,0.44,-0.01959815255468702
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,0.00021340365577993126,0.1780821917808219,0.8275862068965517,0.00031901120395825253
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,-2.4705082340537032e-05,0.5531914893617021,0.45161290322580644,0.000288672783127053
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,STRESS_2025,-2.390868065105245e-05,0.6521739130434783,0.35555555555555557,0.0004743922131831502
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,STRESS_2026,-5.029608973661226e-05,0.9615384615384616,0.04,0.0004986862631852551
