factor_a,factor_b,spec,beta_discovery,beta_2016_17,beta_2018_19,same_sign
OPFY1_REV,PRIVATE_FLOW,TRAIL20,-0.051787519723692665,-0.26532747672944085,0.04901210596142206,False
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,0.06456467451232926,-0.06791327878618027,0.13951652035187623,False
OPFY1_REV,FOREIGN_FLOW,TRAIL20,0.10527974801668118,0.038777222666195835,0.08264531996581774,True
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,0.1292870594048511,0.03697181973067682,0.16477083931935246,True
PBR12MF,PER12MF,TRAIL20,-0.08200686644541146,-0.12099625925347227,-0.05605129649856795,True
PBR12MF,PER12MF,DISLOCATION,-0.12068141033191238,-0.18435104826708038,-0.07204488126765345,True
PBR12MF,PRIVATE_FLOW,TRAIL20,-0.13997434693417188,-0.022950888941657074,-0.2877168172178532,True
PBR12MF,PRIVATE_FLOW,DISLOCATION,-0.11196082296222838,0.16926811767763852,-0.3698874942437932,False
PBR12MF,FOREIGN_FLOW,TRAIL20,-0.10332709509394902,0.2847900760446349,-0.3926282511999791,False
PBR12MF,FOREIGN_FLOW,DISLOCATION,-0.14528648410778067,0.37254790048652736,-0.3232641905469433,False
PER12MF,PRIVATE_FLOW,TRAIL20,-0.26124879615651536,-0.18660733499910298,-0.37800717705516546,True
PER12MF,PRIVATE_FLOW,DISLOCATION,-0.277512631094292,0.026998642575060787,-0.5467979826595377,False
PER12MF,FOREIGN_FLOW,TRAIL20,-0.16084370113370164,0.13841019592754716,-0.3799043981658816,False
PER12MF,FOREIGN_FLOW,DISLOCATION,-0.220803574455115,0.21379125890549336,-0.35338903471075295,False
PRIVATE_FLOW,FOREIGN_FLOW,TRAIL20,-0.043563058361314064,-0.07106044603660176,-0.04093075927996723,True
PRIVATE_FLOW,FOREIGN_FLOW,DISLOCATION,0.0009202475706281446,-0.010908964325559557,0.026710771109788683,False
