factor_a,factor_b,spec,period,n,beta_discovery,incremental_oos_r2
OP12_REV,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,146,-0.0015898494390591243,-1.1198014136182266e-05
OP12_REV,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,94,-0.0015898494390591243,-8.915124292552257e-05
OP12_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2025,46,-0.0015898494390591243,0.000395501473570814
OP12_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2026,26,-0.0015898494390591243,-0.0004095631402456501
OP12_REV,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,0.13796128073033517,0.019006289340878335
OP12_REV,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,0.13796128073033517,0.0047761942759503295
OP12_REV,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,0.13796128073033517,0.011126990435820772
OP12_REV,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,0.13796128073033517,0.01594750192416927
OP12_REV,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,0.13796128073033517,0.04759546025913097
OP12_REV,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,0.1086099308567936,0.007988704837633476
OP12_REV,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,0.1086099308567936,0.0187792495665684
OP12_REV,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,0.1086099308567936,-0.015353545628249199
OP12_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,0.1086099308567936,-0.013769488194471435
OP12_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,0.1086099308567936,0.06714412955442162
OPFY1_REV,PBR12MF,TRAIL20,DISC_2016_2019,180,-0.048391071518599754,0.00232323237175569
OPFY1_REV,PBR12MF,TRAIL20,VAL_2020_2022,146,-0.048391071518599754,-0.016798887171173504
OPFY1_REV,PBR12MF,TRAIL20,CONF_2023_2024,94,-0.048391071518599754,-0.012416761402550769
OPFY1_REV,PBR12MF,TRAIL20,STRESS_2025,46,-0.048391071518599754,-0.019662693721863356
OPFY1_REV,PBR12MF,TRAIL20,STRESS_2026,26,-0.048391071518599754,-0.004723688082114208
OPFY1_REV,PBR12MF,DISLOCATION,DISC_2016_2019,180,-0.013902269049047091,0.00014550142261415822
OPFY1_REV,PBR12MF,DISLOCATION,VAL_2020_2022,146,-0.013902269049047091,-0.002165380005706874
OPFY1_REV,PBR12MF,DISLOCATION,CONF_2023_2024,94,-0.013902269049047091,-0.0022832305981155265
OPFY1_REV,PBR12MF,DISLOCATION,STRESS_2025,46,-0.013902269049047091,0.0010215973882418128
OPFY1_REV,PBR12MF,DISLOCATION,STRESS_2026,26,-0.013902269049047091,-0.0025622728175989096
OPFY1_REV,PER12MF,TRAIL20,DISC_2016_2019,180,-0.12121700241188842,0.014796900833186633
OPFY1_REV,PER12MF,TRAIL20,VAL_2020_2022,146,-0.12121700241188842,-0.07923729455963402
OPFY1_REV,PER12MF,TRAIL20,CONF_2023_2024,94,-0.12121700241188842,-0.023593733760878033
OPFY1_REV,PER12MF,TRAIL20,STRESS_2025,46,-0.12121700241188842,-0.017247987743051585
OPFY1_REV,PER12MF,TRAIL20,STRESS_2026,26,-0.12121700241188842,-0.04750301863099393
OPFY1_REV,PER12MF,DISLOCATION,DISC_2016_2019,180,-0.051566697484454534,0.0021261202575807436
OPFY1_REV,PER12MF,DISLOCATION,VAL_2020_2022,146,-0.051566697484454534,-0.020022871224075534
OPFY1_REV,PER12MF,DISLOCATION,CONF_2023_2024,94,-0.051566697484454534,-0.01187020835307595
OPFY1_REV,PER12MF,DISLOCATION,STRESS_2025,46,-0.051566697484454534,0.012329054357831493
OPFY1_REV,PER12MF,DISLOCATION,STRESS_2026,26,-0.051566697484454534,-0.018500435313757668
OPFY1_REV,PRIVATE_FLOW,TRAIL20,DISC_2016_2019,180,-0.051787519723692665,0.0027072563622371204
OPFY1_REV,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,146,-0.051787519723692665,-0.009196316806270532
OPFY1_REV,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,94,-0.051787519723692665,-0.006984179456275719
OPFY1_REV,PRIVATE_FLOW,TRAIL20,STRESS_2025,46,-0.051787519723692665,-0.013509037818378422
OPFY1_REV,PRIVATE_FLOW,TRAIL20,STRESS_2026,26,-0.051787519723692665,-0.032925564442123134
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,DISC_2016_2019,180,0.06456467451232926,0.0033231120115382318
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,146,0.06456467451232926,0.00233858888633498
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,94,0.06456467451232926,-0.007447409309470743
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2025,46,0.06456467451232926,-0.020287332000094915
OPFY1_REV,PRIVATE_FLOW,DISLOCATION,STRESS_2026,26,0.06456467451232926,0.0026875982428278267
OPFY1_REV,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,0.10527974801668118,0.011108718080751867
OPFY1_REV,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,0.10527974801668118,-0.01909059020643955
OPFY1_REV,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,0.10527974801668118,0.053734533111644445
OPFY1_REV,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,0.10527974801668118,-0.0600005680042528
OPFY1_REV,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,0.10527974801668118,-0.013572660555448923
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,0.1292870594048511,0.01137744624527015
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,0.1292870594048511,-0.01099643108523285
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,0.1292870594048511,-0.013471908583281289
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,0.1292870594048511,-0.07462887794392103
OPFY1_REV,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,0.1292870594048511,-0.043527117786175795
PBR12MF,PER12MF,TRAIL20,DISC_2016_2019,180,-0.08200686644541146,0.00694107392051635
PBR12MF,PER12MF,TRAIL20,VAL_2020_2022,146,-0.08200686644541146,0.02901673945425365
PBR12MF,PER12MF,TRAIL20,CONF_2023_2024,94,-0.08200686644541146,-0.05907863601539809
PBR12MF,PER12MF,TRAIL20,STRESS_2025,46,-0.08200686644541146,0.04065021643767541
PBR12MF,PER12MF,TRAIL20,STRESS_2026,26,-0.08200686644541146,0.02276725695752313
PBR12MF,PER12MF,DISLOCATION,DISC_2016_2019,180,-0.12068141033191238,0.009967146549664574
PBR12MF,PER12MF,DISLOCATION,VAL_2020_2022,146,-0.12068141033191238,0.010949406559384367
PBR12MF,PER12MF,DISLOCATION,CONF_2023_2024,94,-0.12068141033191238,-0.0329775620431787
PBR12MF,PER12MF,DISLOCATION,STRESS_2025,46,-0.12068141033191238,0.07113035892153685
PBR12MF,PER12MF,DISLOCATION,STRESS_2026,26,-0.12068141033191238,0.010581686821568126
PBR12MF,PRIVATE_FLOW,TRAIL20,DISC_2016_2019,180,-0.13997434693417188,0.019630576154773927
PBR12MF,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,146,-0.13997434693417188,-0.05260883976063435
PBR12MF,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,94,-0.13997434693417188,0.008767021098002203
PBR12MF,PRIVATE_FLOW,TRAIL20,STRESS_2025,46,-0.13997434693417188,-0.014178747297781458
PBR12MF,PRIVATE_FLOW,TRAIL20,STRESS_2026,26,-0.13997434693417188,-0.08458116419253159
PBR12MF,PRIVATE_FLOW,DISLOCATION,DISC_2016_2019,180,-0.11196082296222838,0.00923218117255209
PBR12MF,PRIVATE_FLOW,DISLOCATION,VAL_2020_2022,146,-0.11196082296222838,-0.012719040887897881
PBR12MF,PRIVATE_FLOW,DISLOCATION,CONF_2023_2024,94,-0.11196082296222838,0.005826813355899962
PBR12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2025,46,-0.11196082296222838,-0.007179621277494164
PBR12MF,PRIVATE_FLOW,DISLOCATION,STRESS_2026,26,-0.11196082296222838,-0.047633558474524884
PBR12MF,FOREIGN_FLOW,TRAIL20,DISC_2016_2019,180,-0.10332709509394902,0.010735453317918142
PBR12MF,FOREIGN_FLOW,TRAIL20,VAL_2020_2022,146,-0.10332709509394902,-0.043130623915661026
PBR12MF,FOREIGN_FLOW,TRAIL20,CONF_2023_2024,94,-0.10332709509394902,-0.01998574518143381
PBR12MF,FOREIGN_FLOW,TRAIL20,STRESS_2025,46,-0.10332709509394902,-0.0893848184363979
PBR12MF,FOREIGN_FLOW,TRAIL20,STRESS_2026,26,-0.10332709509394902,0.0327977060471093
PBR12MF,FOREIGN_FLOW,DISLOCATION,DISC_2016_2019,180,-0.14528648410778067,0.015792717935232847
PBR12MF,FOREIGN_FLOW,DISLOCATION,VAL_2020_2022,146,-0.14528648410778067,-0.03387916608979924
PBR12MF,FOREIGN_FLOW,DISLOCATION,CONF_2023_2024,94,-0.14528648410778067,-0.010957864611820467
PBR12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2025,46,-0.14528648410778067,-0.03773372147957055
PBR12MF,FOREIGN_FLOW,DISLOCATION,STRESS_2026,26,-0.14528648410778067,0.002712710612006841
PER12MF,PRIVATE_FLOW,TRAIL20,DISC_2016_2019,180,-0.26124879615651536,0.07091194565206238
PER12MF,PRIVATE_FLOW,TRAIL20,VAL_2020_2022,146,-0.26124879615651536,-0.1672375524624201
PER12MF,PRIVATE_FLOW,TRAIL20,CONF_2023_2024,94,-0.26124879615651536,0.012702413377644994
PER12MF,PRIVATE_FLOW,TRAIL20,STRESS_2025,46,-0.26124879615651536,0.04212171318302449
PER12MF,PRIVATE_FLOW,TRAIL20,STRESS_2026,26,-0.26124879615651536,-0.17882159726478086
PER12MF,PRIVATE_FLOW,DISLOCATION,DISC_2016_2019,180,-0.277512631094292,0.058705219581079326
