universe,base_state,train_n,base_silhouette,base_persistence,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_20D,MKT_FWD_DD20,NEXT_BASE_UP,NEXT_BASE_DOWN
KOSDAQ_PLUS_KOSPI_EX_K200,B4,122,0.2646745797037004,0.7218934911242604,0.05069039891827358,0.06123109802298804,0.13810153250435228,-0.02167013999384029,0.4434968589018587,0.003384241132547671,-0.03214703920147139,0.0,0.30327868852459017
KOSPI_ALL,B1,5,0.25022617835776234,0.7337278106508875,-0.11384878023691261,-0.20869453163771431,0.6114424218136844,-0.23153322933244044,0.537599219470381,0.09984220247965372,-0.026318002531053496,0.2,0.0
KOSPI_ALL,B2,93,0.25022617835776234,0.7337278106508875,-0.032409062309700254,-0.07369968062117324,0.17409533819198858,-0.09514124729804331,0.34865893536560927,0.004933577921478379,-0.03376350473504841,0.20430107526881722,0.010752688172043012
KOSPI_ALL,B3,136,0.25022617835776234,0.7337278106508875,0.0027103453015556362,0.035087617343346034,0.13962920215631783,-0.02879424472158235,0.3060530134910864,-0.0005676730756411288,-0.03058271268690496,0.19117647058823528,0.11764705882352941
KOSPI_ALL,B4,99,0.25022617835776234,0.7337278106508875,0.04340984856856237,0.06729761096162687,0.11847754451193823,-0.012910708124454363,0.4883771894513487,0.002508165710515105,-0.026612854341339375,0.0,0.30303030303030304
KOSPI_EX_K200,B1,35,0.25561166541469865,0.7075098814229249,-0.09574225997204903,-0.1403917465766458,0.32693561079807715,-0.16884424312674545,0.3541069836452587,0.04608637552669478,-0.035461539035090806,0.22857142857142856,0.0
KOSPI_EX_K200,B2,118,0.25561166541469865,0.7075098814229249,-0.015858861490254516,-0.05424529127000676,0.15340148430640393,-0.07829029368533705,0.3210121330208195,-0.019576669665312033,-0.050404062483383014,0.1864406779661017,0.059322033898305086
KOSPI_EX_K200,B3,108,0.25561166541469865,0.7075098814229249,0.04423962608926551,0.04693692735058061,0.10867510314155711,-0.017300323997681777,0.4657649850178334,0.005820260193169232,-0.027528127257705835,0.16666666666666666,0.1388888888888889
KOSPI_EX_K200,B4,71,0.25561166541469865,0.7075098814229249,0.019195618152799132,0.11936233000501555,0.16859526753197687,-0.01930470211538228,0.28008843754217866,0.008790837591483844,-0.028789348120325107,0.0,0.323943661971831
KOSPI_KOSDAQ_ALL,B1,5,0.250460615847811,0.7159763313609467,-0.11175058665195695,-0.20488784599448656,0.6270255282268972,-0.22850772595630797,0.4977945378748732,0.11188042264942985,-0.0247990961029798,0.2,0.0
KOSPI_KOSDAQ_ALL,B2,85,0.250460615847811,0.7159763313609467,-0.03485437707043367,-0.07951919145067643,0.18565518085923643,-0.10133999528919273,0.3309351032141129,0.008380882338476895,-0.03355229112220429,0.21176470588235294,0.011764705882352941
KOSPI_KOSDAQ_ALL,B3,134,0.250460615847811,0.7159763313609467,-0.0011071598875403179,0.030553483455092897,0.13778569196259446,-0.03139006839013138,0.30239954116435763,-0.0022798919625565102,-0.03334681916672581,0.22388059701492538,0.11194029850746269
KOSPI_KOSDAQ_ALL,B4,109,0.250460615847811,0.7159763313609467,0.043483394933926944,0.06513567760911378,0.1215053172134518,-0.013097067781353361,0.45103870305726496,0.0012934702398531548,-0.02763791847549964,0.0,0.3211009174311927
