date,universe,state,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_RET_60D,LIQ_5D_20D,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,LEADER_STRENGTH_60D
2018-03-26,K200,MIXED,0.0016856010310586235,0.010530920668587903,-0.013358905712203883,-0.012159902314032522,0.4093264248704663,0.0,0.125,0.0208248250981344
2018-04-02,K200,MIXED,0.00031832305927058315,0.025915456049507277,-0.015019190380471725,-0.028982860917970865,0.3316062176165803,0.0,0.0,0.01921726131257475
2018-04-09,K200,BROAD_WEAKNESS,0.003540295659307592,-0.006083268798721224,-0.006083268798721231,-0.032742879182078855,0.4300518134715025,0.125,0.0,0.026288500699115647
2018-04-16,K200,BROAD_WEAKNESS,0.004951577540781997,-0.0042990037186410104,-0.009589614387836787,-0.033558008328825495,0.4818652849740932,0.5,0.0,0.0315925068817954
2018-04-23,K200,BROAD_WEAKNESS,0.01693547340450755,-0.007050253405691662,-0.014851207921969478,-0.03456585427368519,0.533678756476684,0.375,0.0,0.03994736522315345
2018-04-30,K200,MIXED,-0.030882016687507053,-0.04325247249956964,-0.04813254904786757,-0.026607751149507086,0.5340314136125655,0.75,0.0,0.024715179555576148
2018-05-09,K200,MIXED,0.005341836824465485,0.00043271062846740637,-0.017800239658537054,0.011912630322392648,0.5789473684210527,0.5,0.0,0.06573426737498785
2018-05-16,K200,MIXED,0.0021747673100640467,-0.035409340062584845,-0.03540934006258478,0.008209454229583857,0.4635416666666667,0.75,0.0,0.04919035339292885
2018-05-24,K200,MIXED,-0.020141247687167418,-0.04418961372511061,-0.05265654936423714,-3.238867981669724e-05,0.2447916666666666,0.5,0.0,0.0692490820264417
2018-05-31,K200,MIXED,0.013368002629800424,-0.0588158399837506,-0.05881583998375073,0.017511837224280846,0.5549738219895288,0.25,0.125,0.07749629869241849
2018-06-08,K200,MIXED,-0.03067609091268535,-0.06479136504610333,-0.07681527236647212,-0.021113727106981117,0.3612565445026178,0.5,0.0,0.07146314414168359
2018-06-18,K200,DEFENSIVE_WEAKNESS,-0.006947619086701777,-0.0297358865397617,-0.04759934323422399,-0.04880502979763668,0.6263157894736842,0.0,0.375,0.0566520229047135
2018-06-25,K200,BROAD_WEAKNESS,-0.035135472502709875,-0.031603503199282755,-0.04093613280513475,-0.04093372057637035,0.3368421052631579,0.125,0.0,0.057561879415744546
