universe,base_k,base_rank,base_state,base_role,factor_method,period,n_high,n_low,base_distance_z,factor_distance_z,MKT_FWD_20D_high,MKT_FWD_20D_low,MKT_FWD_20D_diff,MKT_FWD_DD20_high,MKT_FWD_DD20_low,MKT_FWD_DD20_diff,NEXT_UP_high,NEXT_UP_low,NEXT_UP_diff,NEXT_DOWN_high,NEXT_DOWN_low,NEXT_DOWN_diff
KOSDAQ,4,4,B4,STRONG,KMEANS,STRESS_2025,11,9,1.2956368393322752,2.845669602635698,0.04269841897696069,0.02411670094066281,0.01858171803629788,-0.012244981081825384,-0.03300833746161506,0.020763356379789676,0.0,0.0,0.0,0.2727272727272727,0.4444444444444444,-0.1717171717171717
KOSDAQ,4,4,B4,STRONG,SCORE_MEDIAN,TRAIN,66,45,0.6353964721389683,1.8111557309568378,-0.006217001797874221,0.0010185689483234966,-0.007235570746197718,-0.043369340531269486,-0.04122383562585262,-0.002145504905416866,0.0,0.0,0.0,0.24242424242424243,0.4222222222222222,-0.1797979797979798
KOSDAQ,4,4,B4,STRONG,SCORE_MEDIAN,VALID_2023_2024,13,9,1.1292799077010653,2.5750439332516657,-0.01583266731051143,-0.0085767981628867,-0.00725586914762473,-0.0522851977175199,-0.035597492604570194,-0.01668770511294971,0.0,0.0,0.0,0.38461538461538464,0.3333333333333333,0.05128205128205132
KOSDAQ,5,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,35,34,1.057289724802978,1.7175693309137354,0.011367004029267368,0.01990324813379383,-0.00853624410452646,-0.049521657485701094,-0.04224380452316052,-0.007277852962540576,0.2571428571428571,0.11764705882352941,0.1394957983193277,0.02857142857142857,0.0,0.02857142857142857
KOSDAQ,5,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,14,9,1.4539470464694797,3.004096769897756,0.01841635084410518,0.028728724122369362,-0.010312373278264182,-0.03945701649506711,-0.0553374301303258,0.01588041363525869,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0
KOSDAQ,5,3,B3,REPAIR_MID,KMEANS,TRAIN,54,64,1.073155412436929,2.549696440221513,-0.014553364418234668,-0.0038960095827276523,-0.010657354835507015,-0.04726988365798229,-0.05229594478002899,0.0050260611220466975,0.24074074074074073,0.203125,0.03761574074074073,0.07407407407407407,0.140625,-0.06655092592592593
KOSDAQ,5,3,B3,REPAIR_MID,KMEANS,VALID_2023_2024,17,30,1.0267596864863862,2.819188983495849,0.02363860798591717,-0.006606775193494008,0.030245383179411178,-0.02336330272166172,-0.054895242972524044,0.031531940250862325,0.17647058823529413,0.2,-0.023529411764705882,0.0,0.1,-0.1
KOSDAQ,5,3,B3,REPAIR_MID,SCORE_MEDIAN,TRAIN,62,56,1.4896951499788962,2.0568210814990042,-0.014859640576556933,-0.0020344388595127136,-0.012825201717044219,-0.05402628648988141,-0.045533650376433074,-0.008492636113448339,0.3225806451612903,0.10714285714285714,0.21543778801843316,0.08064516129032258,0.14285714285714285,-0.06221198156682027
KOSDAQ,5,3,B3,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,28,19,1.6835330570271583,2.0122558623986113,-0.009359404065090726,0.024511389146226952,-0.03387079321131768,-0.056299091521111844,-0.024613624886991536,-0.03168546663412031,0.2857142857142857,0.05263157894736842,0.23308270676691728,0.03571428571428571,0.10526315789473684,-0.06954887218045112
KOSDAQ,5,3,B3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,11,10,1.5405703049804123,2.033878018590751,0.02931573004421785,0.009511236694934038,0.01980449334928381,-0.026293015712843967,-0.05160558477873213,0.025312569065888163,0.45454545454545453,0.1,0.3545454545454545,0.0,0.1,-0.1
KOSDAQ,5,4,B4,REPAIR_MID,KMEANS,TRAIN,43,65,0.47032052839625615,2.383410581996539,-0.022942087954919043,0.008962490371609967,-0.03190457832652901,-0.05385583891411784,-0.03056122740137815,-0.02329461151273969,0.046511627906976744,0.046153846153846156,0.00035778175313058713,0.2558139534883721,0.27692307692307694,-0.021109123434704835
KOSDAQ,5,4,B4,REPAIR_MID,KMEANS,STRESS_2025,10,10,1.927197517606962,2.710977163766815,0.04109031184468206,0.04273741671548315,-0.0016471048708010944,-0.01424934059953906,-0.01944582770010829,0.00519648710056923,0.0,0.2,-0.2,0.3,0.2,0.09999999999999998
KOSDAQ,5,4,B4,REPAIR_MID,SCORE_MEDIAN,TRAIN,61,47,0.5408442717202459,1.7998762455394317,-0.0016929106536476806,-0.00639745442626303,0.00470454377261535,-0.03715780644641598,-0.04331180130138876,0.006153994854972776,0.08196721311475409,0.0,0.08196721311475409,0.21311475409836064,0.3404255319148936,-0.12731077781653297
KOSDAQ,5,4,B4,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,10,8,0.4649501126322931,1.423279216322288,-0.0163388287265957,-0.007472361065433688,-0.008866467661162012,-0.051705904461709126,-0.03512861852875723,-0.016577285932951893,0.1,0.0,0.1,0.4,0.25,0.15000000000000002
KOSDAQ_PLUS_KOSPI_EX_K200,3,1,B1,EXTREME_LOW,SCORE_MEDIAN,TRAIN,33,12,0.8877327418612299,1.4890457446341503,0.04686604803400172,0.03723161040680011,0.009634437627201606,-0.041438058902693434,-0.01967207508138812,-0.021765983821305315,0.2727272727272727,0.3333333333333333,-0.06060606060606061,0.0,0.0,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,3,2,B2,REPAIR_MID,KMEANS,TRAIN,59,90,1.005082533569404,2.482224667293751,-0.01576143177049423,-0.009122960690585592,-0.006638471079908639,-0.05221730885731821,-0.049303470807945476,-0.002913838049372737,0.3389830508474576,0.13333333333333333,0.20564971751412428,0.03389830508474576,0.12222222222222222,-0.08832391713747645
KOSDAQ_PLUS_KOSPI_EX_K200,3,2,B2,REPAIR_MID,KMEANS,VALID_2023_2024,21,35,1.2200965341334795,3.0769345846882,0.01834941502402327,-0.006511445229256182,0.02486086025327945,-0.025464552314055068,-0.04986606828285866,0.02440151596880359,0.23809523809523808,0.05714285714285714,0.18095238095238095,0.0,0.11428571428571428,-0.11428571428571428
KOSDAQ_PLUS_KOSPI_EX_K200,3,2,B2,REPAIR_MID,SCORE_MEDIAN,TRAIN,77,72,1.5912790850411116,2.100600788545045,-0.0130867232499906,-0.010323795088369258,-0.002762928161621341,-0.0458892340571707,-0.055342535734648965,0.009453301677478265,0.3116883116883117,0.1111111111111111,0.20057720057720058,0.03896103896103896,0.1388888888888889,-0.09992784992784993
KOSDAQ_PLUS_KOSPI_EX_K200,3,2,B2,REPAIR_MID,SCORE_MEDIAN,VALID_2023_2024,37,19,1.5300718913283395,2.302309742082514,0.006362455649723569,-0.004103880345223664,0.010466335994947232,-0.0356940155163563,-0.05049417970473822,0.014800164188381919,0.1891891891891892,0.0,0.1891891891891892,0.02702702702702703,0.15789473684210525,-0.13086770981507823
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,B3,STRONG,KMEANS,TRAIN,72,67,0.8326294704506918,2.330924467276255,0.0016816657879760004,0.008168530408470476,-0.006486864620494476,-0.03699788788910395,-0.027556071904258718,-0.009441815984845232,0.0,0.0,0.0,0.2222222222222222,0.2835820895522388,-0.06135986733001658
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,B3,STRONG,KMEANS,VALID_2023_2024,12,15,1.0496160853984533,3.3468338710107726,-0.009948085271567814,-0.00547995670310288,-0.004468128568464934,-0.04142315796730631,-0.04098682805793616,-0.0004363299093701478,0.0,0.0,0.0,0.3333333333333333,0.2,0.1333333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,B3,STRONG,KMEANS,STRESS_2025,15,13,0.9998796364384553,4.4737705239634815,0.033348943526604787,0.014927007605842783,0.018421935920762002,-0.016336988085908836,-0.02742499777591232,0.011088009690003484,0.0,0.0,0.0,0.06666666666666667,0.3076923076923077,-0.24102564102564106
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,B3,STRONG,SCORE_MEDIAN,TRAIN,71,68,0.8674648284943788,2.0458670695666763,-0.005390113200699786,0.015456904578698217,-0.020847017779398003,-0.04021529772991447,-0.024335567746718984,-0.01587972998319549,0.0,0.0,0.0,0.18309859154929578,0.3235294117647059,-0.14043082021541012
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,B3,STRONG,SCORE_MEDIAN,VALID_2023_2024,12,15,1.276828872708425,2.602276106264142,-0.007165321381820552,-0.007706167814900693,0.0005408464330801405,-0.03998922193154681,-0.042133976886543766,0.0021447549549969552,0.0,0.0,0.0,0.3333333333333333,0.2,0.1333333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,3,3,B3,STRONG,SCORE_MEDIAN,STRESS_2025,17,11,1.001854119974785,4.172741617300492,0.03892229016496667,0.0029642108155086165,0.03595807934945806,-0.01816813647790707,-0.026611042931915675,0.008442906454008605,0.0,0.0,0.0,0.058823529411764705,0.36363636363636365,-0.3048128342245989
