universe,state,sample,n,ret60,liq,abs_confirmed,defensive,leader_strength,fwd5,fwd20,fwd_dd20
KOSPI_ALL,BROAD_WEAKNESS,TRAIN,43,-0.07365302045610712,0.3767089908292278,0.3430232558139535,0.0,0.04721095114048885,-0.00011450808708368741,-0.004860804248344953,-0.032540548040525454
KOSPI_ALL,BROAD_WEAKNESS,POST_2023,9,-0.061337920971479006,0.33177886806375495,0.3611111111111111,0.0,0.048236053846243,0.0062881594111714526,-0.007070644485565877,-0.03209882130046983
KOSPI_ALL,BROAD_WEAKNESS,NORMAL_2023_2024,5,-0.07549246829891365,0.3284057689971522,0.325,0.0,0.04329959350278523,-0.002191518088370821,-0.03959916481253857,-0.052097527287351286
KOSPI_ALL,CONCENTRATED_TREND,TRAIN,19,0.12954014050876103,0.2698283758640695,0.3618421052631579,0.05921052631578947,0.11860459037226481,0.0035371737058304993,0.01987994063384708,-0.021248586769322612
KOSPI_ALL,CONCENTRATED_TREND,POST_2023,25,0.23471885105719892,0.2481044647559059,0.24,0.175,0.08935074188174642,-0.002058699968122871,-0.00471445092228236,-0.07022324439040648
KOSPI_ALL,CONCENTRATED_TREND,NORMAL_2023_2024,7,0.05674775387430553,0.30260088327829654,0.375,0.017857142857142856,0.09500676337667292,-0.008277331075503972,-0.009630020562513244,-0.043790216427753124
KOSPI_ALL,DEFENSIVE_WEAKNESS,TRAIN,67,-0.08086344752803366,0.34156377534013427,0.022388059701492536,0.38619402985074625,0.04154735212902219,0.001542134982851127,0.01482288516271482,-0.031217461447841717
KOSPI_ALL,DEFENSIVE_WEAKNESS,POST_2023,18,-0.0741653111291369,0.398104670879171,0.09722222222222222,0.4583333333333333,0.08810491481494921,0.00783990713755428,0.018913389801156102,-0.031060674855556164
KOSPI_ALL,DEFENSIVE_WEAKNESS,NORMAL_2023_2024,15,-0.07071620158844061,0.39515348553211305,0.11666666666666667,0.43333333333333335,0.0828968600130564,0.004479856872564512,0.015775616809365636,-0.030093391567665485
KOSPI_ALL,MIXED,TRAIN,108,0.005028895498031899,0.37851420225751153,0.2708333333333333,0.1076388888888889,0.05516879289693003,-0.0005463729151437979,-0.010507627057848048,-0.037533828151772544
KOSPI_ALL,MIXED,POST_2023,45,0.003364845542469129,0.3579527001170437,0.33055555555555555,0.1,0.056644480514882974,0.0026636181479506977,0.015443813955791717,-0.026999009060805754
KOSPI_ALL,MIXED,NORMAL_2023_2024,38,0.0049362506108606005,0.34895746029249397,0.3026315789473684,0.10526315789473684,0.060929106605576926,-0.000677809621454688,0.001499005180981833,-0.03133757703655762
KOSPI_ALL,OTHER_UPTREND,TRAIN,72,0.09399698832434612,0.3890924201194188,0.2690972222222222,0.052083333333333336,0.043989863700246344,0.0007118307048574998,0.012461987042790064,-0.02258137855876008
KOSPI_ALL,OTHER_UPTREND,POST_2023,40,0.1255854418131407,0.3547733395361564,0.2875,0.109375,0.053025389327249296,0.010527120345735868,0.05726318226032553,-0.030491719128476723
KOSPI_ALL,OTHER_UPTREND,NORMAL_2023_2024,21,0.06664529824377022,0.36247556893387906,0.25,0.05357142857142857,0.05880382937649819,0.0055102797177922665,0.008462865674794134,-0.02430866513967935
KOSPI_ALL,ROTATION,POST_2023,8,0.11557579986554525,0.2905261516326996,0.3125,0.09375,0.07272074443941873,-0.015185364994454317,-0.006844453215694015,-0.06150909982876346
KOSPI_ALL,ROTATION,NORMAL_2023_2024,5,0.020894523667297982,0.3155454836654417,0.3,0.125,0.07760149838187255,-0.0001341784892002304,0.02347669775120324,-0.021755958991074763
KOSPI_EX_K200,BROAD_EXPANSION,TRAIN,22,0.1139093512721512,0.5159113843015432,0.4772727272727273,0.005681818181818182,0.11243857449378708,0.012809076253345764,0.02942476042257293,-0.01320582223386486
KOSPI_EX_K200,BROAD_EXPANSION,POST_2023,23,0.13401826633429534,0.536265666339881,0.5543478260869565,0.005434782608695652,0.08990826524071188,0.00018664549831883464,-0.017713490511710513,-0.06278167342395831
