model,date,universe,state,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20
BASE,2016-10-13,KOSDAQ,S3,-0.00738081819378511,-0.056667843581227784,0.13951353283897241,-0.06392152425035402,0.3333333333333333,-0.01165662435987677,-0.06025904456118269,-0.09798580786215616,0.28938211471832914
BASE,2016-10-20,KOSDAQ,S3,-0.03695906344903799,-0.07322872707543926,0.10311492283642477,-0.07483303941353381,0.2421479229989868,-0.008302680233476129,-0.041598151566994986,-0.08734735885325906,0.2963317505837882
BASE,2016-10-27,KOSDAQ,S2,-0.05554652985071429,-0.0750729900966347,0.12560991340536296,-0.08251440484986017,0.2954314720812183,-0.0618391878700806,-0.08725510314679417,-0.08725510314679386,0.2960961172448515
BASE,2016-11-03,KOSDAQ,S2,-0.11010080068898276,-0.13065558129594057,0.17591996789776548,-0.13925096893644218,0.2909460834181078,0.021983469536696103,-0.024467799180369787,-0.027091213945518944,0.26396436335154433
BASE,2016-11-10,KOSDAQ,S2,-0.060259044561182584,-0.11526599680220706,0.28938211471832903,-0.11739738174269898,0.3836032388663967,0.00796939051964114,-0.061241607331342485,-0.07620496893433903,0.16617095089081796
BASE,2016-11-17,KOSDAQ,S2,-0.041598151566994646,-0.10089875755021216,0.2963317505837881,-0.09145929651665996,0.2968591691995947,-0.05554578247125511,-0.011370480157935925,-0.08350884485746723,0.19155248379890372
BASE,2016-11-24,KOSDAQ,S2,-0.08725510314679386,-0.13163106731457497,0.2960961172448514,-0.14192490079862674,0.2691532258064516,0.0026964652830284742,0.03729015920524778,-0.0296076420298913,0.15713439151747186
BASE,2016-12-01,KOSDAQ,S2,-0.024467799180369565,-0.12470693486301976,0.2639643633515442,-0.13961113108339906,0.228,-0.016541372606527646,0.06309936119937366,-0.03221723465814874,0.1605160217042798
BASE,2016-12-08,KOSDAQ,S2,-0.06124160733134232,-0.12432157300081681,0.1661709508908178,-0.15384314395065757,0.2669322709163346,0.06151732154649996,0.10199288244942925,0.01659658240255313,0.11135557492191664
BASE,2016-12-15,KOSDAQ,S2,-0.011370480157936291,-0.08751451449902958,0.19155248379890358,-0.10178984055829476,0.4199004975124378,-0.009059464642564385,0.022137349880454925,-0.009059464642564463,0.0962264467908157
BASE,2016-12-22,KOSDAQ,S2,0.03729015920524725,-0.10580911633695,0.1571343915174717,-0.10992714373934886,0.4075546719681908,0.027644928720793622,0.00661905539586101,0.0002150688731217265,0.10866683670839936
BASE,2016-12-29,KOSDAQ,S2,0.0630993611993742,-0.0770965221771317,0.16051602170427964,-0.06481648536457996,0.4200595829195631,0.019438490065880717,-0.029377315767450896,-0.03937290355282863,0.09832470085239983
BASE,2017-01-06,KOSDAQ,S4,0.10199288244942961,-0.027833219874242587,0.11135557492191642,-0.030515643785551938,0.489593657086224,-0.015405163519710925,-0.05654223989175045,-0.05768998737227238,0.11614590870851656
BASE,2017-01-13,KOSDAQ,S4,0.022137349880454904,-0.03152040525435429,0.09622644679081543,-0.02625912600048652,0.4240631163708087,-0.024104122824946974,-0.03532728407222846,-0.0429464204826836,0.11455761990726228
