date,universe,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20,LIQ_5D_20D,LIQ_1D_20D,n_factors,RELATIVE_WORKING_BREADTH,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,REVERSE_BREADTH,BULLISH_REVERSE_BREADTH,BEARISH_REVERSE_BREADTH,POSITIVE_ABS_BREADTH,WPLUS_FAMILY_SHARE,WMINUS_FAMILY_SHARE,RMINUS_FAMILY_SHARE,WPLUS_PAIR_SHARE,CONFLICT_PAIR_SHARE,LEADER_FAMILY,LEADER_STATE,LEADER_STRENGTH_60D,SPREAD_DISPERSION_20D,LEADER_RMINUS,GENUINE_ROTATION,DEFENSIVE_ROTATION,FAMILY_MEMBER_AGREEMENT
2016-08-26,K200,0.013757863712122065,0.03876380202280805,0.0894210927318762,-0.008458192153624089,0.00025183061104868694,0.007507248476565871,-0.022240280387475386,0.12847749659354119,0.3404255319148936,0.2074468085106383,8.0,0.5,0.375,0.125,0.0,0.0,0.0,0.375,0.5,0.25,0.0,0.16666666666666666,0.0,VALUE,W+,0.042750358728088855,0.014979874647814456,0.0,0.0,0.0,0.75
2016-09-02,K200,0.025062687608905954,0.01499900622614514,0.0672830855091574,-0.008208491574274057,0.0020357516609503536,0.015447815317435592,-0.0224864482225281,0.14059545167415324,0.2659574468085106,0.2127659574468085,8.0,0.625,0.625,0.0,0.0,0.0,0.0,0.875,0.5,0.25,0.0,0.16666666666666666,0.0,VALUE,N+,0.03543013893058745,0.011336314392901801,0.0,0.0,0.0,0.75
2016-09-09,K200,-2.8212045947384468e-05,0.05447853691557092,0.08024982393928846,-0.013248938722840053,-0.0023688631361727846,-0.01293268599521166,-0.024472380194849208,0.1402573913050352,0.3776595744680851,0.3085106382978723,8.0,0.875,0.125,0.75,0.0,0.0,0.0,0.125,0.25,0.5,0.0,0.0,0.0,VALUE,W+,0.09367002707553573,0.02201740120113425,0.0,0.0,0.0,0.75
2016-09-21,K200,-0.008543651539052566,0.032650410435693944,0.12448890332476502,-0.015586416936478553,0.007594091382361383,0.004203253709221016,-0.010588906529368614,0.10489851187944073,0.3723404255319149,0.3138297872340425,8.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,VALUE,N-,0.06305352677409945,0.0145510888211685,0.0,0.0,0.0,0.75
2016-09-28,K200,0.00750724847656592,0.04863690741539761,0.1284774965935412,-0.008110690228656403,0.008135214607222559,-0.010708987220993052,-0.01804595527826447,0.11099746615985856,0.324468085106383,0.2962962962962963,8.0,0.125,0.125,0.0,0.375,0.0,0.375,0.5,0.25,0.0,0.25,0.0,0.16666666666666666,VALUE,N+,0.08005757054079721,0.012349276883467005,0.0,0.0,0.0,0.5
2016-10-06,K200,0.015447815317435554,0.05584888752248185,0.14059545167415327,-4.1621316631768046e-05,-0.02596989918231143,-0.0350992442964639,-0.03662981876803395,0.10093349639658639,0.5026455026455027,0.4391534391534391,8.0,0.25,0.25,0.0,0.375,0.0,0.375,0.625,0.25,0.0,0.5,0.0,0.3333333333333333,VALUE,W+,0.15304835827361143,0.032492012219874876,0.0,0.0,0.0,1.0
2016-10-13,K200,-0.012932685995211357,0.008686178726128091,0.1402573913050352,-0.026010439597546453,0.01495046936122591,-0.00031052114364698506,-0.021631182139333682,0.14156372908249246,0.4840425531914893,0.4148936170212766,8.0,0.25,0.25,0.0,0.5,0.0,0.5,0.5,0.25,0.0,0.5,0.0,0.3333333333333333,VALUE,W+,0.13945778571277034,0.03291604705947219,0.0,0.0,0.0,0.75
2016-10-20,K200,0.004203253709220922,0.02196054659330593,0.10489851187944073,-0.011448838516595727,-0.007368502888324693,-0.03201173127125492,-0.037205877347155414,0.1469086539882546,0.3227513227513227,0.3015873015873015,8.0,0.5,0.5,0.0,0.375,0.0,0.375,0.5,0.5,0.0,0.5,0.16666666666666666,0.6666666666666666,VALUE,W+,0.14289177809398976,0.04838259843447538,0.0,0.0,0.0,0.75
2016-10-27,K200,-0.010708987220992672,0.010430574790568636,0.11099746615985856,-0.018732980605242755,-0.016719632685924614,-0.023245139890515715,-0.030058863279727288,0.1447918469316956,0.3809523809523809,0.238095238095238,8.0,0.5,0.375,0.125,0.375,0.0,0.375,0.375,0.25,0.25,0.5,0.0,0.3333333333333333,VALUE,W+,0.10796284561157916,0.060213896199725066,0.0,0.0,0.0,0.75
2016-11-03,K200,-0.035099244296463716,0.004362945204904545,0.10093349639658641,-0.035139404736335256,0.009147975189286731,0.001237558474410276,-0.013566049966236893,0.13846225085509803,0.3492063492063492,0.3544973544973545,8.0,0.375,0.125,0.25,0.25,0.0,0.25,0.125,0.0,0.25,0.25,0.0,0.0,VALUE,W-,0.1281944542701512,0.0399745418966186,0.0,0.0,0.0,0.5
