universe,base_k,base_rank,base_role,factor_method,stress_period,outcome,valid_diff,stress_diff,same_sign,stress_n_min
KOSDAQ_PLUS_KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.15333333333333332,0.4375,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.08666666666666667,-0.125,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.014247371828661096,-0.004365451599162899,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.0003446098812677906,0.018054349071907935,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,-0.16666666666666669,0.0,0.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,-0.009695548004602431,0.01853577679209572,0.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.013524966139027997,0.010060391578356361,0.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.13636363636363635,-0.06730769230769229,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,0.010923002320744727,0.047336376290871444,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,4.332327430134342e-08,0.01284895874707157,1.0,8
KOSDAQ_PLUS_KOSPI_EX_K200,5,5,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,5,5,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,0.14393939393939398,-0.08333333333333331,0.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,5,5,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,-0.002191087693388844,0.014467513124466262,0.0,9
KOSDAQ_PLUS_KOSPI_EX_K200,5,5,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.009098036444418055,0.012168151407746582,0.0,9
KOSPI_ALL,3,3,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,16
KOSPI_ALL,3,3,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,-0.06318681318681318,0.02083333333333333,0.0,16
KOSPI_ALL,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,0.001369056089463641,-0.01421448274568636,0.0,16
KOSPI_ALL,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,0.001958173647477513,0.0075777009215536525,1.0,16
KOSPI_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,11
KOSPI_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,0.019886363636363646,-0.021943573667711602,0.0,11
KOSPI_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.002020766355438939,0.020953181184141238,0.0,11
KOSPI_ALL,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.0055851257073436765,0.011444512063495439,0.0,11
KOSPI_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,-0.05069124423963134,0.0,0.0,9
KOSPI_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_DOWN,-0.12903225806451613,-0.1111111111111111,1.0,9
KOSPI_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_20D,-0.012662530063312296,-0.007234335042063212,1.0,9
KOSPI_ALL,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.009656991121986338,0.011766999562897562,0.0,9
KOSPI_ALL,4,4,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,8
KOSPI_ALL,4,4,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,-0.13636363636363635,0.15789473684210525,0.0,8
KOSPI_ALL,4,4,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,0.018093640781071618,-0.0464734742293367,0.0,8
KOSPI_ALL,4,4,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,0.011212550831406567,-0.004024780706496018,0.0,8
KOSPI_EX_K200,3,2,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,0.23246753246753246,-0.04895104895104896,0.0,11
KOSPI_EX_K200,3,2,REPAIR_MID,KMEANS,STRESS_2025,NEXT_DOWN,-0.08571428571428572,-0.07692307692307693,1.0,11
KOSPI_EX_K200,3,2,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_20D,-0.0039033247531984707,-0.0021190246125650063,1.0,11
KOSPI_EX_K200,3,2,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.0009437014437704699,0.009325253570604583,0.0,11
KOSPI_EX_K200,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.21168831168831165,0.15555555555555556,1.0,9
KOSPI_EX_K200,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.062337662337662345,-0.1111111111111111,1.0,9
KOSPI_EX_K200,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.004518998526918848,-0.024082253551206037,1.0,9
KOSPI_EX_K200,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.009646680521774937,0.001033296079916951,1.0,9
KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,8
KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.020833333333333315,-0.125,1.0,8
KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,0.0002605206311741396,-0.01636432742099475,0.0,8
KOSPI_EX_K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.006690684171280985,-0.014919734447791825,0.0,8
KOSPI_EX_K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,-0.04700854700854701,-0.21428571428571427,1.0,8
KOSPI_EX_K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_DOWN,0.0982905982905983,-0.07142857142857142,0.0,8
KOSPI_EX_K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_20D,0.001896579520494203,0.021102456109424197,1.0,8
KOSPI_EX_K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.0022494527298053887,0.0010318560123622998,0.0,8
KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,-0.07983193277310927,-0.14529914529914528,1.0,9
KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,0.08403361344537814,-0.1111111111111111,0.0,9
KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,0.014754572158190838,-0.0033148517507020046,0.0,9
KOSPI_EX_K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.01562729195439897,-0.004398344839706459,0.0,9
KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,8
KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.07692307692307687,-0.20833333333333331,1.0,8
KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,0.0008948209393121465,-0.021632122090607435,0.0,8
KOSPI_EX_K200,4,4,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,0.0041489447356017305,-0.009795826612423748,0.0,8
KOSPI_EX_K200,5,5,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,8
